Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,70,0.0777778,70,0.0777778,0,0,6,0
900,83,0.0922222,83,0.0922222,0,0,6,0
900,81,0.09,81,0.09,0,0,5,0
900,48,0.0533333,48,0.0533333,0,0,3,0
900,75,0.0833333,75,0.0833333,0,0,6,0
900,64,0.0711111,64,0.0711111,0,0,4,0
900,81,0.09,81,0.09,0,0,9,0
900,73,0.0811111,73,0.0811111,0,0,7,0
900,63,0.07,63,0.07,0,0,8,0
900,61,0.0677778,61,0.0677778,0,0,8,0
900,88,0.0977778,88,0.0977778,0,0,7,0
900,76,0.0844444,76,0.0844444,0,0,4,0
900,48,0.0533333,48,0.0533333,0,0,3,0
900,81,0.09,81,0.09,0,0,7,0
900,82,0.0911111,82,0.0911111,0,0,11,0
900,73,0.0811111,73,0.0811111,0,0,6,0
900,76,0.0844444,76,0.0844444,0,0,4,0
900,89,0.0988889,89,0.0988889,0,0,9,0
900,93,0.103333,93,0.103333,0,0,3,0
900,72,0.08,72,0.08,0,0,13,0
900,63,0.07,63,0.07,0,0,9,0
900,80,0.0888889,80,0.0888889,0,0,5,0
900,86,0.0955556,86,0.0955556,0,0,4,0
900,78,0.0866667,78,0.0866667,0,0,9,0
900,69,0.0766667,69,0.0766667,0,0,8,0
900,89,0.0988889,89,0.0988889,0,0,17,0
900,74,0.0822222,74,0.0822222,0,0,10,0
900,65,0.0722222,65,0.0722222,0,0,14,0
900,73,0.0811111,73,0.0811111,0,0,5,0
900,76,0.0844444,76,0.0844444,0,0,5,0
900,76,0.0844444,76,0.0844444,0,0,12,0
900,77,0.0855556,77,0.0855556,0,0,12,0
900,69,0.0766667,69,0.0766667,0,0,10,0
900,75,0.0833333,75,0.0833333,0,0,14,0
900,87,0.0966667,87,0.0966667,0,0,11,0
900,77,0.0855556,77,0.0855556,0,0,8,0
900,75,0.0833333,75,0.0833333,0,0,9,0
900,83,0.0922222,83,0.0922222,0,0,10,0
900,77,0.0855556,77,0.0855556,0,0,9,0
900,60,0.0666667,60,0.0666667,0,0,4,0
900,55,0.0611111,55,0.0611111,0,0,5,0
900,85,0.0944444,85,0.0944444,0,0,17,0
900,81,0.09,81,0.09,0,0,3,0
900,85,0.0944444,85,0.0944444,0,0,5,0
900,82,0.0911111,82,0.0911111,0,0,4,0
900,69,0.0766667,69,0.0766667,0,0,6,0
900,84,0.0933333,84,0.0933333,0,0,8,0
900,65,0.0722222,65,0.0722222,0,0,2,0
900,86,0.0955556,86,0.0955556,0,0,6,0
900,64,0.0711111,64,0.0711111,0,0,8,0
900,80,0.0888889,80,0.0888889,0,0,2,0
900,59,0.0655556,59,0.0655556,0,0,8,0
900,73,0.0811111,73,0.0811111,0,0,7,0
900,87,0.0966667,87,0.0966667,0,0,9,0
900,77,0.0855556,77,0.0855556,0,0,8,0
900,58,0.0644444,58,0.0644444,0,0,7,0
900,77,0.0855556,77,0.0855556,0,0,9,0
900,82,0.0911111,82,0.0911111,0,0,5,0
900,71,0.0788889,71,0.0788889,0,0,10,0
900,79,0.0877778,79,0.0877778,0,0,6,0
