Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,73,0.0811111,67,0.0744444,6,0.00666667,4,0
900,67,0.0744444,61,0.0677778,6,0.00666667,5,0
900,97,0.107778,87,0.0966667,10,0.0111111,7,0
900,81,0.09,71,0.0788889,10,0.0111111,8,0
900,82,0.0911111,71,0.0788889,11,0.0122222,2,0
900,85,0.0944444,73,0.0811111,12,0.0133333,4,0
900,91,0.101111,79,0.0877778,12,0.0133333,9,0
900,95,0.105556,91,0.101111,4,0.00444444,7,0
900,86,0.0955556,80,0.0888889,6,0.00666667,8,0
900,84,0.0933333,73,0.0811111,11,0.0122222,7,0
900,89,0.0988889,76,0.0844444,13,0.0144444,6,0
900,88,0.0977778,78,0.0866667,10,0.0111111,8,0
900,95,0.105556,86,0.0955556,9,0.01,7,0
900,82,0.0911111,74,0.0822222,8,0.00888889,6,0
900,80,0.0888889,76,0.0844444,4,0.00444444,11,0
900,88,0.0977778,81,0.09,7,0.00777778,9,0
900,80,0.0888889,74,0.0822222,6,0.00666667,6,0
900,80,0.0888889,69,0.0766667,11,0.0122222,4,0
900,98,0.108889,89,0.0988889,9,0.01,7,0
900,71,0.0788889,63,0.07,8,0.00888889,5,0
900,73,0.0811111,59,0.0655556,14,0.0155556,1,0
900,79,0.0877778,69,0.0766667,10,0.0111111,7,0
900,75,0.0833333,65,0.0722222,10,0.0111111,5,0
900,86,0.0955556,81,0.09,5,0.00555556,4,0
900,86,0.0955556,75,0.0833333,11,0.0122222,8,0
900,78,0.0866667,70,0.0777778,8,0.00888889,5,0
900,82,0.0911111,66,0.0733333,16,0.0177778,3,0
900,84,0.0933333,73,0.0811111,11,0.0122222,5,0
900,77,0.0855556,67,0.0744444,10,0.0111111,7,0
900,89,0.0988889,83,0.0922222,6,0.00666667,7,0
900,77,0.0855556,67,0.0744444,10,0.0111111,6,0
900,59,0.0655556,42,0.0466667,17,0.0188889,3,0
900,79,0.0877778,72,0.08,7,0.00777778,10,0
900,105,0.116667,96,0.106667,9,0.01,6,0
900,77,0.0855556,64,0.0711111,13,0.0144444,8,0
900,73,0.0811111,65,0.0722222,8,0.00888889,8,0
900,62,0.0688889,55,0.0611111,7,0.00777778,6,0
900,104,0.115556,96,0.106667,8,0.00888889,11,0
900,78,0.0866667,67,0.0744444,11,0.0122222,5,0
900,77,0.0855556,68,0.0755556,9,0.01,4,0
900,79,0.0877778,72,0.08,7,0.00777778,6,0
900,87,0.0966667,77,0.0855556,10,0.0111111,10,0
900,91,0.101111,84,0.0933333,7,0.00777778,12,0
900,75,0.0833333,64,0.0711111,11,0.0122222,3,0
900,50,0.0555556,46,0.0511111,4,0.00444444,6,0
900,88,0.0977778,80,0.0888889,8,0.00888889,10,0
900,68,0.0755556,55,0.0611111,13,0.0144444,6,0
900,99,0.11,90,0.1,9,0.01,9,0
900,94,0.104444,82,0.0911111,12,0.0133333,7,0
900,85,0.0944444,78,0.0866667,7,0.00777778,12,0
900,73,0.0811111,64,0.0711111,9,0.01,9,0
900,84,0.0933333,71,0.0788889,13,0.0144444,5,0
900,72,0.08,61,0.0677778,11,0.0122222,4,0
900,83,0.0922222,73,0.0811111,10,0.0111111,9,0
900,66,0.0733333,57,0.0633333,9,0.01,6,0
900,97,0.107778,89,0.0988889,8,0.00888889,6,0
900,83,0.0922222,74,0.0822222,9,0.01,5,0
900,91,0.101111,85,0.0944444,6,0.00666667,4,0
900,88,0.0977778,75,0.0833333,13,0.0144444,9,0
900,81,0.09,72,0.08,9,0.01,7,0
