Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1500,118,0.0786667,118,0.0786667,0,0
1264,126,0.0996835,126,0.0996835,0,0
1500,126,0.084,126,0.084,0,0
1393.5,126,0.0904198,126,0.0904198,0,0
1500,124,0.0826667,124,0.0826667,0,0
1500,103,0.0686667,103,0.0686667,0,0
1423.5,124,0.0871092,124,0.0871092,0,0
1340.5,126,0.0939948,126,0.0939948,0,0
1500,126,0.084,126,0.084,0,0
1500,126,0.084,126,0.084,0,0
1413,126,0.089172,126,0.089172,0,0
1401,127,0.0906495,127,0.0906495,0,0
1121.5,127,0.113241,127,0.113241,0,0
1370,122,0.0890511,122,0.0890511,0,0
1205.5,126,0.104521,126,0.104521,0,0
1451.5,126,0.0868068,126,0.0868068,0,0
1344,127,0.094494,127,0.094494,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,123,0.082,123,0.082,0,0
1500,121,0.0806667,121,0.0806667,0,0
1330.5,123,0.0924464,123,0.0924464,0,0
1471,125,0.0849762,125,0.0849762,0,0
1329.5,126,0.0947725,126,0.0947725,0,0
1500,125,0.0833333,125,0.0833333,0,0
1420.5,125,0.0879972,125,0.0879972,0,0
1361,125,0.0918442,125,0.0918442,0,0
1457.5,123,0.0843911,123,0.0843911,0,0
1205,126,0.104564,126,0.104564,0,0
1500,125,0.0833333,125,0.0833333,0,0
1265,123,0.0972332,123,0.0972332,0,0
1406,127,0.0903272,127,0.0903272,0,0
1391.5,127,0.0912684,127,0.0912684,0,0
1500,123,0.082,123,0.082,0,0
1500,124,0.0826667,124,0.0826667,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,121,0.0806667,121,0.0806667,0,0
1234,123,0.0996759,123,0.0996759,0,0
1469.5,126,0.0857435,126,0.0857435,0,0
1414,126,0.0891089,126,0.0891089,0,0
1500,120,0.08,120,0.08,0,0
1500,126,0.084,126,0.084,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,125,0.0833333,125,0.0833333,0,0
1500,122,0.0813333,122,0.0813333,0,0
1360,127,0.0933824,127,0.0933824,0,0
1434.5,125,0.0871384,125,0.0871384,0,0
1430,127,0.0888112,127,0.0888112,0,0
1500,121,0.0806667,121,0.0806667,0,0
1284.5,127,0.0988712,127,0.0988712,0,0
1356,126,0.0929204,126,0.0929204,0,0
1500,172,0.114667,127,0.0846667,45,0.03
1500,175,0.116667,111,0.074,64,0.0426667
1500,177,0.118,119,0.0793333,58,0.0386667
1500,151,0.100667,110,0.0733333,41,0.0273333
1500,167,0.111333,103,0.0686667,64,0.0426667
1500,157,0.104667,106,0.0706667,51,0.034
1500,185,0.123333,123,0.082,62,0.0413333
1377,190,0.137981,126,0.0915033,64,0.0464779
1500,169,0.112667,105,0.07,64,0.0426667
1500,172,0.114667,113,0.0753333,59,0.0393333
1500,185,0.123333,121,0.0806667,64,0.0426667
1500,187,0.124667,123,0.082,64,0.0426667
1500,187,0.124667,125,0.0833333,62,0.0413333
1183.31,171,0.14451,128,0.108171,43,0.0363387
1500,177,0.118,128,0.0853333,49,0.0326667
1407.5,172,0.122202,128,0.0909414,44,0.0312611
1500,175,0.116667,128,0.0853333,47,0.0313333
1492.5,189,0.126633,125,0.0837521,64,0.0428811
1500,188,0.125333,127,0.0846667,61,0.0406667
1500,190,0.126667,126,0.084,64,0.0426667
1500,160,0.106667,96,0.064,64,0.0426667
1500,171,0.114,127,0.0846667,44,0.0293333
1500,170,0.113333,106,0.0706667,64,0.0426667
1439.88,173,0.120149,128,0.0888966,45,0.0312527
1500,175,0.116667,128,0.0853333,47,0.0313333
1500,173,0.115333,109,0.0726667,64,0.0426667
1469,184,0.125255,128,0.0871341,56,0.0381212
1500,186,0.124,128,0.0853333,58,0.0386667
1374.44,191,0.138966,128,0.093129,63,0.0458369
1376,191,0.138808,128,0.0930233,63,0.0457849
1500,176,0.117333,117,0.078,59,0.0393333
1500,179,0.119333,127,0.0846667,52,0.0346667
1500,139,0.0926667,109,0.0726667,30,0.02
1500,134,0.0893333,70,0.0466667,64,0.0426667
1500,167,0.111333,126,0.084,41,0.0273333
1500,183,0.122,119,0.0793333,64,0.0426667
1500,177,0.118,119,0.0793333,58,0.0386667
1500,187,0.124667,123,0.082,64,0.0426667
1500,168,0.112,104,0.0693333,64,0.0426667
1268.62,171,0.134792,128,0.100897,43,0.033895
1500,184,0.122667,128,0.0853333,56,0.0373333
1500,156,0.104,96,0.064,60,0.04
1500,169,0.112667,115,0.0766667,54,0.036
1500,165,0.11,103,0.0686667,62,0.0413333
1500,191,0.127333,127,0.0846667,64,0.0426667
1500,186,0.124,124,0.0826667,62,0.0413333
1499.5,187,0.124708,126,0.084028,61,0.0406802
1500,166,0.110667,115,0.0766667,51,0.034
1500,191,0.127333,127,0.0846667,64,0.0426667
1490,189,0.126846,125,0.0838926,64,0.042953
1500,189,0.126,125,0.0833333,64,0.0426667
1439.62,187,0.129895,128,0.088912,59,0.0409829
1500,188,0.125333,128,0.0853333,60,0.04
1500,157,0.104667,113,0.0753333,44,0.0293333
1500,181,0.120667,117,0.078,64,0.0426667
1500,187,0.124667,124,0.0826667,63,0.042
1500,154,0.102667,91,0.0606667,63,0.042
