Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1500,164,0.109333,164,0.109333,0,0
1500,182,0.121333,182,0.121333,0,0
1500,179,0.119333,179,0.119333,0,0
1500,177,0.118,177,0.118,0,0
1500,185,0.123333,185,0.123333,0,0
1500,181,0.120667,181,0.120667,0,0
1500,187,0.124667,187,0.124667,0,0
1500,177,0.118,177,0.118,0,0
1500,184,0.122667,184,0.122667,0,0
1500,186,0.124,186,0.124,0,0
1500,187,0.124667,187,0.124667,0,0
1500,187,0.124667,187,0.124667,0,0
1500,179,0.119333,179,0.119333,0,0
1500,185,0.123333,185,0.123333,0,0
1500,188,0.125333,188,0.125333,0,0
1500,180,0.12,180,0.12,0,0
1500,181,0.120667,181,0.120667,0,0
1500,184,0.122667,184,0.122667,0,0
1500,178,0.118667,178,0.118667,0,0
1500,180,0.12,180,0.12,0,0
1500,184,0.122667,184,0.122667,0,0
1500,181,0.120667,181,0.120667,0,0
1500,189,0.126,189,0.126,0,0
1500,190,0.126667,190,0.126667,0,0
1500,191,0.127333,191,0.127333,0,0
1500,183,0.122,183,0.122,0,0
1500,189,0.126,189,0.126,0,0
1500,188,0.125333,188,0.125333,0,0
1500,175,0.116667,175,0.116667,0,0
1500,178,0.118667,178,0.118667,0,0
1500,180,0.12,180,0.12,0,0
1500,172,0.114667,172,0.114667,0,0
1500,187,0.124667,187,0.124667,0,0
1500,185,0.123333,185,0.123333,0,0
1500,186,0.124,186,0.124,0,0
1500,183,0.122,183,0.122,0,0
1500,186,0.124,186,0.124,0,0
1500,188,0.125333,188,0.125333,0,0
1500,173,0.115333,173,0.115333,0,0
1500,186,0.124,186,0.124,0,0
1500,178,0.118667,178,0.118667,0,0
1500,171,0.114,171,0.114,0,0
1500,190,0.126667,190,0.126667,0,0
1500,183,0.122,183,0.122,0,0
1500,180,0.12,180,0.12,0,0
1500,175,0.116667,175,0.116667,0,0
1500,170,0.113333,170,0.113333,0,0
1500,186,0.124,186,0.124,0,0
1500,184,0.122667,184,0.122667,0,0
1500,174,0.116,174,0.116,0,0
1500,231,0.154,174,0.116,57,0.038
1500,228,0.152,167,0.111333,61,0.0406667
1500,224,0.149333,167,0.111333,57,0.038
1500,229,0.152667,165,0.11,64,0.0426667
1500,219,0.146,169,0.112667,50,0.0333333
1500,223,0.148667,164,0.109333,59,0.0393333
1500,235,0.156667,176,0.117333,59,0.0393333
1500,240,0.16,179,0.119333,61,0.0406667
1500,220,0.146667,170,0.113333,50,0.0333333
1500,238,0.158667,177,0.118,61,0.0406667
1500,234,0.156,178,0.118667,56,0.0373333
1500,225,0.15,161,0.107333,64,0.0426667
1500,229,0.152667,177,0.118,52,0.0346667
1500,228,0.152,167,0.111333,61,0.0406667
1500,227,0.151333,170,0.113333,57,0.038
1500,226,0.150667,167,0.111333,59,0.0393333
1500,242,0.161333,183,0.122,59,0.0393333
1500,231,0.154,172,0.114667,59,0.0393333
1500,229,0.152667,169,0.112667,60,0.04
1500,218,0.145333,161,0.107333,57,0.038
1500,211,0.140667,169,0.112667,42,0.028
1500,220,0.146667,159,0.106,61,0.0406667
1500,234,0.156,173,0.115333,61,0.0406667
1500,143,0.0953333,118,0.0786667,25,0.0166667
1500,230,0.153333,170,0.113333,60,0.04
1500,207,0.138,155,0.103333,52,0.0346667
1500,225,0.15,167,0.111333,58,0.0386667
1500,238,0.158667,176,0.117333,62,0.0413333
1500,215,0.143333,155,0.103333,60,0.04
1500,225,0.15,169,0.112667,56,0.0373333
1500,216,0.144,153,0.102,63,0.042
1500,217,0.144667,162,0.108,55,0.0366667
1500,216,0.144,170,0.113333,46,0.0306667
1500,185,0.123333,153,0.102,32,0.0213333
1500,248,0.165333,185,0.123333,63,0.042
1500,232,0.154667,177,0.118,55,0.0366667
1500,225,0.15,174,0.116,51,0.034
1500,217,0.144667,171,0.114,46,0.0306667
1500,226,0.150667,164,0.109333,62,0.0413333
1500,234,0.156,181,0.120667,53,0.0353333
1500,224,0.149333,166,0.110667,58,0.0386667
1500,241,0.160667,181,0.120667,60,0.04
1500,238,0.158667,177,0.118,61,0.0406667
1500,221,0.147333,162,0.108,59,0.0393333
1500,228,0.152,166,0.110667,62,0.0413333
1500,233,0.155333,174,0.116,59,0.0393333
1500,236,0.157333,173,0.115333,63,0.042
1500,217,0.144667,158,0.105333,59,0.0393333
1500,233,0.155333,169,0.112667,64,0.0426667
1500,227,0.151333,166,0.110667,61,0.0406667
