tags_collected, collisions_in_seconds, time_in_minutes, random_seed
164, 1446.41, 25, 438755
182, 1676.59, 25, 180847
179, 1822.53, 25, 168241
177, 1554.69, 25, 488886
185, 1820.16, 25, 227776
181, 1206.69, 25, 26437
187, 1583.03, 25, 918075
177, 1878.72, 25, 483143
184, 1311.56, 25, 5067
186, 1218.69, 25, 840576
187, 1704.72, 25, 731990
187, 1484.81, 25, 504652
179, 1665.22, 25, 241550
185, 1492.12, 25, 693302
188, 1267.31, 25, 404479
180, 1819.59, 25, 184451
181, 1497.41, 25, 612870
184, 1159.03, 25, 410932
178, 2084.94, 25, 473270
180, 1374.69, 25, 841185
184, 1259.53, 25, 520677
181, 1719, 25, 343877
189, 1651.06, 25, 24197
190, 1608.41, 25, 709178
191, 1618.22, 25, 196573
183, 1253.78, 25, 945704
189, 1205.59, 25, 815230
188, 1948.72, 25, 706874
175, 2466.84, 25, 209821
178, 2224.41, 25, 483970
180, 1705.22, 25, 711132
172, 1656.84, 25, 343312
187, 1859.06, 25, 943953
185, 1679.16, 25, 452104
186, 1719.09, 25, 977132
183, 1556.59, 25, 913764
186, 1667.25, 25, 738241
188, 1270.72, 25, 995199
173, 1292.31, 25, 872011
186, 1908.62, 25, 691792
178, 2283.25, 25, 618071
171, 1252.19, 25, 937112
190, 1190.62, 25, 651505
183, 1527.38, 25, 421973
180, 1542.34, 25, 182256
175, 1861.06, 25, 543025
170, 1910.84, 25, 17537
186, 1607.5, 25, 87392
184, 1826.12, 25, 570531
174, 1531.16, 25, 993517
174, 2242.38, 25, 552934
167, 1997.59, 25, 491545
167, 1688.12, 25, 606286
165, 1572.03, 25, 71298
169, 2376.81, 25, 318401
164, 1733.88, 25, 370778
176, 1456.34, 25, 321723
179, 1345.59, 25, 101325
170, 1622.06, 25, 383036
177, 1310.31, 25, 649304
178, 1192.88, 25, 950196
161, 1454.91, 25, 670758
177, 1805.88, 25, 461760
167, 1576.97, 25, 278285
170, 1320.47, 25, 547925
167, 1641.22, 25, 921550
183, 1720.56, 25, 401729
172, 1560.25, 25, 700277
169, 1758.88, 25, 309977
161, 2072.91, 25, 604944
169, 2826.69, 25, 994308
159, 1540.09, 25, 823276
173, 1567.72, 25, 131751
118, 4814.84, 25, 512532
170, 2027.81, 25, 858495
155, 2276.78, 25, 145619
167, 1876.75, 25, 154821
176, 1588.28, 25, 597581
155, 1953.81, 25, 489700
169, 1453.03, 25, 719540
153, 1398.84, 25, 221065
162, 2417.66, 25, 100633
170, 2608.94, 25, 847213
153, 3433, 25, 464824
185, 1657.78, 25, 319202
177, 2084.91, 25, 486076
174, 1569.78, 25, 595630
171, 1427.25, 25, 72060
164, 1320.69, 25, 388980
181, 1164.25, 25, 699078
166, 1695.41, 25, 162241
181, 1494.72, 25, 496013
177, 1509.78, 25, 1208
162, 2011.81, 25, 746553
166, 1616.47, 25, 412695
174, 1518.84, 25, 832215
173, 1445, 25, 450457
158, 1528.31, 25, 935373
169, 1507.19, 25, 487839
166, 1342.31, 25, 512632
