Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1500,189,0.126,189,0.126,0,0
1500,191,0.127333,191,0.127333,0,0
1500,188,0.125333,188,0.125333,0,0
1500,190,0.126667,190,0.126667,0,0
1500,187,0.124667,187,0.124667,0,0
1500,188,0.125333,188,0.125333,0,0
1500,191,0.127333,191,0.127333,0,0
1452.5,190,0.130809,190,0.130809,0,0
1500,191,0.127333,191,0.127333,0,0
1382,190,0.137482,190,0.137482,0,0
1500,189,0.126,189,0.126,0,0
1500,190,0.126667,190,0.126667,0,0
1472,191,0.129755,191,0.129755,0,0
1500,189,0.126,189,0.126,0,0
1244,191,0.153537,191,0.153537,0,0
1500,186,0.124,186,0.124,0,0
1500,188,0.125333,188,0.125333,0,0
1500,190,0.126667,190,0.126667,0,0
1500,189,0.126,189,0.126,0,0
1500,189,0.126,189,0.126,0,0
1380.5,191,0.138356,191,0.138356,0,0
1500,190,0.126667,190,0.126667,0,0
1322.5,191,0.144423,191,0.144423,0,0
1500,191,0.127333,191,0.127333,0,0
1444,191,0.132271,191,0.132271,0,0
1500,189,0.126,189,0.126,0,0
1334.5,189,0.141626,189,0.141626,0,0
1500,191,0.127333,191,0.127333,0,0
1408.5,190,0.134895,190,0.134895,0,0
1500,186,0.124,186,0.124,0,0
1429,191,0.13366,191,0.13366,0,0
1500,190,0.126667,190,0.126667,0,0
1500,190,0.126667,190,0.126667,0,0
1500,189,0.126,189,0.126,0,0
1500,190,0.126667,190,0.126667,0,0
1500,191,0.127333,191,0.127333,0,0
1500,191,0.127333,191,0.127333,0,0
1500,188,0.125333,188,0.125333,0,0
1500,188,0.125333,188,0.125333,0,0
1481.5,191,0.128923,191,0.128923,0,0
1500,190,0.126667,190,0.126667,0,0
1500,191,0.127333,191,0.127333,0,0
1500,189,0.126,189,0.126,0,0
1500,190,0.126667,190,0.126667,0,0
1500,190,0.126667,190,0.126667,0,0
1295.5,190,0.146662,190,0.146662,0,0
1500,189,0.126,189,0.126,0,0
1500,188,0.125333,188,0.125333,0,0
1500,189,0.126,189,0.126,0,0
1500,188,0.125333,188,0.125333,0,0
1500,108,0.072,80,0.0533333,28,0.0186667
1500,247,0.164667,188,0.125333,59,0.0393333
1500,249,0.166,187,0.124667,62,0.0413333
1500,245,0.163333,182,0.121333,63,0.042
1500,249,0.166,187,0.124667,62,0.0413333
1500,120,0.08,89,0.0593333,31,0.0206667
1500,248,0.165333,186,0.124,62,0.0413333
1500,246,0.164,184,0.122667,62,0.0413333
1500,244,0.162667,185,0.123333,59,0.0393333
1500,243,0.162,183,0.122,60,0.04
1500,239,0.159333,181,0.120667,58,0.0386667
1500,250,0.166667,189,0.126,61,0.0406667
1500,245,0.163333,184,0.122667,61,0.0406667
1500,249,0.166,186,0.124,63,0.042
1500,249,0.166,187,0.124667,62,0.0413333
1500,248,0.165333,187,0.124667,61,0.0406667
1500,250,0.166667,188,0.125333,62,0.0413333
1500,248,0.165333,188,0.125333,60,0.04
1500,251,0.167333,189,0.126,62,0.0413333
1500,246,0.164,185,0.123333,61,0.0406667
1500,248,0.165333,186,0.124,62,0.0413333
1500,244,0.162667,181,0.120667,63,0.042
1500,251,0.167333,189,0.126,62,0.0413333
1500,245,0.163333,182,0.121333,63,0.042
1500,251,0.167333,189,0.126,62,0.0413333
1500,245,0.163333,183,0.122,62,0.0413333
1500,239,0.159333,183,0.122,56,0.0373333
1500,249,0.166,187,0.124667,62,0.0413333
1500,246,0.164,185,0.123333,61,0.0406667
1500,248,0.165333,186,0.124,62,0.0413333
1500,245,0.163333,183,0.122,62,0.0413333
1500,246,0.164,187,0.124667,59,0.0393333
1500,244,0.162667,183,0.122,61,0.0406667
1500,246,0.164,183,0.122,63,0.042
1500,248,0.165333,186,0.124,62,0.0413333
1500,247,0.164667,187,0.124667,60,0.04
1500,252,0.168,190,0.126667,62,0.0413333
1500,249,0.166,187,0.124667,62,0.0413333
1500,245,0.163333,185,0.123333,60,0.04
1500,247,0.164667,187,0.124667,60,0.04
1500,250,0.166667,187,0.124667,63,0.042
1500,245,0.163333,185,0.123333,60,0.04
1500,247,0.164667,185,0.123333,62,0.0413333
1500,248,0.165333,186,0.124,62,0.0413333
1500,246,0.164,184,0.122667,62,0.0413333
1500,249,0.166,188,0.125333,61,0.0406667
1500,245,0.163333,185,0.123333,60,0.04
1500,243,0.162,184,0.122667,59,0.0393333
1500,244,0.162667,185,0.123333,59,0.0393333
1500,249,0.166,186,0.124,63,0.042
