tags_collected, collisions_in_seconds, time_in_minutes, random_seed
121, 2067.34, 25, 372288
116, 2288.03, 25, 385416
127, 1820.34, 25, 56796
127, 2201.94, 24.7333, 923164
118, 1817.19, 25, 456568
121, 3552.72, 25, 388433
126, 1609.69, 23.45, 511854
124, 1409.41, 25, 458796
125, 1587.5, 25, 505024
125, 1171.75, 21.075, 809601
122, 1635.66, 25, 549213
119, 2179.38, 25, 448285
127, 2242.53, 24.7417, 312776
105, 2188.19, 25, 612835
126, 1762.16, 23.5083, 512815
125, 1765, 18.6083, 379418
124, 1014.41, 20.55, 28734
126, 1857.75, 25, 471035
115, 2401.03, 25, 180331
115, 2397.19, 25, 653912
125, 1992.28, 21.625, 152902
125, 2671.34, 25, 655215
122, 1730.72, 25, 956303
123, 2033.62, 25, 88101
126, 2403.88, 25, 764048
98, 2882, 25, 645592
124, 1703.81, 23.4167, 393934
127, 1901.66, 25, 27816
127, 1422.88, 22.7583, 508667
126, 2009.44, 25, 113675
126, 1696.22, 24.1167, 108129
125, 2317.88, 24.4833, 620909
127, 1938.81, 25, 767422
102, 2976.62, 25, 775186
127, 1548.72, 22.6333, 904917
126, 1467.19, 22.875, 541248
125, 2169.56, 24.1833, 361979
126, 1171.84, 20.775, 961526
127, 2588.22, 25, 484586
127, 1982.12, 21.575, 287532
123, 2869.44, 25, 916076
125, 2180.25, 21.8917, 218362
123, 1815.31, 21.775, 520236
126, 1977.22, 21.75, 972503
127, 1120.12, 20.125, 340673
123, 1152.09, 25, 35544
123, 2038.12, 24.6, 478678
126, 2279.09, 21.85, 106809
125, 2417.94, 25, 768997
115, 2742.19, 25, 684377
95, 3492.66, 25, 408524
93, 2501.38, 25, 493398
108, 3059.88, 25, 413539
70, 2294.75, 25, 226058
102, 2457.78, 25, 237122
85, 3667, 25, 884374
112, 1886.62, 25, 953168
110, 1910.72, 25, 545908
105, 1568.16, 25, 744415
114, 2594.5, 25, 315322
120, 3189.53, 25, 109669
104, 2082.88, 25, 720389
115, 1998.03, 25, 820495
96, 1864.56, 25, 418615
118, 1859.31, 25, 864374
96, 2716.34, 25, 482425
101, 2033.19, 25, 581081
86, 2904.44, 25, 631189
110, 2055.84, 25, 814079
114, 1577.47, 25, 309796
96, 2393.59, 25, 863661
109, 1981.84, 25, 605252
93, 2017.5, 25, 440659
95, 2378.28, 25, 151983
98, 2579.66, 25, 770996
126, 1774.78, 25, 848054
121, 2034.47, 25, 543795
107, 2263.84, 25, 634365
100, 2242.75, 25, 247087
83, 2896.22, 25, 546711
113, 2346.94, 25, 624106
112, 2503.06, 25, 179389
103, 2256, 25, 313589
100, 1850.97, 25, 139890
102, 2853.31, 25, 877493
88, 1954.56, 25, 405946
90, 1832.59, 25, 215021
128, 1899.31, 22.6708, 628061
128, 4105.41, 25, 628061
113, 1470.41, 25, 919168
104, 2000.12, 25, 664889
103, 3190.91, 25, 125212
75, 2564.03, 25, 754714
98, 2158.75, 25, 648556
95, 1690.12, 25, 385318
103, 2116.22, 25, 510484
108, 1995, 25, 856688
98, 2137.12, 25, 276277
107, 2218.66, 25, 371253
112, 1877.47, 25, 787534
99, 1742.66, 25, 485531
