tags_collected, collisions_in_seconds, time_in_minutes, random_seed
127, 529.125, 20.5667, 834245
127, 628.188, 25, 118730
125, 435.844, 14.3417, 556793
127, 579.375, 24.075, 935402
127, 567.969, 24.6333, 926808
127, 664.344, 20.1333, 312344
127, 662.125, 24.1083, 864379
127, 507.375, 18.7583, 527390
127, 528.438, 23.0667, 9998
127, 574.438, 20.175, 903544
127, 604.938, 25, 232900
127, 515.875, 19, 734323
127, 587.812, 25, 109881
126, 578.25, 20.175, 272249
127, 654.188, 22.7583, 86672
127, 640, 25, 792925
127, 610.188, 25, 842224
127, 638.094, 24.0333, 503429
127, 629.531, 23.65, 801556
127, 574.25, 21.9083, 591307
127, 501.688, 19.4583, 337034
127, 668.75, 25, 96348
127, 604.906, 20.8833, 392914
127, 584, 24.625, 180684
127, 666.25, 21.875, 891402
127, 602.719, 22.2083, 341075
127, 479.312, 21.1333, 968140
127, 514.938, 18.625, 97553
127, 575.031, 25, 134335
127, 628.656, 25, 167674
127, 510.094, 18.6333, 762063
127, 627.344, 24.6667, 429467
127, 613.969, 21.4667, 732898
126, 689.406, 25, 979009
124, 553.688, 19.2583, 699796
127, 519.5, 22.8417, 563077
127, 592.875, 19.4083, 974324
127, 491.25, 20.7667, 981210
127, 632.688, 25, 32456
127, 700.812, 25, 692339
127, 645.031, 22.95, 264248
127, 610.188, 21.2, 533252
125, 644.812, 17.725, 62187
127, 584.125, 25, 991952
127, 599.219, 23.3, 507417
127, 651.031, 22.3333, 989937
126, 525.938, 21.3667, 850954
127, 540.969, 20.3917, 99437
127, 669.719, 18.0833, 762807
127, 606.594, 23.0417, 960600
123, 1195.41, 25, 141260
126, 1033.41, 25, 759771
127, 1200.78, 25, 339585
121, 1180.41, 25, 541773
122, 1142.41, 25, 718455
112, 1311.44, 25, 104785
118, 1040.59, 25, 193728
123, 1274.44, 25, 502660
120, 1286.5, 25, 645892
120, 1025.97, 25, 18115
124, 1275.62, 25, 234915
122, 990.969, 25, 416501
123, 1078.19, 25, 698152
124, 1045.84, 25, 304619
122, 1321.59, 25, 505109
124, 1036.22, 25, 920479
122, 1249.38, 25, 407476
124, 1022.56, 25, 663463
123, 1173.16, 25, 175703
127, 1008.88, 25, 448071
122, 1135.34, 25, 923692
126, 1080.19, 25, 360371
120, 1385.78, 25, 819408
123, 1158.88, 25, 38247
122, 1043.34, 25, 880732
124, 958.094, 25, 276553
124, 1268.16, 25, 28637
127, 1016.53, 25, 154435
125, 1142.62, 25, 580436
125, 1072, 25, 915221
125, 1061.31, 25, 404798
124, 1054.91, 25, 804979
122, 1079.88, 25, 263922
121, 1047.25, 25, 768225
118, 1401.41, 25, 89384
121, 1255.12, 25, 235186
124, 1266.12, 25, 497912
123, 1217.22, 25, 773013
125, 1091.47, 25, 166125
122, 1270.78, 25, 479569
120, 1040.16, 25, 892343
122, 1320.31, 25, 86274
123, 1061.03, 25, 323224
122, 1308.31, 25, 718384
124, 964.906, 25, 358798
124, 994.219, 25, 587601
123, 1079.44, 25, 944711
123, 1220.38, 25, 238174
123, 1139.06, 25, 684449
122, 1251.09, 25, 841043
