Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,108,0.12,76,0.0844444,32,0.0355556,8,4
900,93,0.103333,52,0.0577778,41,0.0455556,2,8
900,61,0.0677778,48,0.0533333,13,0.0144444,8,0
900,63,0.07,53,0.0588889,10,0.0111111,6,0
900,90,0.1,57,0.0633333,33,0.0366667,7,2
900,101,0.112222,79,0.0877778,22,0.0244444,14,1
900,102,0.113333,79,0.0877778,23,0.0255556,1,3
900,78,0.0866667,64,0.0711111,14,0.0155556,8,1
900,102,0.113333,73,0.0811111,29,0.0322222,5,5
900,95,0.105556,78,0.0866667,17,0.0188889,10,0
900,78,0.0866667,45,0.05,33,0.0366667,4,4
900,96,0.106667,87,0.0966667,9,0.01,4,0
900,116,0.128889,43,0.0477778,73,0.0811111,4,16
900,85,0.0944444,76,0.0844444,9,0.01,5,0
900,92,0.102222,79,0.0877778,13,0.0144444,3,0
900,84,0.0933333,40,0.0444444,44,0.0488889,5,3
900,109,0.121111,98,0.108889,11,0.0122222,14,0
900,84,0.0933333,63,0.07,21,0.0233333,4,0
900,99,0.11,63,0.07,36,0.04,6,5
900,93,0.103333,80,0.0888889,13,0.0144444,10,0
900,100,0.111111,93,0.103333,7,0.00777778,11,0
900,91,0.101111,63,0.07,28,0.0311111,4,3
900,93,0.103333,85,0.0944444,8,0.00888889,8,0
900,106,0.117778,79,0.0877778,27,0.03,3,1
900,82,0.0911111,51,0.0566667,31,0.0344444,5,8
900,82,0.0911111,57,0.0633333,25,0.0277778,9,5
900,80,0.0888889,47,0.0522222,33,0.0366667,1,4
900,93,0.103333,61,0.0677778,32,0.0355556,10,3
900,84,0.0933333,54,0.06,30,0.0333333,8,4
900,111,0.123333,60,0.0666667,51,0.0566667,8,10
900,81,0.09,50,0.0555556,31,0.0344444,6,3
900,94,0.104444,83,0.0922222,11,0.0122222,8,0
900,81,0.09,51,0.0566667,30,0.0333333,6,2
900,104,0.115556,81,0.09,23,0.0255556,4,0
900,63,0.07,30,0.0333333,33,0.0366667,5,2
900,81,0.09,60,0.0666667,21,0.0233333,4,1
900,93,0.103333,65,0.0722222,28,0.0311111,4,2
900,84,0.0933333,44,0.0488889,40,0.0444444,4,7
900,62,0.0688889,33,0.0366667,29,0.0322222,1,2
900,112,0.124444,91,0.101111,21,0.0233333,9,0
900,93,0.103333,80,0.0888889,13,0.0144444,4,2
900,77,0.0855556,68,0.0755556,9,0.01,7,0
900,96,0.106667,67,0.0744444,29,0.0322222,7,2
900,66,0.0733333,35,0.0388889,31,0.0344444,4,2
900,94,0.104444,73,0.0811111,21,0.0233333,7,3
900,93,0.103333,44,0.0488889,49,0.0544444,3,7
900,65,0.0722222,24,0.0266667,41,0.0455556,2,6
900,99,0.11,74,0.0822222,25,0.0277778,8,4
900,88,0.0977778,65,0.0722222,23,0.0255556,10,1
900,76,0.0844444,49,0.0544444,27,0.03,5,1
900,96,0.106667,61,0.0677778,35,0.0388889,5,3
900,89,0.0988889,59,0.0655556,30,0.0333333,11,3
900,93,0.103333,45,0.05,48,0.0533333,6,5
900,68,0.0755556,49,0.0544444,19,0.0211111,7,4
900,100,0.111111,70,0.0777778,30,0.0333333,6,4
900,90,0.1,65,0.0722222,25,0.0277778,4,2
900,86,0.0955556,42,0.0466667,44,0.0488889,7,4
900,73,0.0811111,43,0.0477778,30,0.0333333,4,2
900,88,0.0977778,67,0.0744444,21,0.0233333,6,1
900,92,0.102222,58,0.0644444,34,0.0377778,3,2
