Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,97,0.107778,94,0.104444,3,0.00333333,8,0
900,83,0.0922222,80,0.0888889,3,0.00333333,12,0
900,80,0.0888889,77,0.0855556,3,0.00333333,11,0
900,88,0.0977778,83,0.0922222,5,0.00555556,9,0
900,70,0.0777778,69,0.0766667,1,0.00111111,5,0
900,91,0.101111,86,0.0955556,5,0.00555556,6,0
900,83,0.0922222,78,0.0866667,5,0.00555556,10,0
900,88,0.0977778,86,0.0955556,2,0.00222222,5,0
900,54,0.06,52,0.0577778,2,0.00222222,14,0
900,71,0.0788889,65,0.0722222,6,0.00666667,3,0
900,84,0.0933333,81,0.09,3,0.00333333,6,0
900,78,0.0866667,74,0.0822222,4,0.00444444,7,0
900,77,0.0855556,72,0.08,5,0.00555556,8,0
900,68,0.0755556,67,0.0744444,1,0.00111111,7,0
900,85,0.0944444,81,0.09,4,0.00444444,6,0
900,98,0.108889,93,0.103333,5,0.00555556,8,0
900,96,0.106667,91,0.101111,5,0.00555556,9,0
900,71,0.0788889,66,0.0733333,5,0.00555556,6,0
900,73,0.0811111,71,0.0788889,2,0.00222222,9,0
900,79,0.0877778,76,0.0844444,3,0.00333333,7,0
900,85,0.0944444,81,0.09,4,0.00444444,6,0
900,84,0.0933333,82,0.0911111,2,0.00222222,8,0
900,75,0.0833333,71,0.0788889,4,0.00444444,6,0
900,99,0.11,96,0.106667,3,0.00333333,10,0
900,83,0.0922222,78,0.0866667,5,0.00555556,7,0
900,80,0.0888889,77,0.0855556,3,0.00333333,4,0
900,78,0.0866667,75,0.0833333,3,0.00333333,6,0
900,99,0.11,95,0.105556,4,0.00444444,2,0
900,82,0.0911111,80,0.0888889,2,0.00222222,8,0
900,100,0.111111,96,0.106667,4,0.00444444,5,0
