Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
600,44,0.0733333,44,0.0733333,0,0,4,0
600,55,0.0916667,55,0.0916667,0,0,7,0
600,56,0.0933333,56,0.0933333,0,0,4,0
600,52,0.0866667,52,0.0866667,0,0,3,0
600,50,0.0833333,50,0.0833333,0,0,4,0
600,42,0.07,42,0.07,0,0,6,0
600,56,0.0933333,56,0.0933333,0,0,7,0
600,67,0.111667,67,0.111667,0,0,8,0
600,59,0.0983333,59,0.0983333,0,0,5,0
600,55,0.0916667,55,0.0916667,0,0,7,0
600,40,0.0666667,40,0.0666667,0,0,4,0
600,38,0.0633333,38,0.0633333,0,0,3,0
600,39,0.065,39,0.065,0,0,4,0
600,59,0.0983333,59,0.0983333,0,0,12,0
600,57,0.095,57,0.095,0,0,3,0
600,58,0.0966667,58,0.0966667,0,0,7,0
600,48,0.08,48,0.08,0,0,6,0
600,55,0.0916667,55,0.0916667,0,0,3,0
600,57,0.095,57,0.095,0,0,10,0
600,53,0.0883333,53,0.0883333,0,0,3,0
600,49,0.0816667,49,0.0816667,0,0,7,0
600,46,0.0766667,46,0.0766667,0,0,4,0
600,44,0.0733333,44,0.0733333,0,0,6,0
600,49,0.0816667,49,0.0816667,0,0,4,0
600,56,0.0933333,56,0.0933333,0,0,10,0
600,49,0.0816667,49,0.0816667,0,0,3,0
600,73,0.121667,73,0.121667,0,0,10,0
600,51,0.085,51,0.085,0,0,2,0
600,47,0.0783333,47,0.0783333,0,0,6,0
600,45,0.075,45,0.075,0,0,2,0
600,51,0.085,51,0.085,0,0,6,0
600,55,0.0916667,55,0.0916667,0,0,5,0
600,51,0.085,51,0.085,0,0,5,0
600,52,0.0866667,52,0.0866667,0,0,4,0
600,64,0.106667,64,0.106667,0,0,5,0
600,51,0.085,51,0.085,0,0,4,0
600,63,0.105,63,0.105,0,0,11,0
600,43,0.0716667,43,0.0716667,0,0,2,0
600,71,0.118333,71,0.118333,0,0,5,0
600,42,0.07,42,0.07,0,0,5,0
600,54,0.09,54,0.09,0,0,7,0
600,56,0.0933333,56,0.0933333,0,0,4,0
600,49,0.0816667,49,0.0816667,0,0,6,0
600,57,0.095,57,0.095,0,0,3,0
600,50,0.0833333,50,0.0833333,0,0,2,0
600,47,0.0783333,47,0.0783333,0,0,4,0
600,49,0.0816667,49,0.0816667,0,0,5,0
600,54,0.09,54,0.09,0,0,4,0
600,49,0.0816667,49,0.0816667,0,0,3,0
600,36,0.06,36,0.06,0,0,1,0
600,48,0.08,48,0.08,0,0,2,0
600,54,0.09,54,0.09,0,0,7,0
600,45,0.075,45,0.075,0,0,6,0
600,62,0.103333,62,0.103333,0,0,3,0
600,59,0.0983333,59,0.0983333,0,0,6,0
600,46,0.0766667,46,0.0766667,0,0,10,0
600,47,0.0783333,47,0.0783333,0,0,10,0
600,45,0.075,45,0.075,0,0,5,0
600,49,0.0816667,49,0.0816667,0,0,7,0
600,72,0.12,72,0.12,0,0,8,0
