Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,76,0.0844444,64,0.0711111,12,0.0133333,8,0
900,89,0.0988889,80,0.0888889,9,0.01,9,0
900,80,0.0888889,71,0.0788889,9,0.01,10,0
900,98,0.108889,89,0.0988889,9,0.01,13,0
900,82,0.0911111,71,0.0788889,11,0.0122222,4,0
900,82,0.0911111,75,0.0833333,7,0.00777778,9,0
900,91,0.101111,83,0.0922222,8,0.00888889,5,0
900,94,0.104444,90,0.1,4,0.00444444,12,0
900,93,0.103333,84,0.0933333,9,0.01,8,0
900,90,0.1,83,0.0922222,7,0.00777778,4,0
900,92,0.102222,80,0.0888889,12,0.0133333,6,0
900,92,0.102222,79,0.0877778,13,0.0144444,8,0
900,75,0.0833333,63,0.07,12,0.0133333,10,0
900,73,0.0811111,64,0.0711111,9,0.01,3,0
900,90,0.1,82,0.0911111,8,0.00888889,8,0
900,82,0.0911111,73,0.0811111,9,0.01,6,0
900,92,0.102222,83,0.0922222,9,0.01,6,0
900,72,0.08,63,0.07,9,0.01,5,0
900,95,0.105556,82,0.0911111,13,0.0144444,8,0
900,74,0.0822222,62,0.0688889,12,0.0133333,5,0
900,90,0.1,79,0.0877778,11,0.0122222,5,0
900,86,0.0955556,76,0.0844444,10,0.0111111,3,0
900,80,0.0888889,69,0.0766667,11,0.0122222,6,0
900,86,0.0955556,71,0.0788889,15,0.0166667,7,0
900,70,0.0777778,60,0.0666667,10,0.0111111,5,0
900,86,0.0955556,77,0.0855556,9,0.01,3,0
900,88,0.0977778,75,0.0833333,13,0.0144444,5,0
900,79,0.0877778,68,0.0755556,11,0.0122222,3,0
900,81,0.09,75,0.0833333,6,0.00666667,9,0
900,70,0.0777778,60,0.0666667,10,0.0111111,7,0
900,90,0.1,79,0.0877778,11,0.0122222,8,0
900,92,0.102222,83,0.0922222,9,0.01,9,0
900,74,0.0822222,60,0.0666667,14,0.0155556,4,0
900,74,0.0822222,63,0.07,11,0.0122222,5,0
900,91,0.101111,75,0.0833333,16,0.0177778,12,0
900,79,0.0877778,72,0.08,7,0.00777778,3,0
900,88,0.0977778,77,0.0855556,11,0.0122222,8,0
900,92,0.102222,78,0.0866667,14,0.0155556,5,0
900,67,0.0744444,61,0.0677778,6,0.00666667,8,0
900,102,0.113333,93,0.103333,9,0.01,8,0
900,62,0.0688889,52,0.0577778,10,0.0111111,4,0
900,74,0.0822222,56,0.0622222,18,0.02,1,0
900,92,0.102222,81,0.09,11,0.0122222,8,0
900,81,0.09,67,0.0744444,14,0.0155556,5,0
900,93,0.103333,85,0.0944444,8,0.00888889,10,0
900,76,0.0844444,70,0.0777778,6,0.00666667,6,0
900,71,0.0788889,58,0.0644444,13,0.0144444,6,0
900,83,0.0922222,74,0.0822222,9,0.01,6,0
900,70,0.0777778,66,0.0733333,4,0.00444444,7,0
900,89,0.0988889,84,0.0933333,5,0.00555556,10,0
900,89,0.0988889,84,0.0933333,5,0.00555556,5,0
900,91,0.101111,79,0.0877778,12,0.0133333,5,0
900,87,0.0966667,76,0.0844444,11,0.0122222,5,0
900,83,0.0922222,68,0.0755556,15,0.0166667,6,0
900,78,0.0866667,66,0.0733333,12,0.0133333,3,0
900,74,0.0822222,68,0.0755556,6,0.00666667,5,0
900,87,0.0966667,77,0.0855556,10,0.0111111,5,0
900,87,0.0966667,74,0.0822222,13,0.0144444,9,0
900,80,0.0888889,64,0.0711111,16,0.0177778,4,0
900,97,0.107778,87,0.0966667,10,0.0111111,7,0
