Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,102,0.113333,48,0.0533333,54,0.06,6,18
900,79,0.0877778,36,0.04,43,0.0477778,4,11
900,81,0.09,44,0.0488889,37,0.0411111,7,17
900,77,0.0855556,61,0.0677778,16,0.0177778,6,5
900,83,0.0922222,47,0.0522222,36,0.04,7,13
900,83,0.0922222,30,0.0333333,53,0.0588889,3,15
900,84,0.0933333,55,0.0611111,29,0.0322222,3,9
900,92,0.102222,53,0.0588889,39,0.0433333,8,15
900,106,0.117778,63,0.07,43,0.0477778,9,18
900,130,0.144444,71,0.0788889,59,0.0655556,7,22
900,78,0.0866667,46,0.0511111,32,0.0355556,7,11
900,83,0.0922222,49,0.0544444,34,0.0377778,7,18
900,96,0.106667,56,0.0622222,40,0.0444444,2,14
900,105,0.116667,68,0.0755556,37,0.0411111,12,15
900,101,0.112222,59,0.0655556,42,0.0466667,7,13
900,100,0.111111,74,0.0822222,26,0.0288889,8,6
900,96,0.106667,78,0.0866667,18,0.02,4,10
900,82,0.0911111,52,0.0577778,30,0.0333333,4,11
900,101,0.112222,54,0.06,47,0.0522222,8,29
900,118,0.131111,79,0.0877778,39,0.0433333,6,16
900,113,0.125556,60,0.0666667,53,0.0588889,7,20
900,85,0.0944444,54,0.06,31,0.0344444,9,10
900,94,0.104444,54,0.06,40,0.0444444,3,15
900,77,0.0855556,34,0.0377778,43,0.0477778,3,11
900,66,0.0733333,43,0.0477778,23,0.0255556,1,5
900,87,0.0966667,83,0.0922222,4,0.00444444,5,0
900,98,0.108889,59,0.0655556,39,0.0433333,5,15
900,93,0.103333,57,0.0633333,36,0.04,7,16
900,97,0.107778,63,0.07,34,0.0377778,10,14
900,100,0.111111,62,0.0688889,38,0.0422222,5,21
900,105,0.116667,65,0.0722222,40,0.0444444,9,14
900,91,0.101111,62,0.0688889,29,0.0322222,10,9
900,90,0.1,46,0.0511111,44,0.0488889,4,18
900,87,0.0966667,66,0.0733333,21,0.0233333,7,8
900,76,0.0844444,47,0.0522222,29,0.0322222,6,11
900,107,0.118889,75,0.0833333,32,0.0355556,2,7
900,81,0.09,44,0.0488889,37,0.0411111,9,16
900,94,0.104444,58,0.0644444,36,0.04,7,14
900,88,0.0977778,53,0.0588889,35,0.0388889,4,10
900,86,0.0955556,46,0.0511111,40,0.0444444,8,16
900,93,0.103333,66,0.0733333,27,0.03,7,6
900,115,0.127778,73,0.0811111,42,0.0466667,9,11
900,91,0.101111,66,0.0733333,25,0.0277778,2,12
900,97,0.107778,55,0.0611111,42,0.0466667,7,15
900,102,0.113333,33,0.0366667,69,0.0766667,7,23
900,89,0.0988889,52,0.0577778,37,0.0411111,5,13
900,71,0.0788889,41,0.0455556,30,0.0333333,6,7
900,86,0.0955556,46,0.0511111,40,0.0444444,3,20
900,107,0.118889,60,0.0666667,47,0.0522222,6,21
900,102,0.113333,57,0.0633333,45,0.05,3,15
900,98,0.108889,57,0.0633333,41,0.0455556,4,12
900,88,0.0977778,49,0.0544444,39,0.0433333,12,15
900,106,0.117778,62,0.0688889,44,0.0488889,7,17
900,97,0.107778,60,0.0666667,37,0.0411111,5,18
900,47,0.0522222,18,0.02,29,0.0322222,1,5
900,94,0.104444,79,0.0877778,15,0.0166667,4,5
900,105,0.116667,44,0.0488889,61,0.0677778,5,23
900,77,0.0855556,52,0.0577778,25,0.0277778,5,9
900,76,0.0844444,46,0.0511111,30,0.0333333,5,8
900,95,0.105556,46,0.0511111,49,0.0544444,2,20
