Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,80,0.0888889,75,0.0833333,5,0.00555556,8,1
900,108,0.12,50,0.0555556,58,0.0644444,2,27
900,70,0.0777778,28,0.0311111,42,0.0466667,2,11
900,80,0.0888889,67,0.0744444,13,0.0144444,5,5
900,93,0.103333,54,0.06,39,0.0433333,6,19
900,100,0.111111,76,0.0844444,24,0.0266667,3,5
900,89,0.0988889,57,0.0633333,32,0.0355556,6,9
900,112,0.124444,65,0.0722222,47,0.0522222,4,18
900,101,0.112222,68,0.0755556,33,0.0366667,8,11
900,102,0.113333,58,0.0644444,44,0.0488889,7,20
900,88,0.0977778,49,0.0544444,39,0.0433333,4,12
900,90,0.1,44,0.0488889,46,0.0511111,4,20
900,92,0.102222,76,0.0844444,16,0.0177778,8,3
900,100,0.111111,83,0.0922222,17,0.0188889,10,2
900,95,0.105556,61,0.0677778,34,0.0377778,5,11
900,89,0.0988889,79,0.0877778,10,0.0111111,10,1
900,84,0.0933333,52,0.0577778,32,0.0355556,7,10
900,97,0.107778,62,0.0688889,35,0.0388889,6,17
900,78,0.0866667,33,0.0366667,45,0.05,3,18
900,101,0.112222,67,0.0744444,34,0.0377778,7,9
900,93,0.103333,33,0.0366667,60,0.0666667,3,26
900,95,0.105556,81,0.09,14,0.0155556,9,4
900,77,0.0855556,57,0.0633333,20,0.0222222,4,8
900,108,0.12,50,0.0555556,58,0.0644444,4,27
900,116,0.128889,84,0.0933333,32,0.0355556,7,12
900,86,0.0955556,61,0.0677778,25,0.0277778,6,10
900,88,0.0977778,63,0.07,25,0.0277778,3,11
900,77,0.0855556,47,0.0522222,30,0.0333333,6,7
900,107,0.118889,54,0.06,53,0.0588889,9,22
900,62,0.0688889,33,0.0366667,29,0.0322222,3,11
900,96,0.106667,53,0.0588889,43,0.0477778,3,19
900,93,0.103333,53,0.0588889,40,0.0444444,4,13
900,89,0.0988889,51,0.0566667,38,0.0422222,2,14
900,100,0.111111,71,0.0788889,29,0.0322222,7,14
900,106,0.117778,66,0.0733333,40,0.0444444,4,15
900,95,0.105556,47,0.0522222,48,0.0533333,5,12
900,99,0.11,88,0.0977778,11,0.0122222,6,0
900,90,0.1,82,0.0911111,8,0.00888889,8,0
900,71,0.0788889,48,0.0533333,23,0.0255556,7,8
900,70,0.0777778,43,0.0477778,27,0.03,2,11
900,106,0.117778,60,0.0666667,46,0.0511111,5,20
900,88,0.0977778,45,0.05,43,0.0477778,5,13
900,100,0.111111,57,0.0633333,43,0.0477778,4,16
900,95,0.105556,51,0.0566667,44,0.0488889,5,15
900,98,0.108889,69,0.0766667,29,0.0322222,8,10
900,85,0.0944444,55,0.0611111,30,0.0333333,5,12
900,74,0.0822222,33,0.0366667,41,0.0455556,3,12
900,101,0.112222,59,0.0655556,42,0.0466667,10,11
900,102,0.113333,41,0.0455556,61,0.0677778,7,27
900,94,0.104444,40,0.0444444,54,0.06,5,20
900,109,0.121111,44,0.0488889,65,0.0722222,3,18
900,97,0.107778,66,0.0733333,31,0.0344444,5,11
900,92,0.102222,41,0.0455556,51,0.0566667,6,23
900,82,0.0911111,44,0.0488889,38,0.0422222,8,17
900,71,0.0788889,48,0.0533333,23,0.0255556,3,9
900,82,0.0911111,54,0.06,28,0.0311111,7,11
900,98,0.108889,50,0.0555556,48,0.0533333,9,13
900,105,0.116667,60,0.0666667,45,0.05,4,22
900,104,0.115556,70,0.0777778,34,0.0377778,5,12
900,101,0.112222,61,0.0677778,40,0.0444444,3,14
