Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,93,0.103333,70,0.0777778,23,0.0255556,9,9
900,97,0.107778,48,0.0533333,49,0.0544444,5,17
900,81,0.09,51,0.0566667,30,0.0333333,5,6
900,98,0.108889,47,0.0522222,51,0.0566667,4,19
900,88,0.0977778,50,0.0555556,38,0.0422222,8,8
900,91,0.101111,48,0.0533333,43,0.0477778,2,13
900,85,0.0944444,51,0.0566667,34,0.0377778,3,12
900,92,0.102222,54,0.06,38,0.0422222,6,15
900,68,0.0755556,45,0.05,23,0.0255556,4,3
900,107,0.118889,62,0.0688889,45,0.05,7,24
900,104,0.115556,48,0.0533333,56,0.0622222,4,22
900,111,0.123333,64,0.0711111,47,0.0522222,3,13
900,81,0.09,43,0.0477778,38,0.0422222,4,11
900,61,0.0677778,30,0.0333333,31,0.0344444,6,10
900,99,0.11,53,0.0588889,46,0.0511111,3,20
900,103,0.114444,50,0.0555556,53,0.0588889,5,14
900,91,0.101111,75,0.0833333,16,0.0177778,7,2
900,87,0.0966667,46,0.0511111,41,0.0455556,4,15
900,108,0.12,66,0.0733333,42,0.0466667,10,14
900,82,0.0911111,54,0.06,28,0.0311111,10,8
900,99,0.11,64,0.0711111,35,0.0388889,4,15
900,117,0.13,69,0.0766667,48,0.0533333,4,19
900,101,0.112222,50,0.0555556,51,0.0566667,6,20
900,93,0.103333,63,0.07,30,0.0333333,8,6
900,82,0.0911111,60,0.0666667,22,0.0244444,7,9
900,94,0.104444,53,0.0588889,41,0.0455556,7,15
900,80,0.0888889,46,0.0511111,34,0.0377778,4,11
900,91,0.101111,48,0.0533333,43,0.0477778,5,17
900,90,0.1,40,0.0444444,50,0.0555556,5,19
900,81,0.09,46,0.0511111,35,0.0388889,4,10
900,85,0.0944444,43,0.0477778,42,0.0466667,3,15
900,104,0.115556,81,0.09,23,0.0255556,9,6
900,92,0.102222,46,0.0511111,46,0.0511111,3,20
900,92,0.102222,52,0.0577778,40,0.0444444,7,19
900,93,0.103333,43,0.0477778,50,0.0555556,3,15
900,95,0.105556,58,0.0644444,37,0.0411111,4,11
900,106,0.117778,64,0.0711111,42,0.0466667,7,16
900,89,0.0988889,63,0.07,26,0.0288889,5,6
900,91,0.101111,54,0.06,37,0.0411111,10,21
900,100,0.111111,75,0.0833333,25,0.0277778,8,8
900,101,0.112222,61,0.0677778,40,0.0444444,3,7
900,91,0.101111,69,0.0766667,22,0.0244444,6,7
900,99,0.11,71,0.0788889,28,0.0311111,3,12
900,97,0.107778,54,0.06,43,0.0477778,8,15
900,90,0.1,56,0.0622222,34,0.0377778,5,11
900,91,0.101111,61,0.0677778,30,0.0333333,7,10
900,111,0.123333,72,0.08,39,0.0433333,6,10
900,97,0.107778,61,0.0677778,36,0.04,6,20
900,97,0.107778,45,0.05,52,0.0577778,5,15
900,98,0.108889,63,0.07,35,0.0388889,6,16
900,85,0.0944444,56,0.0622222,29,0.0322222,6,7
900,76,0.0844444,32,0.0355556,44,0.0488889,6,12
900,96,0.106667,48,0.0533333,48,0.0533333,6,17
900,72,0.08,35,0.0388889,37,0.0411111,3,11
900,92,0.102222,71,0.0788889,21,0.0233333,6,6
900,113,0.125556,73,0.0811111,40,0.0444444,12,20
900,111,0.123333,55,0.0611111,56,0.0622222,8,20
900,77,0.0855556,46,0.0511111,31,0.0344444,2,10
900,97,0.107778,48,0.0533333,49,0.0544444,3,16
900,68,0.0755556,26,0.0288889,42,0.0466667,1,16
