Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created, False Positives
900,51,0.0566667,45,0.05,6,0.00666667,5,1,1
900,77,0.0855556,68,0.0755556,9,0.01,6,0,3
900,77,0.0855556,69,0.0766667,8,0.00888889,8,3,4
900,89,0.0988889,82,0.0911111,7,0.00777778,10,1,2
900,85,0.0944444,72,0.08,13,0.0144444,2,2,5
900,61,0.0677778,42,0.0466667,19,0.0211111,5,3,8
900,76,0.0844444,66,0.0733333,10,0.0111111,7,1,2
900,82,0.0911111,72,0.08,10,0.0111111,7,1,3
900,55,0.0611111,46,0.0511111,9,0.01,3,1,1
900,84,0.0933333,73,0.0811111,11,0.0122222,8,2,6
900,79,0.0877778,72,0.08,7,0.00777778,8,0,1
900,72,0.08,60,0.0666667,12,0.0133333,2,1,2
900,72,0.08,63,0.07,9,0.01,8,1,1
900,74,0.0822222,63,0.07,11,0.0122222,5,1,2
900,67,0.0744444,57,0.0633333,10,0.0111111,3,1,3
900,62,0.0688889,53,0.0588889,9,0.01,6,1,1
900,86,0.0955556,76,0.0844444,10,0.0111111,7,0,1
900,85,0.0944444,68,0.0755556,17,0.0188889,2,3,6
900,69,0.0766667,48,0.0533333,21,0.0233333,2,5,7
900,68,0.0755556,57,0.0633333,11,0.0122222,6,1,4
900,67,0.0744444,58,0.0644444,9,0.01,2,1,2
900,82,0.0911111,72,0.08,10,0.0111111,9,1,3
900,76,0.0844444,65,0.0722222,11,0.0122222,4,1,3
900,73,0.0811111,64,0.0711111,9,0.01,7,1,2
900,82,0.0911111,72,0.08,10,0.0111111,7,1,4
900,90,0.1,81,0.09,9,0.01,4,0,1
900,104,0.115556,94,0.104444,10,0.0111111,10,0,2
900,91,0.101111,82,0.0911111,9,0.01,2,0,2
900,81,0.09,68,0.0755556,13,0.0144444,10,1,5
900,89,0.0988889,84,0.0933333,5,0.00555556,6,1,1
900,78,0.0866667,69,0.0766667,9,0.01,6,1,3
900,71,0.0788889,66,0.0733333,5,0.00555556,9,0,1
900,71,0.0788889,56,0.0622222,15,0.0166667,12,1,4
900,86,0.0955556,77,0.0855556,9,0.01,7,0,1
900,83,0.0922222,71,0.0788889,12,0.0133333,3,1,2
900,61,0.0677778,42,0.0466667,19,0.0211111,6,3,9
900,95,0.105556,86,0.0955556,9,0.01,8,0,3
900,85,0.0944444,76,0.0844444,9,0.01,6,0,3
900,98,0.108889,91,0.101111,7,0.00777778,10,0,2
900,74,0.0822222,68,0.0755556,6,0.00666667,7,0,3
900,85,0.0944444,71,0.0788889,14,0.0155556,6,0,4
900,71,0.0788889,61,0.0677778,10,0.0111111,10,1,2
900,92,0.102222,87,0.0966667,5,0.00555556,10,1,3
900,67,0.0744444,53,0.0588889,14,0.0155556,8,5,5
900,56,0.0622222,44,0.0488889,12,0.0133333,5,2,3
900,60,0.0666667,48,0.0533333,12,0.0133333,6,2,3
900,90,0.1,77,0.0855556,13,0.0144444,8,1,5
900,79,0.0877778,70,0.0777778,9,0.01,7,0,4
900,85,0.0944444,81,0.09,4,0.00444444,5,0,0
900,55,0.0611111,36,0.04,19,0.0211111,4,2,4
900,68,0.0755556,51,0.0566667,17,0.0188889,8,2,3
900,80,0.0888889,64,0.0711111,16,0.0177778,8,2,6
900,77,0.0855556,67,0.0744444,10,0.0111111,6,2,5
900,98,0.108889,89,0.0988889,9,0.01,8,0,0
900,43,0.0477778,27,0.03,16,0.0177778,7,2,5
900,64,0.0711111,56,0.0622222,8,0.00888889,11,1,1
900,74,0.0822222,66,0.0733333,8,0.00888889,5,0,4
900,67,0.0744444,56,0.0622222,11,0.0122222,3,1,3
900,88,0.0977778,82,0.0911111,6,0.00666667,10,0,0
900,81,0.09,75,0.0833333,6,0.00666667,4,0,3
