Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
1000,132,0.132,73,0.073,59,0.059,14,14
1000,124,0.124,93,0.093,31,0.031,6,9
1000,124,0.124,80,0.08,44,0.044,8,19
1000,134,0.134,88,0.088,46,0.046,7,16
1000,123,0.123,72,0.072,51,0.051,6,19
1000,143,0.143,82,0.082,61,0.061,7,21
1000,123,0.123,85,0.085,38,0.038,8,15
1000,133,0.133,61,0.061,72,0.072,8,29
1000,115,0.115,72,0.072,43,0.043,5,15
1000,140,0.14,79,0.079,61,0.061,4,20
1000,128,0.128,75,0.075,53,0.053,8,20
1000,107,0.107,71,0.071,36,0.036,8,12
1000,126,0.126,73,0.073,53,0.053,4,17
1000,129,0.129,49,0.049,80,0.08,5,26
1000,137,0.137,72,0.072,65,0.065,6,24
1000,123,0.123,86,0.086,37,0.037,4,8
1000,108,0.108,74,0.074,34,0.034,8,7
1000,128,0.128,85,0.085,43,0.043,7,13
1000,95,0.095,36,0.036,59,0.059,4,22
1000,117,0.117,88,0.088,29,0.029,10,8
1000,108,0.108,69,0.069,39,0.039,4,10
1000,116,0.116,63,0.063,53,0.053,1,15
1000,126,0.126,81,0.081,45,0.045,12,17
1000,111,0.111,57,0.057,54,0.054,13,23
1000,98,0.098,63,0.063,35,0.035,5,11
1000,123,0.123,64,0.064,59,0.059,5,19
1000,94,0.094,62,0.062,32,0.032,8,7
1000,141,0.141,76,0.076,65,0.065,13,33
1000,111,0.111,74,0.074,37,0.037,6,10
1000,145,0.145,76,0.076,69,0.069,4,27
