Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
1000,130,0.13,90,0.09,40,0.04,0,1
1000,140,0.14,101,0.101,39,0.039,0,0
1000,113,0.113,76,0.076,37,0.037,0,1
1000,117,0.117,77,0.077,40,0.04,0,7
1000,136,0.136,90,0.09,46,0.046,0,3
1000,129,0.129,97,0.097,32,0.032,0,0
1000,126,0.126,88,0.088,38,0.038,1,2
1000,124,0.124,75,0.075,49,0.049,0,2
1000,132,0.132,94,0.094,38,0.038,0,1
1000,102,0.102,62,0.062,40,0.04,0,9
1000,140,0.14,93,0.093,47,0.047,0,0
1000,84,0.084,49,0.049,35,0.035,0,8
1000,145,0.145,98,0.098,47,0.047,0,1
1000,136,0.136,88,0.088,48,0.048,0,1
1000,150,0.15,103,0.103,47,0.047,0,0
1000,153,0.153,98,0.098,55,0.055,0,1
1000,109,0.109,71,0.071,38,0.038,0,1
1000,131,0.131,100,0.1,31,0.031,0,0
1000,119,0.119,89,0.089,30,0.03,0,0
1000,137,0.137,95,0.095,42,0.042,0,1
1000,144,0.144,100,0.1,44,0.044,0,0
1000,76,0.076,44,0.044,32,0.032,0,2
1000,79,0.079,49,0.049,30,0.03,0,4
1000,133,0.133,83,0.083,50,0.05,0,0
1000,135,0.135,95,0.095,40,0.04,0,1
1000,142,0.142,106,0.106,36,0.036,0,0
1000,131,0.131,90,0.09,41,0.041,0,1
1000,148,0.148,99,0.099,49,0.049,0,0
1000,136,0.136,93,0.093,43,0.043,0,1
1000,121,0.121,98,0.098,23,0.023,0,0
