Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
1000,101,0.101,88,0.088,13,0.013,0,0
1000,96,0.096,82,0.082,14,0.014,0,0
1000,100,0.1,87,0.087,13,0.013,0,0
1000,108,0.108,91,0.091,17,0.017,0,0
1000,115,0.115,100,0.1,15,0.015,0,0
1000,101,0.101,91,0.091,10,0.01,0,0
1000,106,0.106,94,0.094,12,0.012,0,0
1000,114,0.114,101,0.101,13,0.013,0,0
1000,99,0.099,87,0.087,12,0.012,0,0
1000,95,0.095,82,0.082,13,0.013,0,0
1000,94,0.094,82,0.082,12,0.012,0,0
1000,102,0.102,84,0.084,18,0.018,0,0
1000,109,0.109,93,0.093,16,0.016,0,0
1000,92,0.092,81,0.081,11,0.011,0,0
1000,106,0.106,93,0.093,13,0.013,0,0
1000,109,0.109,98,0.098,11,0.011,0,0
1000,82,0.082,72,0.072,10,0.01,0,0
1000,110,0.11,99,0.099,11,0.011,0,0
1000,112,0.112,98,0.098,14,0.014,0,0
1000,94,0.094,81,0.081,13,0.013,0,0
1000,103,0.103,90,0.09,13,0.013,0,0
1000,104,0.104,93,0.093,11,0.011,0,0
1000,103,0.103,85,0.085,18,0.018,0,0
1000,105,0.105,92,0.092,13,0.013,0,0
1000,100,0.1,88,0.088,12,0.012,0,0
1000,94,0.094,82,0.082,12,0.012,1,0
1000,117,0.117,104,0.104,13,0.013,0,0
1000,116,0.116,102,0.102,14,0.014,0,0
1000,81,0.081,69,0.069,12,0.012,0,0
1000,95,0.095,83,0.083,12,0.012,0,0
