Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
1000,104,0.104,104,0.104,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,104,0.104,104,0.104,0,0,0,0
1000,105,0.105,105,0.105,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,105,0.105,105,0.105,0,0,0,0
1000,104,0.104,104,0.104,0,0,0,0
1000,104,0.104,104,0.104,0,0,0,0
1000,99,0.099,99,0.099,0,0,0,0
1000,103,0.103,103,0.103,0,0,0,0
1000,101,0.101,101,0.101,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,105,0.105,105,0.105,0,0,0,0
1000,101,0.101,101,0.101,0,0,0,0
1000,102,0.102,102,0.102,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,104,0.104,104,0.104,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,103,0.103,103,0.103,0,0,0,0
1000,102,0.102,102,0.102,0,0,0,0
1000,104,0.104,104,0.104,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,104,0.104,104,0.104,0,0,0,0
1000,104,0.104,104,0.104,0,0,0,0
1000,106,0.106,106,0.106,0,0,0,0
1000,102,0.102,102,0.102,0,0,0,0
