Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
1000,117,0.117,98,0.098,19,0.019,8,0
1000,103,0.103,84,0.084,19,0.019,6,0
1000,112,0.112,94,0.094,18,0.018,13,0
1000,106,0.106,93,0.093,13,0.013,13,0
1000,73,0.073,54,0.054,19,0.019,9,0
1000,109,0.109,89,0.089,20,0.02,6,0
1000,108,0.108,92,0.092,16,0.016,8,0
1000,110,0.11,95,0.095,15,0.015,12,0
1000,90,0.09,68,0.068,22,0.022,7,0
1000,103,0.103,85,0.085,18,0.018,6,0
1000,102,0.102,86,0.086,16,0.016,6,0
1000,111,0.111,86,0.086,25,0.025,6,0
1000,119,0.119,105,0.105,14,0.014,10,0
1000,98,0.098,76,0.076,22,0.022,6,0
1000,113,0.113,102,0.102,11,0.011,10,0
1000,86,0.086,64,0.064,22,0.022,7,0
1000,114,0.114,98,0.098,16,0.016,7,0
1000,106,0.106,87,0.087,19,0.019,7,0
1000,113,0.113,95,0.095,18,0.018,5,0
1000,106,0.106,86,0.086,20,0.02,3,0
1000,115,0.115,93,0.093,22,0.022,6,0
1000,103,0.103,88,0.088,15,0.015,13,0
1000,100,0.1,75,0.075,25,0.025,6,0
1000,103,0.103,81,0.081,22,0.022,10,0
1000,118,0.118,101,0.101,17,0.017,4,0
1000,118,0.118,101,0.101,17,0.017,7,0
1000,113,0.113,88,0.088,25,0.025,11,0
1000,93,0.093,74,0.074,19,0.019,10,0
1000,121,0.121,104,0.104,17,0.017,8,0
1000,127,0.127,104,0.104,23,0.023,13,0
