Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
1000,105,0.105,97,0.097,8,0.008,0,0
1000,114,0.114,105,0.105,9,0.009,0,0
1000,109,0.109,96,0.096,13,0.013,0,0
1000,110,0.11,104,0.104,6,0.006,2,0
1000,95,0.095,88,0.088,7,0.007,0,0
1000,109,0.109,98,0.098,11,0.011,0,0
1000,100,0.1,94,0.094,6,0.006,0,0
1000,100,0.1,96,0.096,4,0.004,0,0
1000,103,0.103,94,0.094,9,0.009,0,0
1000,79,0.079,70,0.07,9,0.009,0,0
1000,82,0.082,71,0.071,11,0.011,0,0
1000,109,0.109,99,0.099,10,0.01,0,0
1000,94,0.094,88,0.088,6,0.006,1,0
1000,94,0.094,84,0.084,10,0.01,0,0
1000,109,0.109,101,0.101,8,0.008,0,0
1000,107,0.107,100,0.1,7,0.007,0,0
1000,113,0.113,101,0.101,12,0.012,0,0
1000,108,0.108,99,0.099,9,0.009,0,0
1000,114,0.114,100,0.1,14,0.014,0,0
1000,113,0.113,106,0.106,7,0.007,0,0
1000,116,0.116,102,0.102,14,0.014,0,0
1000,108,0.108,98,0.098,10,0.01,0,0
1000,91,0.091,84,0.084,7,0.007,1,0
1000,88,0.088,81,0.081,7,0.007,0,0
1000,104,0.104,97,0.097,7,0.007,0,0
1000,108,0.108,100,0.1,8,0.008,0,0
1000,101,0.101,91,0.091,10,0.01,0,0
1000,102,0.102,93,0.093,9,0.009,0,0
1000,99,0.099,88,0.088,11,0.011,0,0
1000,107,0.107,100,0.1,7,0.007,0,0
