Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second), Real Food Trails Created, Fake Food Trails Created
900,85,0.0944444,82,0.0911111,3,0.00333333,7,0
900,78,0.0866667,76,0.0844444,2,0.00222222,6,0
900,84,0.0933333,81,0.09,3,0.00333333,5,0
900,90,0.1,88,0.0977778,2,0.00222222,3,0
900,78,0.0866667,72,0.08,6,0.00666667,2,0
900,82,0.0911111,79,0.0877778,3,0.00333333,5,0
900,86,0.0955556,86,0.0955556,0,0,6,0
900,77,0.0855556,73,0.0811111,4,0.00444444,8,0
900,68,0.0755556,65,0.0722222,3,0.00333333,5,0
900,78,0.0866667,75,0.0833333,3,0.00333333,7,0
900,66,0.0733333,63,0.07,3,0.00333333,3,0
900,101,0.112222,98,0.108889,3,0.00333333,9,0
900,82,0.0911111,77,0.0855556,5,0.00555556,7,0
900,60,0.0666667,53,0.0588889,7,0.00777778,9,0
900,91,0.101111,88,0.0977778,3,0.00333333,4,0
900,78,0.0866667,77,0.0855556,1,0.00111111,9,0
900,79,0.0877778,74,0.0822222,5,0.00555556,6,0
900,99,0.11,96,0.106667,3,0.00333333,6,0
900,78,0.0866667,76,0.0844444,2,0.00222222,2,0
900,80,0.0888889,75,0.0833333,5,0.00555556,3,0
900,97,0.107778,90,0.1,7,0.00777778,5,0
900,80,0.0888889,79,0.0877778,1,0.00111111,7,0
900,83,0.0922222,79,0.0877778,4,0.00444444,7,0
900,71,0.0788889,66,0.0733333,5,0.00555556,5,0
900,82,0.0911111,79,0.0877778,3,0.00333333,11,0
900,60,0.0666667,57,0.0633333,3,0.00333333,7,0
900,87,0.0966667,84,0.0933333,3,0.00333333,8,0
900,73,0.0811111,65,0.0722222,8,0.00888889,6,0
900,84,0.0933333,80,0.0888889,4,0.00444444,7,0
900,89,0.0988889,84,0.0933333,5,0.00555556,8,0
