Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,123,0.123,100,0.1,23,0.023
1000,97,0.097,66,0.066,31,0.031
1000,114,0.114,81,0.081,33,0.033
1000,124,0.124,92,0.092,32,0.032
1000,117,0.117,75,0.075,42,0.042
1000,113,0.113,78,0.078,35,0.035
1000,65,0.065,44,0.044,21,0.021
1000,102,0.102,75,0.075,27,0.027
1000,111,0.111,79,0.079,32,0.032
1000,110,0.11,79,0.079,31,0.031
1000,115,0.115,78,0.078,37,0.037
1000,135,0.135,101,0.101,34,0.034
1000,110,0.11,68,0.068,42,0.042
1000,125,0.125,95,0.095,30,0.03
1000,136,0.136,94,0.094,42,0.042
1000,109,0.109,87,0.087,22,0.022
1000,111,0.111,84,0.084,27,0.027
1000,138,0.138,97,0.097,41,0.041
1000,126,0.126,98,0.098,28,0.028
1000,126,0.126,100,0.1,26,0.026
1000,97,0.097,56,0.056,41,0.041
1000,104,0.104,86,0.086,18,0.018
1000,105,0.105,79,0.079,26,0.026
1000,101,0.101,59,0.059,42,0.042
1000,117,0.117,80,0.08,37,0.037
1000,117,0.117,76,0.076,41,0.041
1000,119,0.119,86,0.086,33,0.033
1000,114,0.114,89,0.089,25,0.025
1000,123,0.123,87,0.087,36,0.036
1000,62,0.062,47,0.047,15,0.015
1000,127,0.127,101,0.101,26,0.026
1000,109,0.109,77,0.077,32,0.032
1000,105,0.105,84,0.084,21,0.021
1000,104,0.104,83,0.083,21,0.021
1000,106,0.106,88,0.088,18,0.018
1000,105,0.105,91,0.091,14,0.014
1000,101,0.101,83,0.083,18,0.018
1000,105,0.105,78,0.078,27,0.027
1000,106,0.106,91,0.091,15,0.015
1000,69,0.069,49,0.049,20,0.02
1000,117,0.117,96,0.096,21,0.021
1000,107,0.107,76,0.076,31,0.031
1000,112,0.112,93,0.093,19,0.019
1000,126,0.126,102,0.102,24,0.024
1000,75,0.075,54,0.054,21,0.021
1000,95,0.095,74,0.074,21,0.021
1000,76,0.076,55,0.055,21,0.021
1000,112,0.112,84,0.084,28,0.028
1000,98,0.098,77,0.077,21,0.021
1000,111,0.111,86,0.086,25,0.025
1000,78,0.078,54,0.054,24,0.024
1000,93,0.093,75,0.075,18,0.018
1000,103,0.103,75,0.075,28,0.028
1000,95,0.095,72,0.072,23,0.023
1000,61,0.061,38,0.038,23,0.023
1000,127,0.127,96,0.096,31,0.031
1000,95,0.095,74,0.074,21,0.021
1000,102,0.102,83,0.083,19,0.019
1000,127,0.127,103,0.103,24,0.024
1000,110,0.11,85,0.085,25,0.025
1000,120,0.12,102,0.102,18,0.018
1000,141,0.141,104,0.104,37,0.037
1000,70,0.07,52,0.052,18,0.018
1000,124,0.124,99,0.099,25,0.025
1000,103,0.103,79,0.079,24,0.024
1000,122,0.122,91,0.091,31,0.031
1000,90,0.09,63,0.063,27,0.027
1000,108,0.108,93,0.093,15,0.015
1000,132,0.132,101,0.101,31,0.031
1000,122,0.122,97,0.097,25,0.025
1000,122,0.122,94,0.094,28,0.028
1000,109,0.109,78,0.078,31,0.031
1000,73,0.073,49,0.049,24,0.024
1000,94,0.094,60,0.06,34,0.034
1000,101,0.101,72,0.072,29,0.029
1000,123,0.123,92,0.092,31,0.031
1000,108,0.108,92,0.092,16,0.016
1000,62,0.062,39,0.039,23,0.023
1000,125,0.125,94,0.094,31,0.031
1000,117,0.117,86,0.086,31,0.031
1000,121,0.121,93,0.093,28,0.028
1000,117,0.117,91,0.091,26,0.026
1000,130,0.13,101,0.101,29,0.029
1000,125,0.125,83,0.083,42,0.042
1000,109,0.109,75,0.075,34,0.034
1000,136,0.136,107,0.107,29,0.029
1000,109,0.109,78,0.078,31,0.031
1000,124,0.124,79,0.079,45,0.045
1000,110,0.11,84,0.084,26,0.026
1000,124,0.124,90,0.09,34,0.034
1000,117,0.117,88,0.088,29,0.029
1000,122,0.122,94,0.094,28,0.028
1000,81,0.081,63,0.063,18,0.018
1000,107,0.107,86,0.086,21,0.021
1000,98,0.098,79,0.079,19,0.019
1000,116,0.116,86,0.086,30,0.03
1000,105,0.105,76,0.076,29,0.029
1000,127,0.127,97,0.097,30,0.03
1000,104,0.104,74,0.074,30,0.03
1000,89,0.089,66,0.066,23,0.023
1000,113,0.113,84,0.084,29,0.029
1000,92,0.092,63,0.063,29,0.029
1000,88,0.088,64,0.064,24,0.024
1000,119,0.119,89,0.089,30,0.03
1000,124,0.124,97,0.097,27,0.027
1000,101,0.101,71,0.071,30,0.03
1000,117,0.117,93,0.093,24,0.024
1000,94,0.094,78,0.078,16,0.016
1000,79,0.079,51,0.051,28,0.028
1000,94,0.094,75,0.075,19,0.019
1000,120,0.12,97,0.097,23,0.023
1000,127,0.127,104,0.104,23,0.023
1000,112,0.112,88,0.088,24,0.024
1000,85,0.085,73,0.073,12,0.012
1000,95,0.095,77,0.077,18,0.018
1000,121,0.121,95,0.095,26,0.026
1000,103,0.103,73,0.073,30,0.03
1000,106,0.106,89,0.089,17,0.017
1000,131,0.131,107,0.107,24,0.024
1000,107,0.107,82,0.082,25,0.025
1000,111,0.111,86,0.086,25,0.025
1000,125,0.125,98,0.098,27,0.027
1000,121,0.121,85,0.085,36,0.036
1000,93,0.093,76,0.076,17,0.017
1000,126,0.126,94,0.094,32,0.032
1000,118,0.118,87,0.087,31,0.031
1000,128,0.128,95,0.095,33,0.033
1000,113,0.113,75,0.075,38,0.038
1000,120,0.12,91,0.091,29,0.029
1000,117,0.117,96,0.096,21,0.021
1000,63,0.063,45,0.045,18,0.018
1000,95,0.095,79,0.079,16,0.016
1000,67,0.067,46,0.046,21,0.021
1000,123,0.123,74,0.074,49,0.049
1000,80,0.08,47,0.047,33,0.033
1000,104,0.104,73,0.073,31,0.031
1000,104,0.104,71,0.071,33,0.033
1000,115,0.115,87,0.087,28,0.028
1000,112,0.112,84,0.084,28,0.028
1000,118,0.118,79,0.079,39,0.039
1000,122,0.122,84,0.084,38,0.038
1000,131,0.131,104,0.104,27,0.027
1000,96,0.096,80,0.08,16,0.016
1000,80,0.08,54,0.054,26,0.026
1000,141,0.141,108,0.108,33,0.033
1000,124,0.124,93,0.093,31,0.031
1000,129,0.129,96,0.096,33,0.033
1000,109,0.109,85,0.085,24,0.024
1000,102,0.102,62,0.062,40,0.04
1000,74,0.074,60,0.06,14,0.014
1000,92,0.092,60,0.06,32,0.032
1000,85,0.085,67,0.067,18,0.018
1000,107,0.107,89,0.089,18,0.018
1000,101,0.101,82,0.082,19,0.019
1000,105,0.105,83,0.083,22,0.022
1000,82,0.082,59,0.059,23,0.023
1000,116,0.116,91,0.091,25,0.025
1000,117,0.117,94,0.094,23,0.023
1000,101,0.101,74,0.074,27,0.027
1000,75,0.075,59,0.059,16,0.016
1000,82,0.082,55,0.055,27,0.027
1000,92,0.092,71,0.071,21,0.021
1000,85,0.085,52,0.052,33,0.033
1000,90,0.09,72,0.072,18,0.018
1000,98,0.098,82,0.082,16,0.016
1000,111,0.111,89,0.089,22,0.022
1000,116,0.116,96,0.096,20,0.02
1000,88,0.088,75,0.075,13,0.013
1000,106,0.106,72,0.072,34,0.034
1000,94,0.094,63,0.063,31,0.031
1000,67,0.067,47,0.047,20,0.02
1000,104,0.104,77,0.077,27,0.027
1000,123,0.123,102,0.102,21,0.021
1000,58,0.058,42,0.042,16,0.016
1000,109,0.109,79,0.079,30,0.03
1000,111,0.111,89,0.089,22,0.022
1000,109,0.109,80,0.08,29,0.029
1000,101,0.101,85,0.085,16,0.016
1000,103,0.103,74,0.074,29,0.029
1000,120,0.12,99,0.099,21,0.021
1000,115,0.115,83,0.083,32,0.032
1000,134,0.134,84,0.084,50,0.05
1000,113,0.113,90,0.09,23,0.023
1000,84,0.084,71,0.071,13,0.013
1000,112,0.112,76,0.076,36,0.036
1000,123,0.123,95,0.095,28,0.028
1000,132,0.132,106,0.106,26,0.026
1000,135,0.135,107,0.107,28,0.028
1000,131,0.131,94,0.094,37,0.037
1000,112,0.112,89,0.089,23,0.023
1000,137,0.137,93,0.093,44,0.044
1000,128,0.128,93,0.093,35,0.035
1000,108,0.108,79,0.079,29,0.029
1000,100,0.1,80,0.08,20,0.02
1000,121,0.121,88,0.088,33,0.033
1000,102,0.102,74,0.074,28,0.028
1000,107,0.107,70,0.07,37,0.037
1000,123,0.123,92,0.092,31,0.031
1000,138,0.138,101,0.101,37,0.037
1000,115,0.115,65,0.065,50,0.05
1000,67,0.067,52,0.052,15,0.015
1000,126,0.126,102,0.102,24,0.024
1000,101,0.101,82,0.082,19,0.019
1000,101,0.101,74,0.074,27,0.027
1000,66,0.066,36,0.036,30,0.03
1000,89,0.089,66,0.066,23,0.023
1000,118,0.118,104,0.104,14,0.014
1000,111,0.111,81,0.081,30,0.03
1000,133,0.133,107,0.107,26,0.026
1000,76,0.076,59,0.059,17,0.017
1000,112,0.112,85,0.085,27,0.027
1000,103,0.103,73,0.073,30,0.03
1000,101,0.101,75,0.075,26,0.026
1000,77,0.077,52,0.052,25,0.025
1000,131,0.131,102,0.102,29,0.029
1000,123,0.123,99,0.099,24,0.024
1000,113,0.113,88,0.088,25,0.025
1000,108,0.108,81,0.081,27,0.027
1000,68,0.068,46,0.046,22,0.022
1000,104,0.104,68,0.068,36,0.036
1000,70,0.07,49,0.049,21,0.021
1000,134,0.134,107,0.107,27,0.027
1000,115,0.115,87,0.087,28,0.028
1000,116,0.116,96,0.096,20,0.02
1000,106,0.106,75,0.075,31,0.031
1000,89,0.089,65,0.065,24,0.024
1000,109,0.109,91,0.091,18,0.018
1000,123,0.123,99,0.099,24,0.024
1000,120,0.12,94,0.094,26,0.026
1000,85,0.085,64,0.064,21,0.021
1000,91,0.091,68,0.068,23,0.023
1000,92,0.092,68,0.068,24,0.024
1000,105,0.105,77,0.077,28,0.028
1000,102,0.102,80,0.08,22,0.022
1000,73,0.073,59,0.059,14,0.014
1000,79,0.079,59,0.059,20,0.02
1000,89,0.089,66,0.066,23,0.023
1000,105,0.105,82,0.082,23,0.023
1000,121,0.121,100,0.1,21,0.021
1000,100,0.1,82,0.082,18,0.018
1000,113,0.113,77,0.077,36,0.036
1000,110,0.11,78,0.078,32,0.032
1000,98,0.098,76,0.076,22,0.022
1000,97,0.097,59,0.059,38,0.038
1000,107,0.107,83,0.083,24,0.024
1000,132,0.132,94,0.094,38,0.038
1000,125,0.125,107,0.107,18,0.018
1000,89,0.089,64,0.064,25,0.025
1000,130,0.13,91,0.091,39,0.039
1000,112,0.112,87,0.087,25,0.025
1000,101,0.101,70,0.07,31,0.031
1000,85,0.085,70,0.07,15,0.015
1000,99,0.099,73,0.073,26,0.026
1000,117,0.117,85,0.085,32,0.032
1000,98,0.098,48,0.048,50,0.05
1000,114,0.114,80,0.08,34,0.034
1000,124,0.124,91,0.091,33,0.033
1000,110,0.11,78,0.078,32,0.032
1000,100,0.1,64,0.064,36,0.036
1000,110,0.11,85,0.085,25,0.025
1000,116,0.116,93,0.093,23,0.023
1000,127,0.127,101,0.101,26,0.026
1000,65,0.065,47,0.047,18,0.018
1000,103,0.103,67,0.067,36,0.036
1000,70,0.07,52,0.052,18,0.018
1000,113,0.113,78,0.078,35,0.035
1000,87,0.087,63,0.063,24,0.024
1000,106,0.106,79,0.079,27,0.027
1000,135,0.135,95,0.095,40,0.04
1000,93,0.093,65,0.065,28,0.028
1000,104,0.104,79,0.079,25,0.025
1000,92,0.092,77,0.077,15,0.015
1000,110,0.11,87,0.087,23,0.023
1000,89,0.089,58,0.058,31,0.031
1000,86,0.086,67,0.067,19,0.019
1000,120,0.12,94,0.094,26,0.026
1000,106,0.106,91,0.091,15,0.015
1000,97,0.097,74,0.074,23,0.023
1000,119,0.119,93,0.093,26,0.026
1000,103,0.103,79,0.079,24,0.024
1000,121,0.121,95,0.095,26,0.026
1000,121,0.121,99,0.099,22,0.022
1000,121,0.121,91,0.091,30,0.03
1000,92,0.092,68,0.068,24,0.024
1000,130,0.13,108,0.108,22,0.022
1000,66,0.066,50,0.05,16,0.016
1000,98,0.098,76,0.076,22,0.022
1000,130,0.13,101,0.101,29,0.029
1000,120,0.12,95,0.095,25,0.025
1000,75,0.075,53,0.053,22,0.022
1000,114,0.114,88,0.088,26,0.026
1000,117,0.117,93,0.093,24,0.024
1000,111,0.111,80,0.08,31,0.031
1000,110,0.11,91,0.091,19,0.019
1000,67,0.067,41,0.041,26,0.026
1000,115,0.115,95,0.095,20,0.02
1000,108,0.108,84,0.084,24,0.024
1000,103,0.103,78,0.078,25,0.025
1000,102,0.102,76,0.076,26,0.026
1000,95,0.095,70,0.07,25,0.025
