tags_collected, collisions_in_seconds, time_in_minutes, random_seed
100, 1653.19, 16.6667, 711324
66, 2589.19, 16.6667, 987756
81, 2504.19, 16.6667, 207788
92, 1747.78, 16.6667, 333611
75, 1798.31, 16.6667, 802794
78, 1354.47, 16.6667, 236180
44, 3348.75, 16.6667, 986203
75, 1924.5, 16.6667, 120729
79, 1648.78, 16.6667, 433323
79, 2439.44, 16.6667, 596228
78, 2059.5, 16.6667, 588067
101, 1623.28, 16.6667, 722058
68, 1333.81, 16.6667, 53622
95, 1737.12, 16.6667, 649858
94, 1400.34, 16.6667, 184694
87, 2482.69, 16.6667, 775731
84, 2019.81, 16.6667, 823913
97, 1440.69, 16.6667, 255904
98, 1443.66, 16.6667, 798096
100, 2342.28, 16.6667, 258438
56, 1748.78, 16.6667, 248821
86, 2569.75, 16.6667, 601095
79, 1989.53, 16.6667, 727125
59, 2151.09, 16.6667, 996644
80, 2513.34, 16.6667, 607519
76, 675.469, 16.6667, 705756
86, 1969.12, 16.6667, 681353
89, 2528.78, 16.6667, 2039
87, 1954.06, 16.6667, 225315
47, 3810.06, 16.6667, 538099
101, 1959.25, 16.6667, 577765
77, 1524.84, 16.6667, 804430
84, 2216.97, 16.6667, 390214
83, 2298.94, 16.6667, 771485
88, 2443.84, 16.6667, 18131
91, 2312.25, 16.6667, 525562
83, 1510.62, 16.6667, 845648
78, 753.125, 16.6667, 575478
91, 2255.84, 16.6667, 673428
49, 3319.03, 16.6667, 870010
96, 1053.72, 16.6667, 26671
76, 1454.38, 16.6667, 997137
93, 2273.25, 16.6667, 864588
102, 1395.59, 16.6667, 55847
54, 3040.97, 16.6667, 594110
74, 2890.16, 16.6667, 760779
55, 3389.69, 16.6667, 249452
84, 1620.78, 16.6667, 506746
77, 2830.12, 16.6667, 481660
86, 2056.06, 16.6667, 867559
54, 3137.12, 16.6667, 312853
75, 2592.09, 16.6667, 737530
75, 2207.19, 16.6667, 439069
72, 694.062, 16.6667, 215803
38, 3145.91, 16.6667, 435836
96, 935.688, 16.6667, 798308
74, 2305.69, 16.6667, 647873
83, 2039.28, 16.6667, 13178
103, 1793.06, 16.6667, 538445
85, 1698.34, 16.6667, 10506
102, 1811.88, 16.6667, 748245
104, 1311.47, 16.6667, 169184
52, 3646.66, 16.6667, 743164
99, 1955.22, 16.6667, 697093
79, 2050.41, 16.6667, 886049
91, 2257.59, 16.6667, 81206
63, 2734.97, 16.6667, 141162
93, 2381.28, 16.6667, 355304
101, 1655.25, 16.6667, 743321
97, 1903.56, 16.6667, 280847
94, 2015.78, 16.6667, 540786
