Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,142,0.142,97,0.097,45,0.045
1000,136,0.136,102,0.102,34,0.034
1000,139,0.139,94,0.094,45,0.045
1000,154,0.154,106,0.106,48,0.048
1000,134,0.134,95,0.095,39,0.039
1000,133,0.133,87,0.087,46,0.046
1000,145,0.145,101,0.101,44,0.044
1000,143,0.143,95,0.095,48,0.048
1000,144,0.144,99,0.099,45,0.045
1000,143,0.143,105,0.105,38,0.038
1000,137,0.137,90,0.09,47,0.047
1000,141,0.141,98,0.098,43,0.043
1000,117,0.117,85,0.085,32,0.032
1000,136,0.136,101,0.101,35,0.035
1000,149,0.149,105,0.105,44,0.044
1000,130,0.13,95,0.095,35,0.035
1000,146,0.146,98,0.098,48,0.048
1000,147,0.147,103,0.103,44,0.044
1000,143,0.143,101,0.101,42,0.042
1000,140,0.14,95,0.095,45,0.045
1000,136,0.136,104,0.104,32,0.032
1000,138,0.138,97,0.097,41,0.041
1000,139,0.139,104,0.104,35,0.035
1000,123,0.123,84,0.084,39,0.039
1000,137,0.137,97,0.097,40,0.04
1000,150,0.15,106,0.106,44,0.044
1000,139,0.139,93,0.093,46,0.046
1000,134,0.134,89,0.089,45,0.045
1000,130,0.13,91,0.091,39,0.039
1000,138,0.138,93,0.093,45,0.045
1000,119,0.119,95,0.095,24,0.024
1000,125,0.125,96,0.096,29,0.029
1000,124,0.124,96,0.096,28,0.028
1000,123,0.123,99,0.099,24,0.024
1000,122,0.122,92,0.092,30,0.03
1000,132,0.132,102,0.102,30,0.03
1000,112,0.112,90,0.09,22,0.022
1000,115,0.115,91,0.091,24,0.024
1000,104,0.104,81,0.081,23,0.023
1000,97,0.097,71,0.071,26,0.026
1000,109,0.109,80,0.08,29,0.029
1000,116,0.116,87,0.087,29,0.029
1000,115,0.115,86,0.086,29,0.029
1000,112,0.112,86,0.086,26,0.026
1000,116,0.116,83,0.083,33,0.033
1000,125,0.125,99,0.099,26,0.026
1000,106,0.106,80,0.08,26,0.026
1000,120,0.12,91,0.091,29,0.029
1000,122,0.122,95,0.095,27,0.027
1000,115,0.115,90,0.09,25,0.025
1000,113,0.113,87,0.087,26,0.026
1000,122,0.122,94,0.094,28,0.028
1000,112,0.112,88,0.088,24,0.024
1000,116,0.116,91,0.091,25,0.025
1000,116,0.116,90,0.09,26,0.026
1000,120,0.12,96,0.096,24,0.024
1000,113,0.113,86,0.086,27,0.027
1000,116,0.116,88,0.088,28,0.028
1000,116,0.116,90,0.09,26,0.026
1000,122,0.122,95,0.095,27,0.027
1000,145,0.145,101,0.101,44,0.044
1000,147,0.147,103,0.103,44,0.044
1000,140,0.14,101,0.101,39,0.039
1000,131,0.131,91,0.091,40,0.04
1000,110,0.11,79,0.079,31,0.031
1000,143,0.143,84,0.084,59,0.059
1000,145,0.145,104,0.104,41,0.041
1000,82,0.082,56,0.056,26,0.026
1000,136,0.136,96,0.096,40,0.04
1000,141,0.141,95,0.095,46,0.046
1000,127,0.127,92,0.092,35,0.035
1000,129,0.129,92,0.092,37,0.037
1000,148,0.148,103,0.103,45,0.045
1000,125,0.125,89,0.089,36,0.036
1000,149,0.149,102,0.102,47,0.047
1000,130,0.13,94,0.094,36,0.036
1000,145,0.145,100,0.1,45,0.045
1000,135,0.135,102,0.102,33,0.033
1000,142,0.142,100,0.1,42,0.042
1000,132,0.132,88,0.088,44,0.044
1000,131,0.131,96,0.096,35,0.035
1000,142,0.142,100,0.1,42,0.042
1000,144,0.144,99,0.099,45,0.045
1000,133,0.133,96,0.096,37,0.037
1000,91,0.091,69,0.069,22,0.022
1000,72,0.072,51,0.051,21,0.021
1000,139,0.139,96,0.096,43,0.043
1000,139,0.139,100,0.1,39,0.039
1000,139,0.139,107,0.107,32,0.032
1000,144,0.144,100,0.1,44,0.044
1000,118,0.118,89,0.089,29,0.029
1000,101,0.101,73,0.073,28,0.028
1000,103,0.103,77,0.077,26,0.026
1000,115,0.115,89,0.089,26,0.026
1000,121,0.121,93,0.093,28,0.028
1000,97,0.097,78,0.078,19,0.019
1000,109,0.109,82,0.082,27,0.027
1000,111,0.111,84,0.084,27,0.027
1000,124,0.124,94,0.094,30,0.03
1000,122,0.122,101,0.101,21,0.021
1000,120,0.12,94,0.094,26,0.026
1000,116,0.116,90,0.09,26,0.026
1000,117,0.117,90,0.09,27,0.027
1000,111,0.111,83,0.083,28,0.028
1000,102,0.102,80,0.08,22,0.022
1000,104,0.104,82,0.082,22,0.022
1000,117,0.117,89,0.089,28,0.028
1000,116,0.116,90,0.09,26,0.026
1000,126,0.126,96,0.096,30,0.03
1000,106,0.106,78,0.078,28,0.028
1000,108,0.108,83,0.083,25,0.025
1000,84,0.084,65,0.065,19,0.019
1000,116,0.116,89,0.089,27,0.027
1000,123,0.123,90,0.09,33,0.033
1000,120,0.12,92,0.092,28,0.028
1000,120,0.12,97,0.097,23,0.023
1000,114,0.114,89,0.089,25,0.025
1000,115,0.115,89,0.089,26,0.026
