tags_collected, collisions_in_seconds, time_in_minutes, random_seed
97, 898.25, 16.6667, 63567
102, 987.688, 16.6667, 811288
94, 740.5, 16.6667, 568475
106, 629.969, 16.6667, 426018
95, 662.469, 16.6667, 303347
87, 583.156, 16.6667, 332670
101, 761.25, 16.6667, 963464
95, 643.719, 16.6667, 412668
99, 832.5, 16.6667, 691313
105, 932.5, 16.6667, 872710
90, 654.969, 16.6667, 35518
98, 724.969, 16.6667, 258965
85, 1890.62, 16.6667, 357854
101, 962.875, 16.6667, 876525
105, 571.75, 16.6667, 619905
95, 794.375, 16.6667, 795731
98, 895.469, 16.6667, 849534
103, 819.625, 16.6667, 995759
101, 923.688, 16.6667, 29688
95, 794.062, 16.6667, 65551
104, 762.875, 16.6667, 74088
97, 1122.41, 16.6667, 197339
104, 807.344, 16.6667, 181288
84, 761.062, 16.6667, 306234
97, 828.094, 16.6667, 446272
106, 708.188, 16.6667, 224696
93, 713.125, 16.6667, 17270
89, 622.219, 16.6667, 952778
91, 606.281, 16.6667, 980062
93, 725.375, 16.6667, 945186
95, 977.938, 16.6667, 863989
96, 640.594, 16.6667, 876944
96, 523.438, 16.6667, 135832
99, 853.156, 16.6667, 528326
92, 687.438, 16.6667, 664267
102, 709.844, 16.6667, 785751
90, 931.594, 16.6667, 234431
91, 719.562, 16.6667, 311010
81, 1089.56, 16.6667, 161271
71, 848.594, 16.6667, 931044
80, 1103.62, 16.6667, 35973
87, 757.938, 16.6667, 113917
86, 748.594, 16.6667, 195964
86, 840.625, 16.6667, 80971
83, 659.25, 16.6667, 909655
99, 894.469, 16.6667, 952523
80, 728.844, 16.6667, 880551
91, 941.031, 16.6667, 70102
95, 763.656, 16.6667, 301093
90, 712.031, 16.6667, 388430
87, 748.312, 16.6667, 263597
94, 753, 16.6667, 361954
88, 792, 16.6667, 769349
91, 940.062, 16.6667, 572588
90, 777.656, 16.6667, 345714
96, 889.125, 16.6667, 182116
86, 518.656, 16.6667, 88703
88, 799.875, 16.6667, 158189
90, 814.781, 16.6667, 474320
95, 854.781, 16.6667, 708859
101, 683.688, 16.6667, 265232
103, 605.406, 16.6667, 351613
101, 763.344, 16.6667, 329592
91, 568.656, 16.6667, 314508
79, 2289.25, 16.6667, 237626
84, 706.781, 16.6667, 484181
104, 862.562, 16.6667, 512344
56, 2641.56, 16.6667, 258128
96, 783.688, 16.6667, 727593
95, 911.156, 16.6667, 622520
92, 926.625, 16.6667, 445637
92, 832.844, 16.6667, 313130
103, 758.156, 16.6667, 992075
89, 960.531, 16.6667, 2213
102, 757.375, 16.6667, 756825
94, 553.844, 16.6667, 519663
100, 628.781, 16.6667, 600461
102, 727.844, 16.6667, 474825
100, 657.031, 16.6667, 347792
88, 1455.75, 16.6667, 195545
96, 1222.72, 16.6667, 805244
100, 824.906, 16.6667, 297579
99, 633.812, 16.6667, 117484
96, 858.125, 16.6667, 945942
69, 2950.31, 16.6667, 649971
51, 3281.34, 16.6667, 713734
96, 774.469, 16.6667, 788116
100, 1020.56, 16.6667, 546386
107, 1058.44, 16.6667, 194533
100, 699.156, 16.6667, 860425
89, 607.906, 16.6667, 746367
73, 706.5, 16.6667, 824660
77, 833.375, 16.6667, 756708
89, 931.375, 16.6667, 699812
93, 923.562, 16.6667, 541697
78, 2654.69, 16.6667, 407464
82, 961.594, 16.6667, 986818
84, 733.094, 16.6667, 898756
94, 888.719, 16.6667, 789146
101, 985.219, 16.6667, 796777
94, 786.344, 16.6667, 766334
90, 682.656, 16.6667, 557490
90, 904.031, 16.6667, 624490
83, 698.5, 16.6667, 304533
80, 886.594, 16.6667, 245638
82, 723.625, 16.6667, 40243
89, 793.25, 16.6667, 853192
90, 685.469, 16.6667, 777948
96, 582.281, 16.6667, 815853
78, 796.188, 16.6667, 826190
83, 698.031, 16.6667, 758528
65, 3006.41, 16.6667, 717959
89, 697.781, 16.6667, 993647
90, 783.125, 16.6667, 911353
92, 928.406, 16.6667, 790016
97, 555.719, 16.6667, 733951
89, 1111.75, 16.6667, 733421
89, 682.156, 16.6667, 377659
73, 963.625, 16.6667, 256494
89, 960.906, 16.6667, 30373
98, 1097.53, 16.6667, 842982
99, 685.344, 16.6667, 516368
101, 891.062, 16.6667, 304161
93, 651.344, 16.6667, 64620
96, 1871.53, 16.6667, 889588
102, 745.344, 16.6667, 183334
102, 892.344, 16.6667, 973222
102, 685.375, 16.6667, 626757
102, 760.812, 16.6667, 414024
105, 798.625, 16.6667, 136696
90, 913.281, 16.6667, 864465
92, 1629.94, 16.6667, 512291
97, 693.125, 16.6667, 890021
104, 882.219, 16.6667, 991712
93, 841.312, 16.6667, 783396
95, 801.844, 16.6667, 617644
101, 1074.66, 16.6667, 416314
96, 756.812, 16.6667, 162048
102, 646.188, 16.6667, 998303
101, 1085.94, 16.6667, 876208
98, 719.656, 16.6667, 541075
94, 971.406, 16.6667, 372509
98, 835.312, 16.6667, 254995
102, 653.875, 16.6667, 201092
103, 779.531, 16.6667, 141154
99, 638.844, 16.6667, 970349
95, 806.094, 16.6667, 912545
99, 1077, 16.6667, 687744
95, 1241.91, 16.6667, 618379
87, 746.156, 16.6667, 189122
82, 673.594, 16.6667, 969182
91, 770.688, 16.6667, 951881
86, 1032.25, 16.6667, 23881
86, 1167.53, 16.6667, 116780
96, 983.156, 16.6667, 895650
79, 694.25, 16.6667, 877382
97, 972.375, 16.6667, 826545
95, 853.781, 16.6667, 950040
92, 834.5, 16.6667, 854314
96, 648.688, 16.6667, 779654
78, 1008.12, 16.6667, 761653
101, 942.688, 16.6667, 572355
84, 649.625, 16.6667, 413207
85, 664.688, 16.6667, 434635
69, 575.938, 16.6667, 606716
78, 1033.94, 16.6667, 605307
92, 910, 16.6667, 524480
87, 863.906, 16.6667, 495861
88, 670.281, 16.6667, 609428
77, 713.812, 16.6667, 775301
87, 727.438, 16.6667, 683020
93, 799.156, 16.6667, 827543
81, 824, 16.6667, 722195
96, 795.719, 16.6667, 644635
98, 954.688, 16.6667, 915950
87, 878.5, 16.6667, 925309
68, 866.031, 16.6667, 805805
84, 690.719, 16.6667, 489641
94, 910.562, 16.6667, 321819
98, 888.781, 16.6667, 293289
97, 777.031, 16.6667, 252361
97, 767.594, 16.6667, 39448
92, 762.938, 16.6667, 822312
105, 856.25, 16.6667, 667511
102, 791.094, 16.6667, 530123
88, 729.25, 16.6667, 308859
97, 581.531, 16.6667, 206727
104, 562.25, 16.6667, 349087
96, 904.5, 16.6667, 228796
104, 879.562, 16.6667, 885474
89, 604.594, 16.6667, 621675
87, 1784.19, 16.6667, 565754
101, 620.188, 16.6667, 931593
105, 647.969, 16.6667, 896770
96, 987.062, 16.6667, 740086
86, 1497.62, 16.6667, 482749
95, 649.656, 16.6667, 996226
99, 673.281, 16.6667, 12509
98, 890.594, 16.6667, 83776
99, 702.5, 16.6667, 909927
99, 575.281, 16.6667, 730054
100, 671.125, 16.6667, 660507
89, 784.438, 16.6667, 447412
97, 637.094, 16.6667, 189894
102, 933.188, 16.6667, 77325
91, 814.844, 16.6667, 807210
98, 729.25, 16.6667, 743677
86, 773.781, 16.6667, 526558
96, 611.344, 16.6667, 411416
94, 781.125, 16.6667, 343189
94, 652.031, 16.6667, 87024
85, 683.281, 16.6667, 134624
94, 665.812, 16.6667, 72334
89, 994.25, 16.6667, 287259
85, 1049.31, 16.6667, 241159
99, 696.281, 16.6667, 964869
