Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,149,0.149,102,0.102,47,0.047
1000,135,0.135,91,0.091,44,0.044
1000,142,0.142,102,0.102,40,0.04
1000,143,0.143,97,0.097,46,0.046
1000,148,0.148,103,0.103,45,0.045
1000,149,0.149,95,0.095,54,0.054
1000,152,0.152,104,0.104,48,0.048
1000,146,0.146,103,0.103,43,0.043
1000,141,0.141,99,0.099,42,0.042
1000,149,0.149,100,0.1,49,0.049
1000,149,0.149,101,0.101,48,0.048
1000,152,0.152,104,0.104,48,0.048
1000,145,0.145,100,0.1,45,0.045
1000,150,0.15,103,0.103,47,0.047
1000,146,0.146,101,0.101,45,0.045
1000,149,0.149,100,0.1,49,0.049
1000,152,0.152,103,0.103,49,0.049
1000,152,0.152,101,0.101,51,0.051
1000,157,0.157,104,0.104,53,0.053
1000,147,0.147,102,0.102,45,0.045
1000,148,0.148,102,0.102,46,0.046
1000,148,0.148,103,0.103,45,0.045
1000,148,0.148,97,0.097,51,0.051
1000,153,0.153,101,0.101,52,0.052
1000,147,0.147,98,0.098,49,0.049
1000,142,0.142,100,0.1,42,0.042
1000,148,0.148,100,0.1,48,0.048
1000,97,0.097,59,0.059,38,0.038
1000,145,0.145,97,0.097,48,0.048
1000,137,0.137,99,0.099,38,0.038
1000,115,0.115,88,0.088,27,0.027
1000,106,0.106,83,0.083,23,0.023
1000,109,0.109,80,0.08,29,0.029
1000,131,0.131,99,0.099,32,0.032
1000,103,0.103,79,0.079,24,0.024
1000,116,0.116,92,0.092,24,0.024
1000,124,0.124,95,0.095,29,0.029
1000,122,0.122,98,0.098,24,0.024
1000,123,0.123,97,0.097,26,0.026
1000,97,0.097,77,0.077,20,0.02
1000,117,0.117,93,0.093,24,0.024
1000,92,0.092,69,0.069,23,0.023
1000,104,0.104,79,0.079,25,0.025
1000,110,0.11,85,0.085,25,0.025
1000,100,0.1,79,0.079,21,0.021
1000,122,0.122,92,0.092,30,0.03
1000,113,0.113,91,0.091,22,0.022
1000,108,0.108,81,0.081,27,0.027
1000,112,0.112,86,0.086,26,0.026
1000,113,0.113,90,0.09,23,0.023
1000,113,0.113,91,0.091,22,0.022
1000,79,0.079,63,0.063,16,0.016
1000,120,0.12,93,0.093,27,0.027
1000,114,0.114,87,0.087,27,0.027
1000,127,0.127,98,0.098,29,0.029
1000,105,0.105,79,0.079,26,0.026
1000,67,0.067,53,0.053,14,0.014
1000,106,0.106,84,0.084,22,0.022
1000,86,0.086,61,0.061,25,0.025
1000,105,0.105,83,0.083,22,0.022
1000,153,0.153,101,0.101,52,0.052
1000,139,0.139,104,0.104,35,0.035
1000,146,0.146,104,0.104,42,0.042
1000,148,0.148,101,0.101,47,0.047
1000,148,0.148,101,0.101,47,0.047
1000,151,0.151,102,0.102,49,0.049
1000,146,0.146,103,0.103,43,0.043
1000,130,0.13,86,0.086,44,0.044
1000,141,0.141,99,0.099,42,0.042
1000,148,0.148,102,0.102,46,0.046
1000,154,0.154,101,0.101,53,0.053
1000,151,0.151,98,0.098,53,0.053
1000,148,0.148,101,0.101,47,0.047
1000,150,0.15,102,0.102,48,0.048
1000,155,0.155,102,0.102,53,0.053
1000,149,0.149,100,0.1,49,0.049
1000,144,0.144,103,0.103,41,0.041
