tags_collected, collisions_in_seconds, time_in_minutes, random_seed
102, 633.5, 16.6667, 637619
91, 533.969, 16.6667, 972686
102, 573.031, 16.6667, 257850
97, 651.562, 16.6667, 345509
103, 507.844, 16.6667, 374967
95, 540.906, 16.6667, 472831
104, 573.156, 16.6667, 574704
103, 576.719, 16.6667, 650354
99, 538.969, 16.6667, 678010
100, 624.438, 16.6667, 786384
101, 588, 16.6667, 845724
104, 696.719, 16.6667, 966788
100, 618.625, 16.6667, 127354
103, 600.406, 16.6667, 190087
101, 598.594, 16.6667, 328364
100, 553.25, 16.6667, 380295
103, 575.719, 16.6667, 537068
101, 662.219, 16.6667, 632727
104, 849.875, 16.6667, 770612
102, 569.094, 16.6667, 791337
102, 583.719, 16.6667, 947698
103, 579.875, 16.6667, 18505
97, 591.656, 16.6667, 62267
101, 670.594, 16.6667, 74761
98, 535, 16.6667, 136732
100, 598.062, 16.6667, 183176
100, 616.375, 16.6667, 257604
59, 3252.69, 16.6667, 299864
97, 564.906, 16.6667, 309543
99, 581.844, 16.6667, 442266
88, 874.125, 16.6667, 675951
83, 835.312, 16.6667, 844434
80, 542.344, 16.6667, 31547
99, 499.656, 16.6667, 373702
79, 653.656, 16.6667, 862501
92, 491.75, 16.6667, 215848
95, 453.031, 16.6667, 816811
98, 561.531, 16.6667, 687192
97, 660.906, 16.6667, 148481
77, 797.781, 16.6667, 722132
93, 558.938, 16.6667, 830218
69, 686.312, 16.6667, 140278
79, 459.625, 16.6667, 194936
85, 719.625, 16.6667, 541081
79, 886.625, 16.6667, 713596
92, 502.062, 16.6667, 806383
91, 581.188, 16.6667, 551280
81, 674.625, 16.6667, 889982
86, 504.5, 16.6667, 152700
90, 574.312, 16.6667, 602186
91, 488.812, 16.6667, 875797
63, 861.719, 16.6667, 424898
93, 505.781, 16.6667, 421096
87, 712.625, 16.6667, 225032
98, 562.031, 16.6667, 639429
79, 836.594, 16.6667, 181664
53, 901.031, 16.6667, 319813
84, 702.375, 16.6667, 230019
61, 1034.06, 16.6667, 664660
83, 671.281, 16.6667, 588682
101, 592.188, 16.6667, 822954
104, 504.062, 16.6667, 913032
104, 562.5, 16.6667, 37403
101, 529.281, 16.6667, 202043
101, 615.156, 16.6667, 473132
102, 572.312, 16.6667, 609696
103, 474.938, 16.6667, 836596
86, 1885.09, 16.6667, 951101
99, 622.625, 16.6667, 803146
102, 742.344, 16.6667, 901888
101, 585.156, 16.6667, 982160
98, 624.219, 16.6667, 989834
101, 485.906, 16.6667, 85821
102, 682.719, 16.6667, 168338
102, 559.906, 16.6667, 203402
100, 613.562, 16.6667, 269573
103, 584.562, 16.6667, 331774
104, 657.75, 16.6667, 668288
95, 637.062, 16.6667, 939470
100, 672.75, 16.6667, 23897
105, 529.25, 16.6667, 93976
102, 685.75, 16.6667, 160031
101, 569.406, 16.6667, 160576
105, 620.781, 16.6667, 280834
100, 596.344, 16.6667, 296251
102, 567.062, 16.6667, 296138
103, 664.281, 16.6667, 404640
100, 603.344, 16.6667, 387576
100, 567.344, 16.6667, 445905
99, 529.344, 16.6667, 517687
79, 1033.09, 16.6667, 662045
91, 1090.5, 16.6667, 735522
77, 970.469, 16.6667, 914196
92, 486.594, 16.6667, 56874
87, 688.625, 16.6667, 498089
92, 607.25, 16.6667, 809863
83, 712.188, 16.6667, 136694
93, 704.438, 16.6667, 262402
80, 851.375, 16.6667, 522013
82, 640.906, 16.6667, 614091
90, 513.906, 16.6667, 888909
74, 654.469, 16.6667, 261827
97, 665.562, 16.6667, 508302
90, 709.469, 16.6667, 24956
87, 651.688, 16.6667, 389842
85, 624.938, 16.6667, 681523
94, 500.75, 16.6667, 400478
84, 522.656, 16.6667, 235847
96, 773.906, 16.6667, 452892
73, 667.281, 16.6667, 752543
82, 666.125, 16.6667, 701827
