Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,112,0.112,107,0.107,5,0.005
1000,127,0.127,72,0.072,55,0.055
1000,147,0.147,101,0.101,46,0.046
1000,152,0.152,81,0.081,71,0.071
1000,113,0.113,99,0.099,14,0.014
1000,132,0.132,107,0.107,25,0.025
1000,143,0.143,98,0.098,45,0.045
1000,145,0.145,84,0.084,61,0.061
1000,157,0.157,80,0.08,77,0.077
1000,133,0.133,91,0.091,42,0.042
1000,140,0.14,72,0.072,68,0.068
1000,151,0.151,95,0.095,56,0.056
1000,124,0.124,66,0.066,58,0.058
1000,100,0.1,98,0.098,2,0.002
1000,133,0.133,84,0.084,49,0.049
1000,119,0.119,72,0.072,47,0.047
1000,109,0.109,84,0.084,25,0.025
1000,99,0.099,83,0.083,16,0.016
1000,110,0.11,83,0.083,27,0.027
1000,134,0.134,83,0.083,51,0.051
1000,149,0.149,84,0.084,65,0.065
1000,135,0.135,52,0.052,83,0.083
1000,131,0.131,71,0.071,60,0.06
1000,147,0.147,93,0.093,54,0.054
1000,138,0.138,80,0.08,58,0.058
1000,152,0.152,103,0.103,49,0.049
1000,146,0.146,87,0.087,59,0.059
1000,126,0.126,87,0.087,39,0.039
1000,119,0.119,88,0.088,31,0.031
1000,123,0.123,88,0.088,35,0.035
1000,80,0.08,72,0.072,8,0.008
1000,107,0.107,103,0.103,4,0.004
1000,101,0.101,94,0.094,7,0.007
1000,100,0.1,92,0.092,8,0.008
1000,110,0.11,108,0.108,2,0.002
1000,114,0.114,106,0.106,8,0.008
1000,102,0.102,97,0.097,5,0.005
1000,90,0.09,85,0.085,5,0.005
1000,76,0.076,67,0.067,9,0.009
1000,101,0.101,98,0.098,3,0.003
1000,107,0.107,105,0.105,2,0.002
1000,93,0.093,90,0.09,3,0.003
1000,106,0.106,103,0.103,3,0.003
1000,89,0.089,83,0.083,6,0.006
1000,98,0.098,92,0.092,6,0.006
1000,104,0.104,97,0.097,7,0.007
1000,111,0.111,105,0.105,6,0.006
1000,103,0.103,98,0.098,5,0.005
1000,85,0.085,81,0.081,4,0.004
1000,73,0.073,68,0.068,5,0.005
1000,99,0.099,94,0.094,5,0.005
1000,109,0.109,103,0.103,6,0.006
1000,104,0.104,100,0.1,4,0.004
1000,88,0.088,79,0.079,9,0.009
1000,92,0.092,87,0.087,5,0.005
1000,103,0.103,99,0.099,4,0.004
1000,102,0.102,97,0.097,5,0.005
1000,89,0.089,81,0.081,8,0.008
1000,102,0.102,92,0.092,10,0.01
1000,99,0.099,90,0.09,9,0.009
