tags_collected, collisions_in_seconds, time_in_minutes, random_seed
107, 1025.28, 16.6667, 654421
72, 848.188, 16.6667, 288321
101, 1158.19, 16.6667, 83756
81, 1011.31, 16.6667, 536908
99, 1166.03, 16.6667, 105407
107, 1053.12, 16.6667, 624110
98, 1158.78, 16.6667, 138469
84, 1236.53, 16.6667, 549657
80, 1198, 16.6667, 988020
91, 983.656, 16.6667, 417752
72, 1475.16, 16.6667, 46141
95, 1631.94, 16.6667, 350350
66, 1436.25, 16.6667, 715847
98, 1966.94, 16.6667, 167411
84, 1269.5, 16.6667, 463595
72, 1723.47, 16.6667, 873068
84, 1353.09, 16.6667, 336264
83, 1359.19, 16.6667, 703140
83, 1397.66, 16.6667, 174315
83, 1050.22, 16.6667, 587447
84, 915.656, 16.6667, 148618
52, 1093.06, 16.6667, 796515
71, 1269.72, 16.6667, 327843
93, 1288.53, 16.6667, 832425
80, 1318.16, 16.6667, 249953
103, 1191.97, 16.6667, 646941
87, 1135.91, 16.6667, 105063
87, 1199.03, 16.6667, 618838
88, 2126.78, 16.6667, 82875
88, 899.875, 16.6667, 184939
72, 1531.19, 16.6667, 939019
103, 1331.47, 16.6667, 499982
94, 1221.12, 16.6667, 882864
92, 2045.59, 16.6667, 380551
108, 1384, 16.6667, 669382
106, 1319.88, 16.6667, 986874
97, 1650.81, 16.6667, 552159
85, 2102.62, 16.6667, 883553
67, 1879.88, 16.6667, 189471
98, 1505.66, 16.6667, 668354
105, 1166.31, 16.6667, 100285
90, 1626.66, 16.6667, 649665
103, 928.719, 16.6667, 138031
83, 2133.28, 16.6667, 816828
92, 1144.97, 16.6667, 7133
97, 1134.41, 16.6667, 717302
105, 1404.59, 16.6667, 360210
98, 1194.91, 16.6667, 814191
81, 1173.16, 16.6667, 349034
68, 1863.44, 16.6667, 22120
94, 1412.75, 16.6667, 437054
103, 1686.38, 16.6667, 900854
100, 1146.38, 16.6667, 365031
79, 1738.97, 16.6667, 952134
87, 1574.75, 16.6667, 465258
99, 887.906, 16.6667, 80853
97, 760, 16.6667, 710156
81, 1167.28, 16.6667, 507691
92, 1660.75, 16.6667, 129183
90, 1663.97, 16.6667, 807869
