Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,126,0.126,88,0.088,38,0.038
1000,119,0.119,86,0.086,33,0.033
1000,118,0.118,64,0.064,54,0.054
1000,104,0.104,78,0.078,26,0.026
1000,91,0.091,68,0.068,23,0.023
1000,164,0.164,76,0.076,88,0.088
1000,112,0.112,78,0.078,34,0.034
1000,109,0.109,78,0.078,31,0.031
1000,139,0.139,85,0.085,54,0.054
1000,142,0.142,66,0.066,76,0.076
1000,122,0.122,73,0.073,49,0.049
1000,144,0.144,88,0.088,56,0.056
1000,112,0.112,82,0.082,30,0.03
1000,127,0.127,97,0.097,30,0.03
1000,128,0.128,69,0.069,59,0.059
1000,125,0.125,62,0.062,63,0.063
1000,133,0.133,76,0.076,57,0.057
1000,112,0.112,71,0.071,41,0.041
1000,131,0.131,75,0.075,56,0.056
1000,135,0.135,63,0.063,72,0.072
1000,125,0.125,79,0.079,46,0.046
1000,127,0.127,63,0.063,64,0.064
1000,119,0.119,83,0.083,36,0.036
1000,102,0.102,74,0.074,28,0.028
1000,128,0.128,81,0.081,47,0.047
1000,115,0.115,78,0.078,37,0.037
1000,109,0.109,83,0.083,26,0.026
1000,163,0.163,82,0.082,81,0.081
1000,134,0.134,75,0.075,59,0.059
1000,153,0.153,80,0.08,73,0.073
1000,96,0.096,92,0.092,4,0.004
1000,88,0.088,81,0.081,7,0.007
1000,106,0.106,98,0.098,8,0.008
1000,96,0.096,93,0.093,3,0.003
1000,99,0.099,88,0.088,11,0.011
1000,84,0.084,77,0.077,7,0.007
1000,97,0.097,90,0.09,7,0.007
1000,104,0.104,98,0.098,6,0.006
1000,95,0.095,91,0.091,4,0.004
1000,76,0.076,65,0.065,11,0.011
1000,112,0.112,105,0.105,7,0.007
1000,100,0.1,95,0.095,5,0.005
1000,107,0.107,103,0.103,4,0.004
1000,96,0.096,89,0.089,7,0.007
1000,108,0.108,100,0.1,8,0.008
1000,112,0.112,105,0.105,7,0.007
1000,104,0.104,94,0.094,10,0.01
1000,99,0.099,95,0.095,4,0.004
1000,97,0.097,92,0.092,5,0.005
1000,90,0.09,87,0.087,3,0.003
1000,78,0.078,75,0.075,3,0.003
1000,107,0.107,98,0.098,9,0.009
1000,98,0.098,92,0.092,6,0.006
1000,93,0.093,88,0.088,5,0.005
1000,104,0.104,94,0.094,10,0.01
1000,101,0.101,95,0.095,6,0.006
1000,108,0.108,104,0.104,4,0.004
1000,102,0.102,94,0.094,8,0.008
1000,112,0.112,106,0.106,6,0.006
1000,109,0.109,104,0.104,5,0.005
