tags_collected, collisions_in_seconds, time_in_minutes, random_seed
88, 1407.91, 16.6667, 310510
86, 1869.16, 16.6667, 831456
64, 1658.69, 16.6667, 91672
78, 1506.06, 16.6667, 316881
68, 2663.72, 16.6667, 629657
76, 1341.25, 16.6667, 729426
78, 2221.28, 16.6667, 44372
78, 2092.06, 16.6667, 168330
85, 1747.34, 16.6667, 391685
66, 1785.94, 16.6667, 819897
73, 1863.72, 16.6667, 81279
88, 1405.16, 16.6667, 313788
82, 2005.38, 16.6667, 668891
97, 1146.41, 16.6667, 873480
69, 1865.62, 16.6667, 326526
62, 2099.19, 16.6667, 474309
76, 1570.75, 16.6667, 645858
71, 1968.44, 16.6667, 882877
75, 1933.47, 16.6667, 982524
63, 2278.09, 16.6667, 169342
79, 1243.31, 16.6667, 175622
63, 1502.97, 16.6667, 549533
83, 1786.53, 16.6667, 832706
74, 2226.72, 16.6667, 105196
81, 1662.47, 16.6667, 262048
78, 2065.19, 16.6667, 770082
83, 1843.62, 16.6667, 557522
82, 1381.06, 16.6667, 356701
75, 1582.06, 16.6667, 753381
80, 1612.47, 16.6667, 123364
92, 712.375, 16.6667, 267210
81, 723.031, 16.6667, 199293
98, 757.188, 16.6667, 123706
93, 905.781, 16.6667, 965837
88, 1510.47, 16.6667, 690014
77, 1591.72, 16.6667, 86524
90, 826.281, 16.6667, 497178
98, 735.062, 16.6667, 351911
91, 1473.56, 16.6667, 276858
65, 1986.88, 16.6667, 658220
105, 780.156, 16.6667, 31004
95, 1227.69, 16.6667, 968850
103, 880.594, 16.6667, 514285
89, 625.438, 16.6667, 291938
100, 1024.78, 16.6667, 439882
105, 769.969, 16.6667, 264471
94, 877.156, 16.6667, 76964
95, 632.406, 16.6667, 882967
92, 863.344, 16.6667, 819789
87, 1171.16, 16.6667, 555312
75, 868.312, 16.6667, 86188
98, 792.406, 16.6667, 789882
92, 1952.16, 16.6667, 657782
88, 539.906, 16.6667, 48583
94, 611.75, 16.6667, 81593
95, 915.25, 16.6667, 63685
104, 692, 16.6667, 981088
94, 1098.78, 16.6667, 867573
106, 841.688, 16.6667, 486009
104, 770.188, 16.6667, 242985
