Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,92,0.092,74,0.074,18,0.018
1000,102,0.102,89,0.089,13,0.013
1000,112,0.112,103,0.103,9,0.009
1000,100,0.1,66,0.066,34,0.034
1000,102,0.102,86,0.086,16,0.016
1000,113,0.113,107,0.107,6,0.006
1000,86,0.086,73,0.073,13,0.013
1000,52,0.052,29,0.029,23,0.023
1000,97,0.097,63,0.063,34,0.034
1000,76,0.076,47,0.047,29,0.029
1000,103,0.103,92,0.092,11,0.011
1000,85,0.085,71,0.071,14,0.014
1000,85,0.085,72,0.072,13,0.013
1000,72,0.072,52,0.052,20,0.02
1000,73,0.073,59,0.059,14,0.014
1000,107,0.107,100,0.1,7,0.007
1000,113,0.113,96,0.096,17,0.017
1000,49,0.049,25,0.025,24,0.024
1000,108,0.108,106,0.106,2,0.002
1000,60,0.06,48,0.048,12,0.012
1000,107,0.107,86,0.086,21,0.021
1000,47,0.047,25,0.025,22,0.022
1000,92,0.092,62,0.062,30,0.03
1000,73,0.073,54,0.054,19,0.019
1000,60,0.06,44,0.044,16,0.016
1000,38,0.038,19,0.019,19,0.019
1000,105,0.105,91,0.091,14,0.014
1000,56,0.056,38,0.038,18,0.018
1000,109,0.109,96,0.096,13,0.013
1000,112,0.112,98,0.098,14,0.014
1000,103,0.103,100,0.1,3,0.003
1000,106,0.106,105,0.105,1,0.001
1000,100,0.1,99,0.099,1,0.001
1000,109,0.109,106,0.106,3,0.003
1000,106,0.106,105,0.105,1,0.001
1000,105,0.105,104,0.104,1,0.001
1000,108,0.108,107,0.107,1,0.001
1000,104,0.104,103,0.103,1,0.001
1000,105,0.105,104,0.104,1,0.001
1000,106,0.106,105,0.105,1,0.001
1000,106,0.106,105,0.105,1,0.001
1000,106,0.106,105,0.105,1,0.001
1000,109,0.109,104,0.104,5,0.005
1000,107,0.107,106,0.106,1,0.001
1000,107,0.107,106,0.106,1,0.001
1000,95,0.095,94,0.094,1,0.001
1000,108,0.108,106,0.106,2,0.002
1000,103,0.103,102,0.102,1,0.001
1000,104,0.104,103,0.103,1,0.001
1000,112,0.112,107,0.107,5,0.005
1000,105,0.105,103,0.103,2,0.002
1000,111,0.111,106,0.106,5,0.005
1000,108,0.108,107,0.107,1,0.001
1000,102,0.102,101,0.101,1,0.001
1000,109,0.109,106,0.106,3,0.003
1000,103,0.103,102,0.102,1,0.001
1000,105,0.105,104,0.104,1,0.001
1000,112,0.112,105,0.105,7,0.007
1000,104,0.104,103,0.103,1,0.001
1000,109,0.109,106,0.106,3,0.003
