tags_collected, collisions_in_seconds, time_in_minutes, random_seed
74, 2940.59, 16.6667, 601764
89, 2140.78, 16.6667, 791196
103, 1325.28, 16.6667, 374481
66, 2799.5, 16.6667, 183187
86, 2519.44, 16.6667, 349439
107, 571.344, 16.6667, 605157
73, 2747.53, 16.6667, 610180
29, 4223.28, 16.6667, 818818
63, 2704.28, 16.6667, 552517
47, 3676.56, 16.6667, 756133
92, 2372.72, 16.6667, 623682
71, 3108.31, 16.6667, 984153
72, 3021.25, 16.6667, 3044
52, 3601.22, 16.6667, 64882
59, 3241.78, 16.6667, 6259
100, 1422.28, 16.6667, 100624
96, 1297.41, 16.6667, 864579
25, 4461.03, 16.6667, 523509
106, 433.094, 16.6667, 147159
48, 3786.69, 16.6667, 616846
86, 2271.06, 16.6667, 361131
25, 4242.62, 16.6667, 744441
62, 3156.81, 16.6667, 401384
54, 3331.5, 16.6667, 395186
44, 3655.62, 16.6667, 392474
19, 4262.25, 16.6667, 165612
91, 1740.12, 16.6667, 782045
38, 4200.16, 16.6667, 361875
96, 1915, 16.6667, 97153
98, 1160.47, 16.6667, 643952
100, 511.781, 16.6667, 472583
105, 524.156, 16.6667, 881539
99, 568.125, 16.6667, 326601
106, 393.5, 16.6667, 633250
105, 490.406, 16.6667, 172723
104, 499.438, 16.6667, 545630
107, 432.531, 16.6667, 52730
103, 480.562, 16.6667, 796718
104, 412.25, 16.6667, 418924
105, 503.875, 16.6667, 929109
105, 420.969, 16.6667, 453122
105, 456.219, 16.6667, 842517
104, 558.656, 16.6667, 416219
106, 456.594, 16.6667, 866273
106, 530.969, 16.6667, 487071
94, 1996.97, 16.6667, 972488
106, 445.5, 16.6667, 793368
102, 441.719, 16.6667, 402401
103, 393.719, 16.6667, 140525
107, 544.281, 16.6667, 619916
103, 422.469, 16.6667, 77197
106, 494.281, 16.6667, 617192
107, 494.906, 16.6667, 207202
101, 507.531, 16.6667, 739029
106, 451.344, 16.6667, 401941
102, 503.875, 16.6667, 949961
104, 458.969, 16.6667, 607720
105, 470.625, 16.6667, 192565
103, 452.625, 16.6667, 776579
106, 481.844, 16.6667, 333442
