Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,126,0.126,56,0.056,70,0.07
1000,99,0.099,80,0.08,19,0.019
1000,102,0.102,75,0.075,27,0.027
1000,96,0.096,54,0.054,42,0.042
1000,119,0.119,74,0.074,45,0.045
1000,101,0.101,62,0.062,39,0.039
1000,121,0.121,69,0.069,52,0.052
1000,81,0.081,51,0.051,30,0.03
1000,111,0.111,69,0.069,42,0.042
1000,141,0.141,101,0.101,40,0.04
1000,120,0.12,73,0.073,47,0.047
1000,109,0.109,78,0.078,31,0.031
1000,84,0.084,47,0.047,37,0.037
1000,136,0.136,82,0.082,54,0.054
1000,69,0.069,34,0.034,35,0.035
1000,96,0.096,70,0.07,26,0.026
1000,87,0.087,29,0.029,58,0.058
1000,69,0.069,34,0.034,35,0.035
1000,102,0.102,63,0.063,39,0.039
1000,110,0.11,69,0.069,41,0.041
1000,104,0.104,72,0.072,32,0.032
1000,122,0.122,90,0.09,32,0.032
1000,113,0.113,70,0.07,43,0.043
1000,111,0.111,57,0.057,54,0.054
1000,83,0.083,40,0.04,43,0.043
1000,62,0.062,18,0.018,44,0.044
1000,106,0.106,47,0.047,59,0.059
1000,131,0.131,92,0.092,39,0.039
1000,103,0.103,65,0.065,38,0.038
1000,148,0.148,89,0.089,59,0.059
1000,136,0.136,96,0.096,40,0.04
1000,138,0.138,77,0.077,61,0.061
1000,143,0.143,89,0.089,54,0.054
1000,125,0.125,65,0.065,60,0.06
1000,98,0.098,46,0.046,52,0.052
1000,162,0.162,77,0.077,85,0.085
1000,105,0.105,50,0.05,55,0.055
1000,130,0.13,58,0.058,72,0.072
1000,132,0.132,84,0.084,48,0.048
1000,108,0.108,41,0.041,67,0.067
1000,115,0.115,69,0.069,46,0.046
1000,120,0.12,62,0.062,58,0.058
1000,102,0.102,39,0.039,63,0.063
1000,140,0.14,79,0.079,61,0.061
1000,127,0.127,92,0.092,35,0.035
1000,152,0.152,76,0.076,76,0.076
1000,126,0.126,74,0.074,52,0.052
1000,159,0.159,72,0.072,87,0.087
1000,153,0.153,100,0.1,53,0.053
1000,137,0.137,56,0.056,81,0.081
1000,127,0.127,59,0.059,68,0.068
1000,120,0.12,43,0.043,77,0.077
1000,146,0.146,74,0.074,72,0.072
1000,117,0.117,67,0.067,50,0.05
1000,118,0.118,78,0.078,40,0.04
1000,144,0.144,60,0.06,84,0.084
1000,114,0.114,59,0.059,55,0.055
1000,112,0.112,64,0.064,48,0.048
1000,127,0.127,66,0.066,61,0.061
1000,121,0.121,83,0.083,38,0.038
