Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,126,0.126,103,0.103,23,0.023
1000,143,0.143,96,0.096,47,0.047
1000,142,0.142,104,0.104,38,0.038
1000,136,0.136,93,0.093,43,0.043
1000,137,0.137,98,0.098,39,0.039
1000,121,0.121,94,0.094,27,0.027
1000,121,0.121,98,0.098,23,0.023
1000,133,0.133,103,0.103,30,0.03
1000,145,0.145,102,0.102,43,0.043
1000,139,0.139,102,0.102,37,0.037
1000,129,0.129,104,0.104,25,0.025
1000,135,0.135,93,0.093,42,0.042
1000,124,0.124,98,0.098,26,0.026
1000,140,0.14,104,0.104,36,0.036
1000,138,0.138,99,0.099,39,0.039
1000,129,0.129,105,0.105,24,0.024
1000,112,0.112,83,0.083,29,0.029
1000,131,0.131,93,0.093,38,0.038
1000,136,0.136,105,0.105,31,0.031
1000,140,0.14,97,0.097,43,0.043
1000,136,0.136,98,0.098,38,0.038
1000,117,0.117,89,0.089,28,0.028
1000,124,0.124,94,0.094,30,0.03
1000,133,0.133,89,0.089,44,0.044
1000,135,0.135,103,0.103,32,0.032
1000,139,0.139,99,0.099,40,0.04
1000,117,0.117,89,0.089,28,0.028
1000,124,0.124,87,0.087,37,0.037
1000,132,0.132,94,0.094,38,0.038
1000,111,0.111,80,0.08,31,0.031
1000,131,0.131,98,0.098,33,0.033
1000,120,0.12,88,0.088,32,0.032
1000,101,0.101,62,0.062,39,0.039
1000,129,0.129,93,0.093,36,0.036
1000,140,0.14,99,0.099,41,0.041
1000,132,0.132,100,0.1,32,0.032
1000,126,0.126,88,0.088,38,0.038
1000,134,0.134,96,0.096,38,0.038
1000,132,0.132,99,0.099,33,0.033
1000,126,0.126,91,0.091,35,0.035
1000,140,0.14,104,0.104,36,0.036
1000,131,0.131,104,0.104,27,0.027
1000,94,0.094,61,0.061,33,0.033
1000,127,0.127,76,0.076,51,0.051
1000,144,0.144,95,0.095,49,0.049
1000,144,0.144,100,0.1,44,0.044
1000,120,0.12,91,0.091,29,0.029
1000,135,0.135,91,0.091,44,0.044
1000,117,0.117,93,0.093,24,0.024
1000,137,0.137,103,0.103,34,0.034
1000,128,0.128,91,0.091,37,0.037
1000,127,0.127,105,0.105,22,0.022
1000,118,0.118,98,0.098,20,0.02
1000,132,0.132,98,0.098,34,0.034
1000,139,0.139,105,0.105,34,0.034
1000,134,0.134,91,0.091,43,0.043
1000,111,0.111,74,0.074,37,0.037
1000,137,0.137,103,0.103,34,0.034
1000,143,0.143,105,0.105,38,0.038
1000,114,0.114,87,0.087,27,0.027
