Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,164,0.164,101,0.101,63,0.063
1000,144,0.144,102,0.102,42,0.042
1000,139,0.139,99,0.099,40,0.04
1000,147,0.147,98,0.098,49,0.049
1000,145,0.145,101,0.101,44,0.044
1000,140,0.14,102,0.102,38,0.038
1000,59,0.059,39,0.039,20,0.02
1000,146,0.146,101,0.101,45,0.045
1000,132,0.132,96,0.096,36,0.036
1000,143,0.143,99,0.099,44,0.044
1000,42,0.042,20,0.02,22,0.022
1000,138,0.138,102,0.102,36,0.036
1000,43,0.043,17,0.017,26,0.026
1000,145,0.145,100,0.1,45,0.045
1000,45,0.045,19,0.019,26,0.026
1000,146,0.146,96,0.096,50,0.05
1000,137,0.137,100,0.1,37,0.037
1000,49,0.049,24,0.024,25,0.025
1000,159,0.159,105,0.105,54,0.054
1000,133,0.133,101,0.101,32,0.032
1000,134,0.134,73,0.073,61,0.061
1000,147,0.147,97,0.097,50,0.05
1000,147,0.147,105,0.105,42,0.042
1000,140,0.14,104,0.104,36,0.036
1000,139,0.139,101,0.101,38,0.038
1000,132,0.132,103,0.103,29,0.029
1000,134,0.134,103,0.103,31,0.031
1000,150,0.15,101,0.101,49,0.049
1000,113,0.113,81,0.081,32,0.032
1000,141,0.141,100,0.1,41,0.041
1000,113,0.113,89,0.089,24,0.024
1000,136,0.136,104,0.104,32,0.032
1000,62,0.062,41,0.041,21,0.021
1000,114,0.114,85,0.085,29,0.029
1000,118,0.118,81,0.081,37,0.037
1000,127,0.127,88,0.088,39,0.039
1000,133,0.133,98,0.098,35,0.035
1000,141,0.141,106,0.106,35,0.035
1000,128,0.128,97,0.097,31,0.031
1000,121,0.121,96,0.096,25,0.025
1000,53,0.053,28,0.028,25,0.025
1000,143,0.143,102,0.102,41,0.041
1000,61,0.061,37,0.037,24,0.024
1000,139,0.139,105,0.105,34,0.034
1000,124,0.124,104,0.104,20,0.02
1000,121,0.121,98,0.098,23,0.023
1000,146,0.146,103,0.103,43,0.043
1000,137,0.137,106,0.106,31,0.031
1000,72,0.072,46,0.046,26,0.026
1000,130,0.13,103,0.103,27,0.027
1000,134,0.134,100,0.1,34,0.034
1000,52,0.052,31,0.031,21,0.021
1000,82,0.082,60,0.06,22,0.022
1000,136,0.136,103,0.103,33,0.033
1000,80,0.08,43,0.043,37,0.037
1000,45,0.045,30,0.03,15,0.015
1000,114,0.114,85,0.085,29,0.029
1000,129,0.129,104,0.104,25,0.025
1000,134,0.134,100,0.1,34,0.034
1000,130,0.13,103,0.103,27,0.027
