Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,112,0.112,57,0.057,55,0.055
1000,108,0.108,41,0.041,67,0.067
1000,133,0.133,68,0.068,65,0.065
1000,84,0.084,42,0.042,42,0.042
1000,97,0.097,39,0.039,58,0.058
1000,121,0.121,77,0.077,44,0.044
1000,125,0.125,50,0.05,75,0.075
1000,122,0.122,38,0.038,84,0.084
1000,118,0.118,86,0.086,32,0.032
1000,150,0.15,77,0.077,73,0.073
1000,116,0.116,70,0.07,46,0.046
1000,92,0.092,41,0.041,51,0.051
1000,80,0.08,35,0.035,45,0.045
1000,131,0.131,80,0.08,51,0.051
1000,119,0.119,60,0.06,59,0.059
1000,126,0.126,77,0.077,49,0.049
1000,124,0.124,95,0.095,29,0.029
1000,103,0.103,63,0.063,40,0.04
1000,105,0.105,44,0.044,61,0.061
1000,104,0.104,51,0.051,53,0.053
1000,120,0.12,55,0.055,65,0.065
1000,108,0.108,66,0.066,42,0.042
1000,102,0.102,58,0.058,44,0.044
1000,116,0.116,60,0.06,56,0.056
1000,99,0.099,67,0.067,32,0.032
1000,106,0.106,68,0.068,38,0.038
1000,122,0.122,56,0.056,66,0.066
1000,120,0.12,88,0.088,32,0.032
1000,101,0.101,55,0.055,46,0.046
1000,114,0.114,73,0.073,41,0.041
1000,103,0.103,42,0.042,61,0.061
1000,124,0.124,58,0.058,66,0.066
1000,137,0.137,67,0.067,70,0.07
1000,150,0.15,64,0.064,86,0.086
1000,131,0.131,57,0.057,74,0.074
1000,109,0.109,46,0.046,63,0.063
1000,114,0.114,68,0.068,46,0.046
1000,137,0.137,82,0.082,55,0.055
1000,127,0.127,35,0.035,92,0.092
1000,125,0.125,66,0.066,59,0.059
1000,116,0.116,67,0.067,49,0.049
1000,85,0.085,38,0.038,47,0.047
1000,130,0.13,68,0.068,62,0.062
1000,126,0.126,71,0.071,55,0.055
1000,74,0.074,25,0.025,49,0.049
1000,98,0.098,40,0.04,58,0.058
1000,133,0.133,52,0.052,81,0.081
1000,127,0.127,51,0.051,76,0.076
1000,133,0.133,78,0.078,55,0.055
1000,166,0.166,91,0.091,75,0.075
1000,108,0.108,60,0.06,48,0.048
1000,107,0.107,59,0.059,48,0.048
1000,97,0.097,61,0.061,36,0.036
1000,117,0.117,74,0.074,43,0.043
1000,112,0.112,54,0.054,58,0.058
1000,116,0.116,68,0.068,48,0.048
1000,148,0.148,56,0.056,92,0.092
1000,151,0.151,81,0.081,70,0.07
1000,148,0.148,58,0.058,90,0.09
1000,128,0.128,84,0.084,44,0.044
