Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,135,0.135,105,0.105,30,0.03
1000,123,0.123,103,0.103,20,0.02
1000,125,0.125,103,0.103,22,0.022
1000,123,0.123,105,0.105,18,0.018
1000,135,0.135,100,0.1,35,0.035
1000,118,0.118,97,0.097,21,0.021
1000,109,0.109,92,0.092,17,0.017
1000,117,0.117,93,0.093,24,0.024
1000,129,0.129,104,0.104,25,0.025
1000,120,0.12,101,0.101,19,0.019
1000,128,0.128,102,0.102,26,0.026
1000,115,0.115,95,0.095,20,0.02
1000,122,0.122,101,0.101,21,0.021
1000,113,0.113,100,0.1,13,0.013
1000,121,0.121,103,0.103,18,0.018
1000,122,0.122,104,0.104,18,0.018
1000,59,0.059,34,0.034,25,0.025
1000,127,0.127,101,0.101,26,0.026
1000,128,0.128,104,0.104,24,0.024
1000,132,0.132,102,0.102,30,0.03
1000,131,0.131,101,0.101,30,0.03
1000,123,0.123,94,0.094,29,0.029
1000,134,0.134,105,0.105,29,0.029
1000,136,0.136,100,0.1,36,0.036
1000,135,0.135,104,0.104,31,0.031
1000,109,0.109,75,0.075,34,0.034
1000,112,0.112,89,0.089,23,0.023
1000,121,0.121,98,0.098,23,0.023
1000,117,0.117,102,0.102,15,0.015
1000,127,0.127,97,0.097,30,0.03
1000,125,0.125,95,0.095,30,0.03
1000,124,0.124,98,0.098,26,0.026
1000,124,0.124,103,0.103,21,0.021
1000,122,0.122,101,0.101,21,0.021
1000,128,0.128,104,0.104,24,0.024
1000,122,0.122,99,0.099,23,0.023
1000,110,0.11,95,0.095,15,0.015
1000,121,0.121,99,0.099,22,0.022
1000,113,0.113,92,0.092,21,0.021
1000,124,0.124,103,0.103,21,0.021
1000,110,0.11,97,0.097,13,0.013
1000,125,0.125,102,0.102,23,0.023
1000,121,0.121,97,0.097,24,0.024
1000,128,0.128,103,0.103,25,0.025
1000,130,0.13,102,0.102,28,0.028
1000,135,0.135,101,0.101,34,0.034
1000,129,0.129,105,0.105,24,0.024
1000,114,0.114,96,0.096,18,0.018
1000,110,0.11,81,0.081,29,0.029
1000,123,0.123,95,0.095,28,0.028
1000,125,0.125,104,0.104,21,0.021
1000,119,0.119,93,0.093,26,0.026
1000,108,0.108,86,0.086,22,0.022
1000,120,0.12,100,0.1,20,0.02
1000,116,0.116,101,0.101,15,0.015
1000,122,0.122,97,0.097,25,0.025
1000,118,0.118,100,0.1,18,0.018
1000,104,0.104,93,0.093,11,0.011
1000,107,0.107,87,0.087,20,0.02
1000,126,0.126,107,0.107,19,0.019
