tags_collected, collisions_in_seconds, time_in_minutes, random_seed
109, 1139.88, 16.6667, 492709
121, 1082, 16.6667, 576336
112, 1034.97, 16.6667, 799266
109, 1255.31, 16.6667, 703367
94, 659.188, 16.6667, 309939
90, 1800.78, 16.6667, 821678
96, 1656.34, 16.6667, 807329
86, 1491.38, 16.6667, 501522
84, 1058.84, 16.6667, 445104
69, 1056.22, 16.6667, 434243
107, 866.844, 16.6667, 82067
93, 1432.97, 16.6667, 650150
114, 902.75, 16.6667, 906282
114, 1422.91, 16.6667, 719234
99, 1170.97, 16.6667, 210958
79, 1685, 16.6667, 675635
93, 812.406, 16.6667, 281948
94, 2101.59, 16.6667, 553810
103, 953.594, 16.6667, 264283
96, 693.375, 16.6667, 263557
96, 818.969, 16.6667, 622680
109, 1183.16, 16.6667, 800603
95, 1289.88, 16.6667, 16673
118, 1546.84, 16.6667, 62881
118, 1350.09, 16.6667, 59343
86, 745.875, 16.6667, 729658
118, 1376.53, 16.6667, 67589
97, 1293.41, 16.6667, 318628
88, 1007.72, 16.6667, 402335
110, 965.969, 16.6667, 29538
110, 892.5, 16.6667, 114865
100, 1006.91, 16.6667, 175094
106, 1741, 16.6667, 267361
117, 1131.72, 16.6667, 846882
93, 1467.84, 16.6667, 585386
113, 1222.22, 16.6667, 676892
90, 1093.72, 16.6667, 591526
83, 1675.62, 16.6667, 476101
94, 1170.22, 16.6667, 160377
90, 1121.94, 16.6667, 191018
105, 926.562, 16.6667, 39519
96, 726.188, 16.6667, 397707
115, 1714.31, 16.6667, 194591
103, 1154.56, 16.6667, 726626
101, 1302.19, 16.6667, 287162
104, 1012, 16.6667, 230643
95, 1128.12, 16.6667, 903853
108, 2013.38, 16.6667, 299637
84, 1740.03, 16.6667, 938108
97, 1411.03, 16.6667, 729261
101, 1340.56, 16.6667, 218122
100, 1548.66, 16.6667, 492408
64, 1118.06, 16.6667, 160159
80, 1254, 16.6667, 417926
80, 1279.03, 16.6667, 127395
45, 2105.25, 16.6667, 961486
89, 1266.94, 16.6667, 771787
52, 2136.94, 16.6667, 559882
103, 1405.81, 16.6667, 123714
78, 1470.22, 16.6667, 918640
74, 1232.31, 16.6667, 653279
69, 1243.94, 16.6667, 751985
89, 974.688, 16.6667, 564096
74, 1046.59, 16.6667, 447562
72, 1691.56, 16.6667, 434289
101, 1772.81, 16.6667, 743819
56, 1354.75, 16.6667, 261798
53, 1452.31, 16.6667, 586618
97, 1155.28, 16.6667, 961846
72, 2018.69, 16.6667, 423249
62, 2004.41, 16.6667, 341071
78, 1608.19, 16.6667, 496813
73, 1427.66, 16.6667, 922342
84, 1730.69, 16.6667, 126477
82, 1721.84, 16.6667, 920666
81, 1020.12, 16.6667, 72438
66, 1137.72, 16.6667, 566961
88, 1534.81, 16.6667, 587399
92, 1075.47, 16.6667, 784951
64, 1409.09, 16.6667, 331885
62, 1488.81, 16.6667, 628637
68, 1117.66, 16.6667, 879874
67, 1368.81, 16.6667, 967384
90, 1618.66, 16.6667, 648543
92, 842.156, 16.6667, 552481
91, 1144.88, 16.6667, 989940
51, 1472.66, 16.6667, 440211
74, 1384.62, 16.6667, 892023
71, 1191.25, 16.6667, 104920
71, 1037.88, 16.6667, 965308
89, 1101.84, 16.6667, 66228
61, 1099.78, 16.6667, 278492
85, 1267.62, 16.6667, 832308
75, 1139.72, 16.6667, 827426
94, 989.781, 16.6667, 748087
87, 1866.22, 16.6667, 566266
58, 1501, 16.6667, 201552
59, 969.312, 16.6667, 969516
100, 1566.97, 16.6667, 66389
78, 1425.59, 16.6667, 922285
