Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1200,95,0.0791667,95,0.0791667,0,0
1200,113,0.0941667,113,0.0941667,0,0
1200,101,0.0841667,101,0.0841667,0,0
1200,125,0.104167,125,0.104167,0,0
1200,126,0.105,126,0.105,0,0
1200,122,0.101667,122,0.101667,0,0
1200,94,0.0783333,94,0.0783333,0,0
1200,116,0.0966667,116,0.0966667,0,0
1200,96,0.08,96,0.08,0,0
1200,124,0.103333,124,0.103333,0,0
1200,114,0.095,114,0.095,0,0
1200,123,0.1025,123,0.1025,0,0
1200,101,0.0841667,101,0.0841667,0,0
1200,123,0.1025,123,0.1025,0,0
1200,124,0.103333,124,0.103333,0,0
1200,105,0.0875,105,0.0875,0,0
1200,116,0.0966667,116,0.0966667,0,0
1200,125,0.104167,125,0.104167,0,0
1200,105,0.0875,105,0.0875,0,0
1200,103,0.0858333,103,0.0858333,0,0
1200,123,0.1025,123,0.1025,0,0
1200,110,0.0916667,110,0.0916667,0,0
1200,102,0.085,102,0.085,0,0
1200,112,0.0933333,112,0.0933333,0,0
1200,119,0.0991667,119,0.0991667,0,0
1200,121,0.100833,121,0.100833,0,0
1200,118,0.0983333,118,0.0983333,0,0
1200,102,0.085,102,0.085,0,0
1200,109,0.0908333,109,0.0908333,0,0
1200,115,0.0958333,115,0.0958333,0,0
1200,103,0.0858333,103,0.0858333,0,0
1200,103,0.0858333,103,0.0858333,0,0
1200,107,0.0891667,107,0.0891667,0,0
1200,104,0.0866667,104,0.0866667,0,0
1196.5,126,0.105307,126,0.105307,0,0
1200,116,0.0966667,116,0.0966667,0,0
1200,117,0.0975,117,0.0975,0,0
1200,123,0.1025,123,0.1025,0,0
1200,100,0.0833333,100,0.0833333,0,0
1200,101,0.0841667,101,0.0841667,0,0
1200,114,0.095,114,0.095,0,0
1200,102,0.085,102,0.085,0,0
1200,126,0.105,126,0.105,0,0
1200,117,0.0975,117,0.0975,0,0
1200,124,0.103333,124,0.103333,0,0
1200,123,0.1025,123,0.1025,0,0
1200,116,0.0966667,116,0.0966667,0,0
1200,107,0.0891667,107,0.0891667,0,0
1085.5,124,0.114233,124,0.114233,0,0
1200,124,0.103333,124,0.103333,0,0
1200,187,0.155833,94,0.0783333,93,0.0775
1200,173,0.144167,78,0.065,95,0.0791667
1200,169,0.140833,70,0.0583333,99,0.0825
1200,188,0.156667,79,0.0658333,109,0.0908333
1200,165,0.1375,70,0.0583333,95,0.0791667
1200,180,0.15,73,0.0608333,107,0.0891667
1200,158,0.131667,99,0.0825,59,0.0491667
1200,154,0.128333,86,0.0716667,68,0.0566667
1200,173,0.144167,74,0.0616667,99,0.0825
1200,173,0.144167,72,0.06,101,0.0841667
1200,174,0.145,86,0.0716667,88,0.0733333
1200,199,0.165833,97,0.0808333,102,0.085
1200,157,0.130833,88,0.0733333,69,0.0575
1200,201,0.1675,104,0.0866667,97,0.0808333
1200,192,0.16,104,0.0866667,88,0.0733333
1200,173,0.144167,114,0.095,59,0.0491667
1200,157,0.130833,98,0.0816667,59,0.0491667
1200,178,0.148333,78,0.065,100,0.0833333
1200,172,0.143333,78,0.065,94,0.0783333
1200,169,0.140833,79,0.0658333,90,0.075
1200,196,0.163333,105,0.0875,91,0.0758333
1200,170,0.141667,61,0.0508333,109,0.0908333
1200,166,0.138333,93,0.0775,73,0.0608333
1200,176,0.146667,70,0.0583333,106,0.0883333
1200,154,0.128333,102,0.085,52,0.0433333
1200,177,0.1475,86,0.0716667,91,0.0758333
1200,160,0.133333,67,0.0558333,93,0.0775
1200,189,0.1575,82,0.0683333,107,0.0891667
1200,189,0.1575,74,0.0616667,115,0.0958333
1200,138,0.115,55,0.0458333,83,0.0691667
1200,152,0.126667,56,0.0466667,96,0.08
1200,157,0.130833,61,0.0508333,96,0.08
1200,179,0.149167,88,0.0733333,91,0.0758333
1200,191,0.159167,87,0.0725,104,0.0866667
1200,150,0.125,61,0.0508333,89,0.0741667
1200,175,0.145833,88,0.0733333,87,0.0725
1200,141,0.1175,61,0.0508333,80,0.0666667
1200,166,0.138333,85,0.0708333,81,0.0675
1200,193,0.160833,92,0.0766667,101,0.0841667
1200,179,0.149167,101,0.0841667,78,0.065
1200,175,0.145833,101,0.0841667,74,0.0616667
1200,176,0.146667,101,0.0841667,75,0.0625
1200,181,0.150833,82,0.0683333,99,0.0825
1200,156,0.13,84,0.07,72,0.06
1200,167,0.139167,77,0.0641667,90,0.075
1200,156,0.13,70,0.0583333,86,0.0716667
1200,183,0.1525,75,0.0625,108,0.09
1200,174,0.145,93,0.0775,81,0.0675
1200,129,0.1075,65,0.0541667,64,0.0533333
1200,163,0.135833,61,0.0508333,102,0.085
