Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,118,0.118,118,0.118,0,0
1000,110,0.11,110,0.11,0,0
1000,117,0.117,117,0.117,0,0
1000,115,0.115,115,0.115,0,0
1000,106,0.106,106,0.106,0,0
1000,83,0.083,83,0.083,0,0
1000,112,0.112,112,0.112,0,0
1000,119,0.119,119,0.119,0,0
1000,113,0.113,113,0.113,0,0
1000,105,0.105,105,0.105,0,0
1000,113,0.113,113,0.113,0,0
1000,117,0.117,117,0.117,0,0
1000,116,0.116,116,0.116,0,0
1000,110,0.11,110,0.11,0,0
1000,120,0.12,120,0.12,0,0
1000,107,0.107,107,0.107,0,0
1000,118,0.118,118,0.118,0,0
1000,117,0.117,117,0.117,0,0
1000,105,0.105,105,0.105,0,0
1000,119,0.119,119,0.119,0,0
1000,121,0.121,121,0.121,0,0
1000,126,0.126,126,0.126,0,0
1000,126,0.126,126,0.126,0,0
1000,113,0.113,113,0.113,0,0
1000,121,0.121,121,0.121,0,0
1000,119,0.119,119,0.119,0,0
1000,119,0.119,119,0.119,0,0
1000,121,0.121,121,0.121,0,0
1000,104,0.104,104,0.104,0,0
1000,120,0.12,120,0.12,0,0
1000,117,0.117,117,0.117,0,0
1000,121,0.121,121,0.121,0,0
1000,125,0.125,125,0.125,0,0
1000,115,0.115,115,0.115,0,0
1000,118,0.118,118,0.118,0,0
1000,122,0.122,122,0.122,0,0
1000,119,0.119,119,0.119,0,0
1000,96,0.096,96,0.096,0,0
1000,112,0.112,112,0.112,0,0
1000,106,0.106,106,0.106,0,0
1000,115,0.115,115,0.115,0,0
1000,113,0.113,113,0.113,0,0
1000,117,0.117,117,0.117,0,0
1000,117,0.117,117,0.117,0,0
1000,106,0.106,106,0.106,0,0
1000,108,0.108,108,0.108,0,0
1000,88,0.088,88,0.088,0,0
1000,119,0.119,119,0.119,0,0
1000,114,0.114,114,0.114,0,0
1000,122,0.122,122,0.122,0,0
1000,186,0.186,90,0.09,96,0.096
1000,165,0.165,87,0.087,78,0.078
1000,176,0.176,88,0.088,88,0.088
1000,167,0.167,77,0.077,90,0.09
1000,179,0.179,91,0.091,88,0.088
1000,168,0.168,76,0.076,92,0.092
1000,166,0.166,87,0.087,79,0.079
1000,185,0.185,89,0.089,96,0.096
1000,144,0.144,82,0.082,62,0.062
1000,172,0.172,84,0.084,88,0.088
1000,176,0.176,94,0.094,82,0.082
1000,177,0.177,97,0.097,80,0.08
1000,182,0.182,92,0.092,90,0.09
1000,170,0.17,83,0.083,87,0.087
1000,180,0.18,82,0.082,98,0.098
1000,154,0.154,85,0.085,69,0.069
1000,174,0.174,72,0.072,102,0.102
1000,152,0.152,85,0.085,67,0.067
1000,183,0.183,91,0.091,92,0.092
1000,165,0.165,107,0.107,58,0.058
1000,185,0.185,77,0.077,108,0.108
1000,176,0.176,85,0.085,91,0.091
1000,165,0.165,83,0.083,82,0.082
1000,182,0.182,111,0.111,71,0.071
1000,187,0.187,89,0.089,98,0.098
1000,168,0.168,79,0.079,89,0.089
1000,172,0.172,89,0.089,83,0.083
1000,166,0.166,101,0.101,65,0.065
1000,153,0.153,78,0.078,75,0.075
1000,160,0.16,83,0.083,77,0.077
1000,166,0.166,86,0.086,80,0.08
1000,180,0.18,79,0.079,101,0.101
1000,171,0.171,78,0.078,93,0.093
1000,178,0.178,96,0.096,82,0.082
1000,171,0.171,75,0.075,96,0.096
1000,192,0.192,88,0.088,104,0.104
1000,178,0.178,92,0.092,86,0.086
1000,183,0.183,94,0.094,89,0.089
1000,170,0.17,84,0.084,86,0.086
1000,162,0.162,80,0.08,82,0.082
1000,125,0.125,53,0.053,72,0.072
1000,152,0.152,79,0.079,73,0.073
1000,172,0.172,96,0.096,76,0.076
1000,176,0.176,95,0.095,81,0.081
1000,170,0.17,94,0.094,76,0.076
1000,159,0.159,69,0.069,90,0.09
1000,163,0.163,105,0.105,58,0.058
1000,191,0.191,87,0.087,104,0.104
1000,159,0.159,81,0.081,78,0.078
1000,178,0.178,102,0.102,76,0.076
