tags_collected, collisions_in_seconds, time_in_minutes, random_seed
118, 874.719, 16.6667, 308785
110, 792.75, 16.6667, 911380
117, 717.125, 16.6667, 158953
115, 816.781, 16.6667, 397816
106, 1316, 16.6667, 409182
83, 2041.38, 16.6667, 984110
112, 755.219, 16.6667, 579283
119, 719.688, 16.6667, 806909
113, 969.875, 16.6667, 708167
105, 826.281, 16.6667, 854343
113, 911.031, 16.6667, 197469
117, 787.25, 16.6667, 28562
116, 712.719, 16.6667, 945068
110, 1165.38, 16.6667, 858231
120, 821.625, 16.6667, 728152
107, 832.375, 16.6667, 838523
118, 735.312, 16.6667, 949444
117, 680.562, 16.6667, 949790
105, 989.531, 16.6667, 891651
119, 774.562, 16.6667, 480330
121, 809.281, 16.6667, 706282
126, 864.406, 16.6667, 571576
126, 876.375, 16.6667, 327921
113, 722.781, 16.6667, 551671
121, 866.281, 16.6667, 665264
119, 862.25, 16.6667, 638928
119, 689.25, 16.6667, 893842
121, 999.594, 16.6667, 393067
104, 1549.38, 16.6667, 754668
120, 1108.62, 16.6667, 987875
117, 1467.5, 16.6667, 815594
121, 850.531, 16.6667, 609292
125, 789.219, 16.6667, 178912
115, 611.312, 16.6667, 251859
118, 888.094, 16.6667, 42260
122, 992.375, 16.6667, 642421
119, 625.625, 16.6667, 878618
96, 2005.66, 16.6667, 60195
112, 971.031, 16.6667, 480278
106, 640.125, 16.6667, 867406
115, 704.75, 16.6667, 979197
113, 818.031, 16.6667, 959592
117, 624.844, 16.6667, 18661
117, 878.625, 16.6667, 98727
106, 719.438, 16.6667, 897260
108, 1409.59, 16.6667, 168139
88, 2404.41, 16.6667, 982889
119, 971.688, 16.6667, 25121
114, 809.406, 16.6667, 500113
122, 975.281, 16.6667, 656931
90, 1237.25, 16.6667, 449040
87, 1120.69, 16.6667, 407094
88, 977.5, 16.6667, 222373
77, 842.438, 16.6667, 45827
91, 1398.06, 16.6667, 805294
76, 782.219, 16.6667, 597437
87, 1248.06, 16.6667, 636572
89, 927.188, 16.6667, 722878
82, 2266.59, 16.6667, 125620
84, 1190.62, 16.6667, 448941
94, 1047, 16.6667, 648502
97, 1029.56, 16.6667, 178495
92, 938.281, 16.6667, 361440
83, 935.25, 16.6667, 648631
82, 1169.69, 16.6667, 840848
85, 1269.19, 16.6667, 733323
72, 1101.72, 16.6667, 454674
85, 1916.81, 16.6667, 189552
91, 1062.34, 16.6667, 532718
107, 914.062, 16.6667, 266928
77, 762.5, 16.6667, 78414
85, 1118.69, 16.6667, 231053
83, 1138.81, 16.6667, 175599
111, 840.781, 16.6667, 650733
89, 1232.78, 16.6667, 431464
79, 1124.22, 16.6667, 514414
89, 961.594, 16.6667, 619176
101, 988.594, 16.6667, 385462
78, 1496.22, 16.6667, 125739
83, 1179.62, 16.6667, 483138
86, 1292, 16.6667, 451477
79, 884.625, 16.6667, 692194
78, 956.125, 16.6667, 362079
96, 1187.53, 16.6667, 972264
75, 993.188, 16.6667, 344589
88, 924.938, 16.6667, 628257
92, 850.906, 16.6667, 975871
94, 890.156, 16.6667, 189692
84, 1213.22, 16.6667, 468408
80, 924.188, 16.6667, 513004
53, 2250.75, 16.6667, 704141
79, 1643.66, 16.6667, 431508
96, 847.281, 16.6667, 378555
95, 813.562, 16.6667, 426809
94, 1368.44, 16.6667, 983246
69, 1706.69, 16.6667, 826023
105, 1203.56, 16.6667, 670535
87, 784, 16.6667, 777777
81, 1348.72, 16.6667, 352255
102, 976.5, 16.6667, 665732
