Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1500,127,0.0846667,127,0.0846667,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,127,0.0846667,127,0.0846667,0,0
1181,127,0.107536,127,0.107536,0,0
1429,127,0.0888733,127,0.0888733,0,0
1072,126,0.117537,126,0.117537,0,0
1500,127,0.0846667,127,0.0846667,0,0
1311,126,0.0961098,126,0.0961098,0,0
1345,127,0.0944238,127,0.0944238,0,0
1500,127,0.0846667,127,0.0846667,0,0
1290,127,0.0984496,127,0.0984496,0,0
1124.5,127,0.112939,127,0.112939,0,0
1119,126,0.112601,126,0.112601,0,0
1343.5,127,0.0945292,127,0.0945292,0,0
1282.5,127,0.0990253,127,0.0990253,0,0
1297.5,127,0.0978805,127,0.0978805,0,0
1406.5,127,0.0902951,127,0.0902951,0,0
1054,127,0.120493,127,0.120493,0,0
1325.5,126,0.0950585,126,0.0950585,0,0
1248.5,126,0.100921,126,0.100921,0,0
1297.5,127,0.0978805,127,0.0978805,0,0
1493.5,127,0.0850352,127,0.0850352,0,0
1262.5,126,0.099802,126,0.099802,0,0
1157.5,127,0.109719,127,0.109719,0,0
1490.5,127,0.0852063,127,0.0852063,0,0
1500,127,0.0846667,127,0.0846667,0,0
1157,126,0.108902,126,0.108902,0,0
1404,127,0.0904558,127,0.0904558,0,0
1051.5,127,0.12078,127,0.12078,0,0
1415.5,126,0.0890145,126,0.0890145,0,0
1500,125,0.0833333,125,0.0833333,0,0
1235.5,126,0.101983,126,0.101983,0,0
1265.5,127,0.100356,127,0.100356,0,0
1414,127,0.0898161,127,0.0898161,0,0
1500,127,0.0846667,127,0.0846667,0,0
1294,127,0.0981453,127,0.0981453,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,127,0.0846667,127,0.0846667,0,0
1347,126,0.0935412,126,0.0935412,0,0
1500,127,0.0846667,127,0.0846667,0,0
1400,127,0.0907143,127,0.0907143,0,0
1283,127,0.0989867,127,0.0989867,0,0
1425.5,127,0.0890915,127,0.0890915,0,0
1496.5,127,0.0848647,127,0.0848647,0,0
1500,123,0.082,123,0.082,0,0
1405.5,127,0.0903593,127,0.0903593,0,0
1122,127,0.113191,127,0.113191,0,0
1490,127,0.0852349,127,0.0852349,0,0
1382.5,127,0.0918626,127,0.0918626,0,0
1500,243,0.162,120,0.08,123,0.082
1500,248,0.165333,123,0.082,125,0.0833333
1500,245,0.163333,125,0.0833333,120,0.08
1500,252,0.168,126,0.084,126,0.084
1500,249,0.166,125,0.0833333,124,0.0826667
1500,248,0.165333,125,0.0833333,123,0.082
1500,246,0.164,123,0.082,123,0.082
1500,249,0.166,125,0.0833333,124,0.0826667
1500,246,0.164,123,0.082,123,0.082
1500,243,0.162,120,0.08,123,0.082
1500,248,0.165333,122,0.0813333,126,0.084
1500,247,0.164667,124,0.0826667,123,0.082
1500,251,0.167333,123,0.082,128,0.0853333
1500,247,0.164667,123,0.082,124,0.0826667
1500,247,0.164667,125,0.0833333,122,0.0813333
1500,250,0.166667,124,0.0826667,126,0.084
1500,245,0.163333,123,0.082,122,0.0813333
1500,245,0.163333,126,0.084,119,0.0793333
1500,250,0.166667,124,0.0826667,126,0.084
1500,246,0.164,122,0.0813333,124,0.0826667
1500,244,0.162667,121,0.0806667,123,0.082
1500,252,0.168,125,0.0833333,127,0.0846667
1500,247,0.164667,126,0.084,121,0.0806667
1500,248,0.165333,124,0.0826667,124,0.0826667
1500,247,0.164667,126,0.084,121,0.0806667
1500,246,0.164,123,0.082,123,0.082
1500,249,0.166,124,0.0826667,125,0.0833333
1500,244,0.162667,122,0.0813333,122,0.0813333
1500,241,0.160667,123,0.082,118,0.0786667
1500,244,0.162667,124,0.0826667,120,0.08
1500,244,0.162667,123,0.082,121,0.0806667
1500,244,0.162667,122,0.0813333,122,0.0813333
1500,248,0.165333,121,0.0806667,127,0.0846667
1500,245,0.163333,125,0.0833333,120,0.08
1500,248,0.165333,124,0.0826667,124,0.0826667
1500,248,0.165333,124,0.0826667,124,0.0826667
1500,246,0.164,123,0.082,123,0.082
1500,250,0.166667,125,0.0833333,125,0.0833333
1500,247,0.164667,124,0.0826667,123,0.082
1500,251,0.167333,125,0.0833333,126,0.084
1500,242,0.161333,118,0.0786667,124,0.0826667
1500,245,0.163333,124,0.0826667,121,0.0806667
1500,241,0.160667,120,0.08,121,0.0806667
1500,248,0.165333,124,0.0826667,124,0.0826667
1500,241,0.160667,117,0.078,124,0.0826667
1500,249,0.166,123,0.082,126,0.084
1500,231,0.154,117,0.078,114,0.076
1500,248,0.165333,122,0.0813333,126,0.084
1500,250,0.166667,126,0.084,124,0.0826667
1500,242,0.161333,120,0.08,122,0.0813333
