tags_collected, collisions_in_seconds, time_in_minutes, random_seed
127, 587.938, 25, 512289
127, 709.719, 25, 528824
127, 699.562, 25, 658995
127, 618.719, 25, 654086
127, 544.938, 19.6833, 351880
127, 749.688, 23.8167, 741414
126, 549.281, 17.8667, 657241
127, 653.812, 25, 914674
126, 612.75, 21.85, 953925
127, 662.5, 22.4167, 918031
127, 699.688, 25, 164721
127, 566.5, 21.5, 968052
127, 592.656, 18.7417, 473594
126, 571.156, 18.65, 377870
127, 638.219, 22.3917, 249396
127, 657, 21.375, 415437
127, 612.906, 21.625, 87093
127, 634.125, 23.4417, 633731
127, 527.625, 17.5667, 277798
126, 558.125, 22.0917, 162807
126, 550.5, 20.8083, 498805
127, 522.781, 21.625, 592562
127, 703.688, 24.8917, 186646
126, 613.25, 21.0417, 187367
127, 526.125, 19.2917, 361075
127, 673.344, 24.8417, 566926
127, 602.188, 25, 129261
126, 639.312, 19.2833, 882282
127, 587.812, 23.4, 836953
127, 499.875, 17.525, 825258
126, 645.156, 23.5917, 839020
125, 627.281, 25, 697818
126, 613.938, 20.5917, 386408
127, 609.812, 21.0917, 315307
127, 604.25, 23.5667, 559611
127, 756.562, 25, 509538
127, 675.812, 21.5667, 199001
127, 640.25, 25, 742827
127, 565.031, 25, 568007
126, 570, 22.45, 446493
127, 615.5, 25, 786078
127, 594.812, 23.3333, 613089
127, 554, 21.3833, 267630
127, 602.688, 23.7583, 714132
127, 576.094, 24.9417, 670425
123, 692.469, 25, 376045
127, 532.781, 23.425, 609285
127, 530.625, 18.7, 667110
127, 625.5, 24.8333, 36860
127, 626.875, 23.0417, 589570
120, 1369.31, 25, 69618
123, 929.031, 25, 425122
125, 1147.47, 25, 118963
126, 1148.56, 25, 966267
125, 1129.72, 25, 387721
125, 1059.69, 25, 855250
123, 1203.06, 25, 422378
125, 1027.44, 25, 903330
123, 1142.72, 25, 501223
120, 1239.31, 25, 7053
122, 1145, 25, 487905
124, 1051.31, 25, 973743
123, 1178.47, 25, 742618
123, 1178.22, 25, 382046
125, 1297.22, 25, 544241
124, 1262.06, 25, 315863
123, 1126.09, 25, 576194
126, 1066.94, 25, 321866
124, 1170.72, 25, 244806
122, 1030.59, 25, 122524
121, 999, 25, 585050
125, 1098.94, 25, 306835
126, 1187.16, 25, 988703
124, 1166.97, 25, 437931
126, 1264.62, 25, 804578
123, 1145.22, 25, 701180
124, 1132.34, 25, 503356
122, 1045.16, 25, 650930
123, 1116.38, 25, 777084
124, 1239.91, 25, 910531
123, 1038.59, 25, 882566
122, 1244.03, 25, 58170
121, 899, 25, 795689
125, 1120.59, 25, 826770
124, 943.312, 25, 975344
124, 1254.06, 25, 68973
123, 1032.38, 25, 21640
125, 1092.97, 25, 100483
124, 1080.03, 25, 238354
125, 1187.25, 25, 366283
118, 1040.38, 25, 306323
124, 1114.47, 25, 244557
120, 1111.78, 25, 124194
124, 1034.94, 25, 202940
117, 1288.47, 25, 311056
123, 1023, 25, 723125
117, 1068.38, 25, 896013
122, 1290.34, 25, 116125
126, 961.125, 25, 214466
120, 1256.19, 25, 188139
