Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,85,0.085,85,0.085,0,0
1000,92,0.092,92,0.092,0,0
1000,107,0.107,107,0.107,0,0
1000,124,0.124,124,0.124,0,0
1000,77,0.077,77,0.077,0,0
1000,98,0.098,98,0.098,0,0
1000,101,0.101,101,0.101,0,0
1000,110,0.11,110,0.11,0,0
1000,104,0.104,104,0.104,0,0
1000,103,0.103,103,0.103,0,0
1000,101,0.101,101,0.101,0,0
1000,108,0.108,108,0.108,0,0
1000,97,0.097,97,0.097,0,0
1000,111,0.111,111,0.111,0,0
1000,103,0.103,103,0.103,0,0
1000,103,0.103,103,0.103,0,0
1000,95,0.095,95,0.095,0,0
1000,92,0.092,92,0.092,0,0
1000,99,0.099,99,0.099,0,0
1000,100,0.1,100,0.1,0,0
1000,93,0.093,93,0.093,0,0
1000,119,0.119,119,0.119,0,0
1000,121,0.121,121,0.121,0,0
1000,119,0.119,119,0.119,0,0
1000,90,0.09,90,0.09,0,0
1000,103,0.103,103,0.103,0,0
1000,106,0.106,106,0.106,0,0
1000,113,0.113,113,0.113,0,0
1000,98,0.098,98,0.098,0,0
1000,89,0.089,89,0.089,0,0
1000,83,0.083,83,0.083,0,0
1000,118,0.118,118,0.118,0,0
1000,96,0.096,96,0.096,0,0
1000,110,0.11,110,0.11,0,0
1000,102,0.102,102,0.102,0,0
1000,114,0.114,114,0.114,0,0
1000,104,0.104,104,0.104,0,0
1000,106,0.106,106,0.106,0,0
1000,95,0.095,95,0.095,0,0
1000,95,0.095,95,0.095,0,0
1000,108,0.108,108,0.108,0,0
1000,92,0.092,92,0.092,0,0
1000,70,0.07,70,0.07,0,0
1000,100,0.1,100,0.1,0,0
1000,104,0.104,104,0.104,0,0
1000,104,0.104,104,0.104,0,0
1000,102,0.102,102,0.102,0,0
1000,98,0.098,98,0.098,0,0
1000,85,0.085,85,0.085,0,0
1000,110,0.11,110,0.11,0,0
1000,124,0.124,47,0.047,77,0.077
1000,137,0.137,69,0.069,68,0.068
1000,148,0.148,67,0.067,81,0.081
1000,117,0.117,63,0.063,54,0.054
1000,161,0.161,96,0.096,65,0.065
1000,141,0.141,70,0.07,71,0.071
1000,159,0.159,76,0.076,83,0.083
1000,143,0.143,102,0.102,41,0.041
1000,142,0.142,67,0.067,75,0.075
1000,150,0.15,46,0.046,104,0.104
1000,178,0.178,88,0.088,90,0.09
1000,148,0.148,71,0.071,77,0.077
1000,156,0.156,88,0.088,68,0.068
1000,174,0.174,62,0.062,112,0.112
1000,154,0.154,102,0.102,52,0.052
1000,163,0.163,70,0.07,93,0.093
1000,150,0.15,40,0.04,110,0.11
1000,132,0.132,66,0.066,66,0.066
1000,135,0.135,53,0.053,82,0.082
1000,155,0.155,82,0.082,73,0.073
1000,131,0.131,89,0.089,42,0.042
1000,148,0.148,86,0.086,62,0.062
1000,134,0.134,71,0.071,63,0.063
1000,151,0.151,60,0.06,91,0.091
1000,138,0.138,81,0.081,57,0.057
1000,146,0.146,78,0.078,68,0.068
1000,151,0.151,60,0.06,91,0.091
1000,143,0.143,66,0.066,77,0.077
1000,137,0.137,65,0.065,72,0.072
1000,162,0.162,70,0.07,92,0.092
1000,166,0.166,80,0.08,86,0.086
1000,154,0.154,57,0.057,97,0.097
1000,152,0.152,69,0.069,83,0.083
1000,149,0.149,78,0.078,71,0.071
1000,119,0.119,78,0.078,41,0.041
1000,154,0.154,88,0.088,66,0.066
1000,163,0.163,87,0.087,76,0.076
1000,146,0.146,66,0.066,80,0.08
1000,149,0.149,76,0.076,73,0.073
1000,158,0.158,52,0.052,106,0.106
1000,158,0.158,74,0.074,84,0.084
1000,118,0.118,71,0.071,47,0.047
1000,146,0.146,81,0.081,65,0.065
1000,127,0.127,65,0.065,62,0.062
1000,166,0.166,84,0.084,82,0.082
1000,142,0.142,64,0.064,78,0.078
1000,138,0.138,70,0.07,68,0.068
1000,164,0.164,46,0.046,118,0.118
1000,145,0.145,62,0.062,83,0.083
1000,161,0.161,70,0.07,91,0.091
