tags_collected, collisions_in_seconds, time_in_minutes, random_seed
80, 1439.66, 16.6667, 606381
107, 1712.22, 16.6667, 861563
109, 1272.03, 16.6667, 412272
111, 1942.38, 16.6667, 160302
90, 1127.94, 16.6667, 640166
96, 1459.28, 16.6667, 357509
104, 1755.47, 16.6667, 51741
116, 971.906, 16.6667, 540878
87, 769.219, 16.6667, 180394
122, 1239.62, 16.6667, 162809
99, 1234.59, 16.6667, 782659
109, 1174.38, 16.6667, 272922
104, 1024.72, 16.6667, 987755
85, 671.531, 16.6667, 805444
100, 1440.59, 16.6667, 56198
106, 1731.5, 16.6667, 601702
97, 792.156, 16.6667, 270363
117, 1730.78, 16.6667, 368602
93, 1186.47, 16.6667, 873023
106, 957.312, 16.6667, 824543
106, 1217.72, 16.6667, 862212
106, 1128.97, 16.6667, 854644
81, 1421.38, 16.6667, 774888
104, 1171.5, 16.6667, 764351
109, 1079.34, 16.6667, 747758
105, 1676.88, 16.6667, 574197
103, 1085.56, 16.6667, 334765
100, 1339.5, 16.6667, 375801
98, 1217.5, 16.6667, 624552
108, 926.5, 16.6667, 570513
104, 938.344, 16.6667, 488525
104, 915, 16.6667, 486445
97, 1105.22, 16.6667, 540089
84, 950.406, 16.6667, 510291
119, 1275.28, 16.6667, 6168
98, 1314.84, 16.6667, 937611
107, 1142.66, 16.6667, 921683
94, 938.531, 16.6667, 973763
94, 1631.69, 16.6667, 149165
106, 894.531, 16.6667, 572857
97, 1336.62, 16.6667, 827632
97, 799.375, 16.6667, 847276
96, 2112.97, 16.6667, 330028
102, 1219.81, 16.6667, 926867
119, 1333.56, 16.6667, 106146
93, 1058.78, 16.6667, 789942
106, 1040.66, 16.6667, 796841
88, 941.656, 16.6667, 7519
104, 1202.34, 16.6667, 907442
103, 1776.22, 16.6667, 930670
77, 1434.72, 16.6667, 628062
72, 1504.28, 16.6667, 305298
81, 1192.03, 16.6667, 330563
58, 2185.78, 16.6667, 813726
72, 981.844, 16.6667, 260698
15, 2292.19, 16.6667, 972450
59, 1563.88, 16.6667, 326849
56, 1195.09, 16.6667, 940309
55, 1085.09, 16.6667, 546225
66, 1236.88, 16.6667, 153331
62, 1535.03, 16.6667, 724136
73, 1420, 16.6667, 502729
56, 1349.03, 16.6667, 720867
86, 889.5, 16.6667, 316395
72, 1596.28, 16.6667, 76563
92, 2120.75, 16.6667, 583285
79, 1136.41, 16.6667, 939404
73, 1032.66, 16.6667, 69284
49, 1484.28, 16.6667, 953450
61, 1597.22, 16.6667, 682619
75, 1976.12, 16.6667, 161635
58, 1624.41, 16.6667, 949908
82, 1276.81, 16.6667, 427427
66, 1284.12, 16.6667, 61090
64, 1149.44, 16.6667, 651891
55, 1410.62, 16.6667, 252000
81, 1367.59, 16.6667, 823360
70, 1823.44, 16.6667, 204461
80, 1263.16, 16.6667, 580960
72, 1064.84, 16.6667, 244965
58, 1791.62, 16.6667, 76194
94, 1569.22, 16.6667, 346159
39, 1898.28, 16.6667, 963028
71, 924.875, 16.6667, 135988
69, 2556.47, 16.6667, 209365
46, 1403.81, 16.6667, 332538
58, 1491.5, 16.6667, 497912
72, 1400, 16.6667, 908752
57, 1596.66, 16.6667, 257421
45, 1535.38, 16.6667, 373642
55, 2613.94, 16.6667, 98888
95, 1252.12, 16.6667, 908310
61, 2155.31, 16.6667, 633108
87, 1232.16, 16.6667, 103264
66, 1461.81, 16.6667, 985562
57, 1720.91, 16.6667, 456635
61, 1561.81, 16.6667, 147495
44, 1527, 16.6667, 571323
60, 1348.12, 16.6667, 945036
76, 1659.06, 16.6667, 801704
