Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,115,0.115,115,0.115,0,0
1000,115,0.115,115,0.115,0,0
1000,126,0.126,126,0.126,0,0
1000,110,0.11,110,0.11,0,0
1000,122,0.122,122,0.122,0,0
1000,117,0.117,117,0.117,0,0
1000,107,0.107,107,0.107,0,0
1000,117,0.117,117,0.117,0,0
1000,118,0.118,118,0.118,0,0
1000,116,0.116,116,0.116,0,0
1000,117,0.117,117,0.117,0,0
1000,121,0.121,121,0.121,0,0
1000,115,0.115,115,0.115,0,0
1000,122,0.122,122,0.122,0,0
1000,116,0.116,116,0.116,0,0
1000,119,0.119,119,0.119,0,0
1000,102,0.102,102,0.102,0,0
1000,89,0.089,89,0.089,0,0
1000,124,0.124,124,0.124,0,0
1000,119,0.119,119,0.119,0,0
1000,112,0.112,112,0.112,0,0
1000,94,0.094,94,0.094,0,0
1000,119,0.119,119,0.119,0,0
1000,120,0.12,120,0.12,0,0
1000,117,0.117,117,0.117,0,0
1000,114,0.114,114,0.114,0,0
1000,116,0.116,116,0.116,0,0
1000,117,0.117,117,0.117,0,0
1000,125,0.125,125,0.125,0,0
1000,99,0.099,99,0.099,0,0
1000,117,0.117,117,0.117,0,0
1000,119,0.119,119,0.119,0,0
1000,117,0.117,117,0.117,0,0
1000,121,0.121,121,0.121,0,0
1000,94,0.094,94,0.094,0,0
1000,106,0.106,106,0.106,0,0
1000,114,0.114,114,0.114,0,0
1000,109,0.109,109,0.109,0,0
1000,121,0.121,121,0.121,0,0
1000,114,0.114,114,0.114,0,0
1000,116,0.116,116,0.116,0,0
1000,109,0.109,109,0.109,0,0
1000,116,0.116,116,0.116,0,0
1000,116,0.116,116,0.116,0,0
1000,115,0.115,115,0.115,0,0
1000,112,0.112,112,0.112,0,0
1000,119,0.119,119,0.119,0,0
1000,123,0.123,123,0.123,0,0
1000,107,0.107,107,0.107,0,0
1000,118,0.118,118,0.118,0,0
1000,163,0.163,67,0.067,96,0.096
1000,184,0.184,91,0.091,93,0.093
1000,161,0.161,93,0.093,68,0.068
1000,163,0.163,79,0.079,84,0.084
1000,168,0.168,91,0.091,77,0.077
1000,172,0.172,87,0.087,85,0.085
1000,173,0.173,88,0.088,85,0.085
1000,171,0.171,97,0.097,74,0.074
1000,178,0.178,95,0.095,83,0.083
1000,177,0.177,95,0.095,82,0.082
1000,149,0.149,61,0.061,88,0.088
1000,171,0.171,86,0.086,85,0.085
1000,177,0.177,73,0.073,104,0.104
1000,168,0.168,86,0.086,82,0.082
1000,176,0.176,85,0.085,91,0.091
1000,176,0.176,99,0.099,77,0.077
1000,166,0.166,81,0.081,85,0.085
1000,173,0.173,97,0.097,76,0.076
1000,164,0.164,79,0.079,85,0.085
1000,164,0.164,90,0.09,74,0.074
1000,188,0.188,89,0.089,99,0.099
1000,192,0.192,104,0.104,88,0.088
1000,164,0.164,78,0.078,86,0.086
1000,161,0.161,79,0.079,82,0.082
1000,190,0.19,95,0.095,95,0.095
1000,183,0.183,78,0.078,105,0.105
1000,169,0.169,92,0.092,77,0.077
1000,128,0.128,56,0.056,72,0.072
1000,145,0.145,70,0.07,75,0.075
1000,193,0.193,92,0.092,101,0.101
1000,169,0.169,100,0.1,69,0.069
1000,150,0.15,71,0.071,79,0.079
1000,165,0.165,60,0.06,105,0.105
1000,172,0.172,74,0.074,98,0.098
1000,174,0.174,91,0.091,83,0.083
1000,184,0.184,99,0.099,85,0.085
1000,168,0.168,90,0.09,78,0.078
1000,185,0.185,93,0.093,92,0.092
1000,177,0.177,103,0.103,74,0.074
1000,134,0.134,69,0.069,65,0.065
1000,152,0.152,80,0.08,72,0.072
1000,191,0.191,88,0.088,103,0.103
1000,156,0.156,59,0.059,97,0.097
1000,153,0.153,76,0.076,77,0.077
1000,184,0.184,97,0.097,87,0.087
1000,181,0.181,87,0.087,94,0.094
1000,159,0.159,73,0.073,86,0.086
1000,177,0.177,73,0.073,104,0.104
1000,170,0.17,78,0.078,92,0.092
1000,175,0.175,94,0.094,81,0.081
