tags_collected, collisions_in_seconds, time_in_minutes, random_seed
115, 720.625, 16.6667, 108549
115, 999.062, 16.6667, 261296
126, 660.031, 16.6667, 312934
110, 888.25, 16.6667, 583940
122, 702.75, 16.6667, 614127
117, 697.938, 16.6667, 737201
107, 841.906, 16.6667, 152872
117, 754.406, 16.6667, 491077
118, 976.719, 16.6667, 610386
116, 955.969, 16.6667, 838790
117, 940.781, 16.6667, 976653
121, 880.969, 16.6667, 215083
115, 1005.69, 16.6667, 244537
122, 760.094, 16.6667, 492206
116, 864.938, 16.6667, 558364
119, 630.875, 16.6667, 520055
102, 1355.75, 16.6667, 793188
89, 1652.5, 16.6667, 932286
124, 923.312, 16.6667, 646655
119, 918.656, 16.6667, 895318
112, 1013.72, 16.6667, 359049
94, 1516.41, 16.6667, 735462
119, 824.5, 16.6667, 783586
120, 581.375, 16.6667, 990192
117, 834.219, 16.6667, 149741
114, 1053.78, 16.6667, 43650
116, 679.688, 16.6667, 56385
117, 754.25, 16.6667, 41591
125, 812.594, 16.6667, 715633
99, 765.531, 16.6667, 585485
117, 681.969, 16.6667, 498657
119, 690.812, 16.6667, 251653
117, 1085.56, 16.6667, 229654
121, 692.906, 16.6667, 852268
94, 903.25, 16.6667, 799744
106, 879, 16.6667, 323831
114, 991.406, 16.6667, 276768
109, 820.844, 16.6667, 863069
121, 770.906, 16.6667, 346900
114, 765.344, 16.6667, 874459
116, 1043.47, 16.6667, 802170
109, 1268.03, 16.6667, 493592
116, 796.719, 16.6667, 961229
116, 735.031, 16.6667, 267653
115, 841.688, 16.6667, 889214
112, 840.25, 16.6667, 702020
119, 781.438, 16.6667, 451121
123, 1122.28, 16.6667, 383294
107, 929.875, 16.6667, 516633
118, 640.531, 16.6667, 898384
67, 1380.91, 16.6667, 112958
91, 972.406, 16.6667, 818722
93, 1178.28, 16.6667, 330472
79, 952.031, 16.6667, 132699
91, 1147.06, 16.6667, 970162
87, 823.406, 16.6667, 766023
88, 1076.69, 16.6667, 306343
97, 1400.62, 16.6667, 717691
95, 928.625, 16.6667, 789359
95, 1077.47, 16.6667, 29150
61, 1281.03, 16.6667, 904065
86, 1285.69, 16.6667, 694752
73, 1195.38, 16.6667, 454569
86, 1305.78, 16.6667, 274985
85, 857.156, 16.6667, 24522
99, 935.031, 16.6667, 393743
81, 946.594, 16.6667, 265666
97, 1005.16, 16.6667, 437283
79, 1220.69, 16.6667, 139978
90, 1636.44, 16.6667, 902990
89, 922.031, 16.6667, 384472
104, 1070.22, 16.6667, 295701
78, 1277.31, 16.6667, 114030
79, 1312.31, 16.6667, 933972
95, 865.406, 16.6667, 618252
78, 911.094, 16.6667, 610264
92, 918, 16.6667, 697371
56, 2586.97, 16.6667, 624064
70, 1770.25, 16.6667, 948536
92, 775.906, 16.6667, 506742
100, 1494, 16.6667, 521240
71, 1936.19, 16.6667, 947540
60, 1128.97, 16.6667, 693484
74, 1305.06, 16.6667, 800158
91, 757.469, 16.6667, 697094
99, 1476.84, 16.6667, 737936
90, 1027.28, 16.6667, 213008
93, 1320.06, 16.6667, 8710
103, 1312.69, 16.6667, 876401
69, 2403.31, 16.6667, 520541
80, 1441.22, 16.6667, 856572
88, 999.812, 16.6667, 736451
59, 1655.38, 16.6667, 626402
76, 1313.88, 16.6667, 136304
97, 1047.53, 16.6667, 607397
87, 731.562, 16.6667, 576143
73, 1588.34, 16.6667, 564559
73, 1049.5, 16.6667, 134095
78, 1298.75, 16.6667, 831084
94, 1293.62, 16.6667, 648158
