tags_collected, collisions_in_seconds, time_in_minutes, random_seed
123, 632.312, 16.6667, 15228
126, 442.219, 16.6667, 256894
124, 521.625, 16.6667, 593914
122, 597.719, 16.6667, 900712
125, 494.531, 16.6667, 585297
123, 533.031, 16.6667, 812704
120, 565.375, 16.6667, 757300
123, 503.719, 16.6667, 285643
124, 541, 16.6667, 940359
123, 508.625, 16.6667, 896344
120, 488.5, 16.6667, 629734
124, 511.5, 16.6667, 775996
120, 477.469, 16.6667, 427957
124, 494.875, 16.6667, 15794
122, 428, 16.6667, 933875
123, 584.375, 16.6667, 367738
126, 508.281, 16.6583, 100201
122, 581.75, 16.6667, 85804
123, 423.281, 16.6667, 874452
123, 435.938, 16.6667, 456605
124, 503.438, 16.6667, 652405
126, 513.062, 16.6667, 66655
127, 514.656, 16.6667, 374653
126, 460.781, 16.6667, 815989
123, 610, 16.6667, 410987
117, 563.125, 16.6667, 93150
123, 513.875, 16.6667, 667581
122, 471.219, 16.6667, 609694
126, 531.281, 16.6667, 869327
120, 498.219, 16.6667, 232228
125, 564.125, 16.6667, 525567
126, 532.594, 16.6667, 554574
124, 468.625, 16.6667, 601712
120, 453.094, 16.6667, 771939
119, 516.094, 16.6667, 323794
120, 567.625, 16.6667, 41209
122, 675.25, 16.6667, 114844
120, 480.5, 16.6667, 828667
123, 554.25, 16.6667, 73196
123, 420.688, 16.6667, 107339
119, 512.312, 16.6667, 676418
126, 552.156, 16.6667, 934725
121, 524.094, 16.6667, 902509
124, 515.531, 16.6667, 857058
123, 536.5, 16.6667, 40419
121, 568.375, 16.6667, 643512
124, 483.031, 16.6667, 66642
121, 579.625, 16.6667, 789844
121, 476.188, 16.6667, 332253
122, 430.656, 16.6667, 116208
102, 890.219, 16.6667, 704882
106, 897.281, 16.6667, 179140
103, 1197.16, 16.6667, 720690
102, 894.5, 16.6667, 634253
105, 1040.16, 16.6667, 948294
106, 1112, 16.6667, 354956
100, 963.156, 16.6667, 966916
99, 890.406, 16.6667, 81145
97, 1046.53, 16.6667, 957809
105, 984.75, 16.6667, 830481
101, 1058.94, 16.6667, 865093
99, 974.906, 16.6667, 904540
104, 886.312, 16.6667, 176708
103, 1053.25, 16.6667, 443001
98, 959.281, 16.6667, 783821
100, 977.812, 16.6667, 291697
108, 1080.09, 16.6667, 403079
95, 1075.5, 16.6667, 832494
97, 1100.78, 16.6667, 472026
102, 790.75, 16.6667, 726544
102, 1009.84, 16.6667, 427912
107, 1011.91, 16.6667, 693209
105, 1123.34, 16.6667, 25846
99, 867.031, 16.6667, 165711
98, 1017.81, 16.6667, 333297
100, 896.906, 16.6667, 886456
106, 1136.62, 16.6667, 146013
104, 815.188, 16.6667, 81915
105, 919.094, 16.6667, 337768
109, 943.656, 16.6667, 793807
105, 817.125, 16.6667, 252427
106, 875.719, 16.6667, 720187
105, 1065.56, 16.6667, 49676
104, 813.688, 16.6667, 286209
97, 1261.97, 16.6667, 693568
101, 784.594, 16.6667, 943945
106, 852.938, 16.6667, 449828
101, 1157.44, 16.6667, 814057
110, 916.25, 16.6667, 908959
106, 854.344, 16.6667, 212272
102, 1009.62, 16.6667, 773817
104, 919.75, 16.6667, 553100
96, 1140.34, 16.6667, 668808
98, 1100.91, 16.6667, 634339
101, 1017.69, 16.6667, 737060
105, 884.719, 16.6667, 819146
106, 809.219, 16.6667, 221125
109, 965.125, 16.6667, 821804
92, 1505, 16.6667, 965783
99, 873.375, 16.6667, 733864
