Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,123,0.123,123,0.123,0,0
1000,120,0.12,120,0.12,0,0
1000,123,0.123,123,0.123,0,0
1000,121,0.121,121,0.121,0,0
1000,125,0.125,125,0.125,0,0
1000,123,0.123,123,0.123,0,0
1000,122,0.122,122,0.122,0,0
1000,123,0.123,123,0.123,0,0
1000,127,0.127,127,0.127,0,0
1000,124,0.124,124,0.124,0,0
1000,125,0.125,125,0.125,0,0
1000,122,0.122,122,0.122,0,0
1000,119,0.119,119,0.119,0,0
1000,125,0.125,125,0.125,0,0
1000,123,0.123,123,0.123,0,0
1000,125,0.125,125,0.125,0,0
1000,121,0.121,121,0.121,0,0
1000,125,0.125,125,0.125,0,0
1000,121,0.121,121,0.121,0,0
1000,122,0.122,122,0.122,0,0
1000,120,0.12,120,0.12,0,0
1000,118,0.118,118,0.118,0,0
1000,120,0.12,120,0.12,0,0
1000,123,0.123,123,0.123,0,0
1000,123,0.123,123,0.123,0,0
1000,118,0.118,118,0.118,0,0
1000,122,0.122,122,0.122,0,0
1000,123,0.123,123,0.123,0,0
1000,126,0.126,126,0.126,0,0
1000,125,0.125,125,0.125,0,0
1000,125,0.125,125,0.125,0,0
1000,124,0.124,124,0.124,0,0
1000,118,0.118,118,0.118,0,0
1000,125,0.125,125,0.125,0,0
1000,124,0.124,124,0.124,0,0
1000,123,0.123,123,0.123,0,0
1000,123,0.123,123,0.123,0,0
1000,124,0.124,124,0.124,0,0
1000,124,0.124,124,0.124,0,0
1000,122,0.122,122,0.122,0,0
1000,119,0.119,119,0.119,0,0
1000,124,0.124,124,0.124,0,0
1000,125,0.125,125,0.125,0,0
1000,122,0.122,122,0.122,0,0
1000,125,0.125,125,0.125,0,0
1000,119,0.119,119,0.119,0,0
1000,126,0.126,126,0.126,0,0
1000,121,0.121,121,0.121,0,0
1000,126,0.126,126,0.126,0,0
1000,118,0.118,118,0.118,0,0
1000,215,0.215,80,0.08,135,0.135
1000,226,0.226,91,0.091,135,0.135
1000,221,0.221,84,0.084,137,0.137
1000,216,0.216,82,0.082,134,0.134
1000,225,0.225,90,0.09,135,0.135
1000,237,0.237,101,0.101,136,0.136
1000,223,0.223,92,0.092,131,0.131
1000,226,0.226,92,0.092,134,0.134
1000,225,0.225,88,0.088,137,0.137
1000,220,0.22,90,0.09,130,0.13
1000,218,0.218,89,0.089,129,0.129
1000,217,0.217,91,0.091,126,0.126
1000,222,0.222,85,0.085,137,0.137
1000,229,0.229,91,0.091,138,0.138
1000,229,0.229,93,0.093,136,0.136
1000,223,0.223,85,0.085,138,0.138
1000,228,0.228,100,0.1,128,0.128
1000,219,0.219,97,0.097,122,0.122
1000,221,0.221,89,0.089,132,0.132
1000,234,0.234,103,0.103,131,0.131
1000,221,0.221,94,0.094,127,0.127
1000,232,0.232,91,0.091,141,0.141
1000,222,0.222,92,0.092,130,0.13
1000,231,0.231,94,0.094,137,0.137
1000,219,0.219,84,0.084,135,0.135
1000,218,0.218,90,0.09,128,0.128
1000,219,0.219,92,0.092,127,0.127
1000,224,0.224,90,0.09,134,0.134
1000,227,0.227,94,0.094,133,0.133
1000,221,0.221,85,0.085,136,0.136
1000,222,0.222,87,0.087,135,0.135
1000,222,0.222,82,0.082,140,0.14
1000,212,0.212,77,0.077,135,0.135
1000,229,0.229,94,0.094,135,0.135
1000,226,0.226,84,0.084,142,0.142
1000,218,0.218,89,0.089,129,0.129
1000,217,0.217,92,0.092,125,0.125
1000,220,0.22,87,0.087,133,0.133
1000,214,0.214,83,0.083,131,0.131
1000,219,0.219,86,0.086,133,0.133
1000,227,0.227,87,0.087,140,0.14
1000,228,0.228,90,0.09,138,0.138
1000,220,0.22,85,0.085,135,0.135
1000,233,0.233,88,0.088,145,0.145
1000,229,0.229,92,0.092,137,0.137
1000,228,0.228,92,0.092,136,0.136
1000,214,0.214,81,0.081,133,0.133
1000,232,0.232,93,0.093,139,0.139
1000,229,0.229,89,0.089,140,0.14
1000,216,0.216,94,0.094,122,0.122
