tags_collected, collisions_in_seconds, time_in_minutes, random_seed
97, 1155.09, 16.6667, 858631
70, 2387.16, 16.6667, 734148
95, 1568.84, 16.6667, 830134
76, 2201.19, 16.6667, 40701
72, 1487.75, 16.6667, 156368
107, 1727.91, 16.6667, 178629
92, 1115.22, 16.6667, 382693
86, 1663.69, 16.6667, 748727
91, 1460.44, 16.6667, 141083
80, 1259.28, 16.6667, 952504
91, 1440.66, 16.6667, 843624
87, 1257.03, 16.6667, 583482
92, 1687.78, 16.6667, 16041
96, 1862.72, 16.6667, 810423
91, 1672.81, 16.6667, 925135
98, 1947.25, 16.6667, 420796
89, 1546.81, 16.6667, 497531
89, 1092.72, 16.6667, 470754
70, 1591.5, 16.6667, 796456
67, 1884.56, 16.6667, 190391
83, 1932.06, 16.6667, 618653
105, 1578.84, 16.6667, 180338
67, 1940.53, 16.6667, 362519
108, 1588.84, 16.6667, 698904
94, 1648.38, 16.6667, 972012
66, 2660.59, 16.6667, 986638
72, 2698.09, 16.6667, 676298
87, 1931.28, 16.6667, 811659
88, 1677.25, 16.6667, 959179
100, 1160.09, 16.6667, 498661
97, 1244.47, 16.6667, 397041
102, 1181.78, 16.6667, 219284
90, 1679.81, 16.6667, 891614
89, 1791.88, 16.6667, 168124
69, 1582.47, 16.6667, 427348
74, 2009.31, 16.6667, 35731
86, 2229.88, 16.6667, 435470
85, 1339.34, 16.6667, 727863
86, 1513.19, 16.6667, 336513
95, 1292.5, 16.6667, 754102
88, 1702.38, 16.6667, 350449
86, 1275.44, 16.6667, 875455
100, 1194.38, 16.6667, 447991
80, 1886.69, 16.6667, 49531
100, 1470.16, 16.6667, 2475
85, 1211.53, 16.6667, 527340
102, 1251.75, 16.6667, 553663
77, 808.906, 16.6667, 193640
86, 1026.59, 16.6667, 264887
96, 1780.31, 16.6667, 395819
93, 1927.09, 16.6667, 886819
87, 1809.25, 16.6667, 408800
96, 2160.31, 16.6667, 31068
92, 1622.31, 16.6667, 627956
106, 1659.28, 16.6667, 697129
84, 1613.94, 16.6667, 649222
103, 1820.53, 16.6667, 551715
78, 2326, 16.6667, 163381
86, 1425.53, 16.6667, 665637
87, 1261.59, 16.6667, 241579
