Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,108,0.108,102,0.102,6,0.006
1000,100,0.1,90,0.09,10,0.01
1000,124,0.124,95,0.095,29,0.029
1000,112,0.112,88,0.088,24,0.024
1000,115,0.115,82,0.082,33,0.033
1000,125,0.125,92,0.092,33,0.033
1000,95,0.095,90,0.09,5,0.005
1000,123,0.123,93,0.093,30,0.03
1000,105,0.105,101,0.101,4,0.004
1000,114,0.114,94,0.094,20,0.02
1000,88,0.088,76,0.076,12,0.012
1000,111,0.111,95,0.095,16,0.016
1000,105,0.105,101,0.101,4,0.004
1000,114,0.114,98,0.098,16,0.016
1000,109,0.109,96,0.096,13,0.013
1000,107,0.107,91,0.091,16,0.016
1000,99,0.099,93,0.093,6,0.006
1000,104,0.104,97,0.097,7,0.007
1000,108,0.108,103,0.103,5,0.005
1000,103,0.103,88,0.088,15,0.015
1000,113,0.113,103,0.103,10,0.01
1000,107,0.107,93,0.093,14,0.014
1000,105,0.105,101,0.101,4,0.004
1000,105,0.105,97,0.097,8,0.008
1000,113,0.113,100,0.1,13,0.013
1000,90,0.09,79,0.079,11,0.011
1000,112,0.112,78,0.078,34,0.034
1000,117,0.117,89,0.089,28,0.028
1000,115,0.115,105,0.105,10,0.01
1000,102,0.102,90,0.09,12,0.012
1000,100,0.1,93,0.093,7,0.007
1000,105,0.105,98,0.098,7,0.007
1000,79,0.079,76,0.076,3,0.003
1000,100,0.1,97,0.097,3,0.003
1000,105,0.105,98,0.098,7,0.007
1000,100,0.1,94,0.094,6,0.006
1000,108,0.108,104,0.104,4,0.004
1000,95,0.095,88,0.088,7,0.007
1000,93,0.093,89,0.089,4,0.004
1000,102,0.102,96,0.096,6,0.006
1000,87,0.087,81,0.081,6,0.006
1000,88,0.088,82,0.082,6,0.006
1000,101,0.101,97,0.097,4,0.004
1000,77,0.077,74,0.074,3,0.003
1000,92,0.092,85,0.085,7,0.007
1000,88,0.088,80,0.08,8,0.008
1000,107,0.107,100,0.1,7,0.007
1000,99,0.099,96,0.096,3,0.003
1000,95,0.095,86,0.086,9,0.009
1000,107,0.107,102,0.102,5,0.005
1000,109,0.109,105,0.105,4,0.004
1000,97,0.097,92,0.092,5,0.005
1000,93,0.093,88,0.088,5,0.005
1000,109,0.109,102,0.102,7,0.007
1000,104,0.104,100,0.1,4,0.004
1000,94,0.094,91,0.091,3,0.003
1000,109,0.109,103,0.103,6,0.006
1000,113,0.113,105,0.105,8,0.008
1000,94,0.094,88,0.088,6,0.006
1000,111,0.111,108,0.108,3,0.003
