tags_collected, collisions_in_seconds, time_in_minutes, random_seed
74, 2496.59, 16.6667, 368942
71, 2148.12, 16.6667, 290213
97, 946.594, 16.6667, 512081
87, 474.406, 16.6667, 455592
93, 683.312, 16.6667, 649170
77, 1927.66, 16.6667, 696782
98, 788.5, 16.6667, 174471
104, 772.438, 16.6667, 137730
99, 1189.88, 16.6667, 55647
89, 845.969, 16.6667, 879590
102, 756.281, 16.6667, 876346
79, 2852.62, 16.6667, 742592
103, 951.656, 16.6667, 58450
99, 869.719, 16.6667, 902376
73, 2817.5, 16.6667, 745565
101, 915.75, 16.6667, 35579
105, 720.344, 16.6667, 942795
56, 2471.38, 16.6667, 882076
54, 2635.31, 16.6667, 280029
93, 1782.25, 16.6667, 644011
95, 1040.22, 16.6667, 235069
76, 1681.12, 16.6667, 48203
99, 869.875, 16.6667, 655041
92, 706.656, 16.6667, 673072
71, 2122.97, 16.6667, 797353
98, 725.969, 16.6667, 361999
71, 2298.41, 16.6667, 363085
99, 825.156, 16.6667, 949550
61, 2219.06, 16.6667, 65474
86, 2312.38, 16.6667, 556653
74, 972.625, 16.6667, 785518
95, 605.406, 16.6667, 868406
87, 596.062, 16.6667, 31678
90, 825.469, 16.6667, 118726
96, 539.5, 16.6667, 116439
97, 803.625, 16.6667, 315333
93, 1128.09, 16.6667, 663279
79, 834.125, 16.6667, 979836
80, 974.781, 16.6667, 378111
98, 816.344, 16.6667, 878641
72, 1179.06, 16.6667, 821282
87, 561.656, 16.6667, 457432
96, 1076.47, 16.6667, 511543
97, 773.594, 16.6667, 207532
98, 792.75, 16.6667, 66114
83, 1249.47, 16.6667, 869783
82, 956.312, 16.6667, 411614
87, 768.406, 16.6667, 407638
91, 719.125, 16.6667, 256218
94, 764.375, 16.6667, 241670
87, 847.281, 16.6667, 485477
84, 818.344, 16.6667, 413040
96, 743.219, 16.6667, 146949
89, 1288.75, 16.6667, 473754
87, 712.656, 16.6667, 353380
90, 928.25, 16.6667, 457646
89, 990.5, 16.6667, 797078
95, 1005.75, 16.6667, 530609
98, 866.719, 16.6667, 793252
85, 1060.38, 16.6667, 231610
