Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,111,0.111,98,0.098,13,0.013
1000,113,0.113,99,0.099,14,0.014
1000,132,0.132,101,0.101,31,0.031
1000,86,0.086,55,0.055,31,0.031
1000,113,0.113,97,0.097,16,0.016
1000,130,0.13,106,0.106,24,0.024
1000,125,0.125,92,0.092,33,0.033
1000,119,0.119,94,0.094,25,0.025
1000,112,0.112,75,0.075,37,0.037
1000,124,0.124,98,0.098,26,0.026
1000,125,0.125,104,0.104,21,0.021
1000,109,0.109,96,0.096,13,0.013
1000,117,0.117,97,0.097,20,0.02
1000,113,0.113,104,0.104,9,0.009
1000,105,0.105,95,0.095,10,0.01
1000,117,0.117,102,0.102,15,0.015
1000,108,0.108,94,0.094,14,0.014
1000,121,0.121,93,0.093,28,0.028
1000,122,0.122,99,0.099,23,0.023
1000,118,0.118,100,0.1,18,0.018
1000,108,0.108,92,0.092,16,0.016
1000,124,0.124,104,0.104,20,0.02
1000,123,0.123,104,0.104,19,0.019
1000,111,0.111,97,0.097,14,0.014
1000,120,0.12,88,0.088,32,0.032
1000,109,0.109,95,0.095,14,0.014
1000,120,0.12,102,0.102,18,0.018
1000,136,0.136,94,0.094,42,0.042
1000,127,0.127,91,0.091,36,0.036
1000,99,0.099,88,0.088,11,0.011
1000,92,0.092,85,0.085,7,0.007
1000,100,0.1,92,0.092,8,0.008
1000,108,0.108,99,0.099,9,0.009
1000,102,0.102,93,0.093,9,0.009
1000,115,0.115,104,0.104,11,0.011
1000,106,0.106,99,0.099,7,0.007
1000,105,0.105,96,0.096,9,0.009
1000,98,0.098,87,0.087,11,0.011
1000,100,0.1,90,0.09,10,0.01
1000,90,0.09,83,0.083,7,0.007
1000,105,0.105,96,0.096,9,0.009
1000,107,0.107,101,0.101,6,0.006
1000,109,0.109,102,0.102,7,0.007
1000,100,0.1,94,0.094,6,0.006
1000,103,0.103,96,0.096,7,0.007
1000,108,0.108,99,0.099,9,0.009
1000,101,0.101,91,0.091,10,0.01
1000,108,0.108,100,0.1,8,0.008
1000,110,0.11,102,0.102,8,0.008
1000,105,0.105,96,0.096,9,0.009
1000,105,0.105,98,0.098,7,0.007
1000,101,0.101,91,0.091,10,0.01
1000,108,0.108,102,0.102,6,0.006
1000,104,0.104,95,0.095,9,0.009
1000,98,0.098,92,0.092,6,0.006
1000,101,0.101,90,0.09,11,0.011
1000,112,0.112,103,0.103,9,0.009
1000,100,0.1,93,0.093,7,0.007
1000,103,0.103,92,0.092,11,0.011
1000,110,0.11,102,0.102,8,0.008
