tags_collected, collisions_in_seconds, time_in_minutes, random_seed
54, 3315.12, 16.6667, 802184
80, 1846.28, 16.6667, 779820
70, 2667.25, 16.6667, 613540
102, 1229.84, 16.6667, 187237
76, 2138.53, 16.6667, 372219
69, 2979.53, 16.6667, 704512
20, 3773.03, 16.6667, 379996
45, 3675.59, 16.6667, 13038
46, 3881.34, 16.6667, 544607
80, 2613.78, 16.6667, 730710
99, 590.594, 16.6667, 110787
93, 1106.97, 16.6667, 281733
92, 2114.72, 16.6667, 452236
18, 4418.25, 16.6667, 275378
69, 3042.09, 16.6667, 37314
19, 4210.34, 16.6667, 246615
73, 2694.12, 16.6667, 97417
100, 500.312, 16.6667, 562029
57, 3095.56, 16.6667, 762946
69, 2915.72, 16.6667, 931982
94, 1528.25, 16.6667, 176209
73, 2533.47, 16.6667, 845579
22, 4099.72, 16.6667, 306393
79, 2674.88, 16.6667, 15573
83, 1730.12, 16.6667, 280938
102, 597.125, 16.6667, 984699
103, 582.406, 16.6667, 143738
23, 4415.5, 16.6667, 202684
100, 561.844, 16.6667, 70807
26, 3886.12, 16.6667, 237637
67, 1076.84, 16.6667, 259476
92, 774.781, 16.6667, 48626
95, 704.156, 16.6667, 933471
89, 617.281, 16.6667, 518524
62, 1209.75, 16.6667, 878070
100, 558.469, 16.6667, 685008
91, 554.125, 16.6667, 724015
77, 605.438, 16.6667, 334597
91, 419.75, 16.6667, 645258
91, 646.281, 16.6667, 189705
90, 708.719, 16.6667, 659967
79, 682.156, 16.6667, 116618
83, 493.75, 16.6667, 269482
94, 531.719, 16.6667, 789032
74, 925.969, 16.6667, 805689
97, 538.438, 16.6667, 197400
90, 950.531, 16.6667, 915884
100, 573.094, 16.6667, 747578
93, 818.281, 16.6667, 267008
90, 722.469, 16.6667, 854278
82, 1136.03, 16.6667, 285394
79, 668.25, 16.6667, 490572
88, 565.406, 16.6667, 665587
91, 682.75, 16.6667, 295875
72, 708.406, 16.6667, 605061
81, 533.531, 16.6667, 241909
91, 543.719, 16.6667, 327108
73, 1256.94, 16.6667, 255224
96, 491.656, 16.6667, 244286
93, 805.719, 16.6667, 731564
