Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,127,0.127,105,0.105,22,0.022
1000,102,0.102,83,0.083,19,0.019
1000,118,0.118,102,0.102,16,0.016
1000,94,0.094,62,0.062,32,0.032
1000,123,0.123,102,0.102,21,0.021
1000,108,0.108,90,0.09,18,0.018
1000,137,0.137,99,0.099,38,0.038
1000,123,0.123,101,0.101,22,0.022
1000,120,0.12,103,0.103,17,0.017
1000,122,0.122,101,0.101,21,0.021
1000,106,0.106,88,0.088,18,0.018
1000,127,0.127,107,0.107,20,0.02
1000,106,0.106,97,0.097,9,0.009
1000,127,0.127,105,0.105,22,0.022
1000,107,0.107,92,0.092,15,0.015
1000,120,0.12,100,0.1,20,0.02
1000,99,0.099,61,0.061,38,0.038
1000,87,0.087,68,0.068,19,0.019
1000,45,0.045,22,0.022,23,0.023
1000,114,0.114,105,0.105,9,0.009
1000,125,0.125,99,0.099,26,0.026
1000,134,0.134,100,0.1,34,0.034
1000,137,0.137,104,0.104,33,0.033
1000,122,0.122,93,0.093,29,0.029
1000,130,0.13,101,0.101,29,0.029
1000,91,0.091,63,0.063,28,0.028
1000,123,0.123,103,0.103,20,0.02
1000,71,0.071,52,0.052,19,0.019
1000,115,0.115,97,0.097,18,0.018
1000,125,0.125,106,0.106,19,0.019
1000,107,0.107,100,0.1,7,0.007
1000,109,0.109,100,0.1,9,0.009
1000,113,0.113,102,0.102,11,0.011
1000,102,0.102,94,0.094,8,0.008
1000,111,0.111,101,0.101,10,0.01
1000,108,0.108,101,0.101,7,0.007
1000,107,0.107,102,0.102,5,0.005
1000,96,0.096,89,0.089,7,0.007
1000,106,0.106,98,0.098,8,0.008
1000,98,0.098,90,0.09,8,0.008
1000,107,0.107,101,0.101,6,0.006
1000,89,0.089,83,0.083,6,0.006
1000,110,0.11,103,0.103,7,0.007
1000,112,0.112,105,0.105,7,0.007
1000,107,0.107,101,0.101,6,0.006
1000,101,0.101,95,0.095,6,0.006
1000,93,0.093,86,0.086,7,0.007
1000,110,0.11,103,0.103,7,0.007
1000,105,0.105,97,0.097,8,0.008
1000,105,0.105,99,0.099,6,0.006
1000,114,0.114,101,0.101,13,0.013
1000,102,0.102,95,0.095,7,0.007
1000,101,0.101,95,0.095,6,0.006
1000,83,0.083,75,0.075,8,0.008
1000,113,0.113,105,0.105,8,0.008
1000,112,0.112,102,0.102,10,0.01
1000,107,0.107,100,0.1,7,0.007
1000,110,0.11,99,0.099,11,0.011
1000,110,0.11,103,0.103,7,0.007
1000,110,0.11,102,0.102,8,0.008
