tags_collected, collisions_in_seconds, time_in_minutes, random_seed
127, 2117.56, 25, 60375
123, 1958.78, 25, 66177
124, 1998.44, 22.1583, 455132
121, 2209.62, 25, 261912
118, 2697.5, 25, 881306
127, 1949.84, 25, 642569
124, 1828.94, 21.8333, 81205
127, 1632, 18.9667, 288638
127, 1970.94, 23.6, 636776
124, 1866.28, 20.325, 842740
119, 2513.44, 25, 804110
124, 1699.75, 18.5167, 565044
123, 1938.31, 22.3, 504434
123, 1919.19, 25, 975210
123, 1729.94, 25, 543116
116, 3083.88, 25, 845474
127, 1978.53, 21.725, 167134
125, 2263.81, 25, 139083
126, 2583.91, 24.3167, 27157
127, 1813.53, 23.5417, 228968
126, 1681.44, 21.275, 722079
125, 2776.62, 25, 63509
125, 2645.41, 25, 859449
115, 1999.88, 25, 874365
124, 2467.56, 25, 848066
117, 2386, 25, 585503
122, 2185, 25, 321242
124, 2358.22, 25, 21106
123, 1980.12, 22.8333, 589387
127, 2193.47, 21.3417, 946757
126, 2315.78, 22.825, 177602
106, 3626.59, 25, 518647
125, 2462.22, 24.225, 829082
122, 1396.59, 19.525, 768174
125, 2485.72, 25, 274123
125, 2623.75, 23.2333, 848537
112, 2050.84, 25, 133291
124, 2289.22, 23.475, 189427
127, 1471.06, 24.9583, 818033
125, 2167.78, 25, 764470
127, 1683.34, 19.0667, 607730
124, 2311.78, 25, 661241
122, 2648.91, 25, 182961
91, 2358.09, 25, 570599
125, 2636.81, 23.2167, 287713
127, 2087.22, 24.975, 612046
127, 2226.97, 20.1583, 149992
127, 1280.44, 21.7, 692236
125, 1612.75, 17.25, 664806
125, 2410.69, 25, 567409
95, 3167.88, 25, 61603
97, 2473.38, 25, 474531
87, 2700.41, 25, 782799
110, 3022.84, 25, 475481
112, 1951.53, 25, 788288
104, 2192.31, 25, 841787
122, 3046.41, 25, 142077
109, 2160.03, 25, 855402
108, 2389.97, 25, 440358
123, 2178.62, 25, 855368
125, 2120.72, 25, 150781
97, 2294.16, 25, 687843
106, 1890.5, 25, 134150
78, 2565.97, 25, 754486
107, 2152.81, 25, 56226
128, 1789.75, 25, 301247
124, 2406.88, 25, 794778
125, 2073.12, 25, 75145
119, 1600.66, 25, 802357
113, 1649.22, 25, 507125
128, 2040.88, 25, 9507
97, 2213.5, 25, 492572
111, 2119.41, 25, 956567
110, 1956.28, 25, 369658
122, 1923.47, 25, 103513
107, 1630.81, 25, 512175
117, 2642, 25, 148918
118, 1691.81, 25, 522833
103, 2531.78, 25, 313200
84, 2401.25, 25, 504942
113, 1835.5, 25, 894181
108, 1448.09, 25, 458854
117, 3393.44, 25, 197711
123, 2007.59, 25, 492164
99, 1981.59, 25, 417384
104, 3065.34, 25, 101051
109, 2268.72, 25, 737809
125, 1812.66, 25, 450895
115, 1793.97, 25, 279691
101, 2163.12, 25, 323108
80, 1847.22, 25, 766782
102, 2663.22, 25, 308704
107, 2794.72, 25, 586299
128, 1860.38, 25, 627199
102, 2327.97, 25, 308199
79, 2865.28, 25, 634568
112, 2115.34, 25, 884123
105, 3299.53, 25, 605705
116, 2039.88, 25, 436615
70, 2593.75, 25, 868733
