Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1500,122,0.0813333,122,0.0813333,0,0
1500,125,0.0833333,125,0.0833333,0,0
1500,123,0.082,123,0.082,0,0
1451,127,0.0875258,127,0.0875258,0,0
1500,126,0.084,126,0.084,0,0
1492,127,0.0851206,127,0.0851206,0,0
1163,126,0.10834,126,0.10834,0,0
1500,125,0.0833333,125,0.0833333,0,0
1500,122,0.0813333,122,0.0813333,0,0
1500,124,0.0826667,124,0.0826667,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,124,0.0826667,124,0.0826667,0,0
1355,127,0.0937269,127,0.0937269,0,0
1500,125,0.0833333,125,0.0833333,0,0
1500,126,0.084,126,0.084,0,0
1326.5,127,0.0957407,127,0.0957407,0,0
1500,127,0.0846667,127,0.0846667,0,0
1496.5,127,0.0848647,127,0.0848647,0,0
1500,127,0.0846667,127,0.0846667,0,0
1480,127,0.0858108,127,0.0858108,0,0
1500,125,0.0833333,125,0.0833333,0,0
1500,125,0.0833333,125,0.0833333,0,0
1251,127,0.101519,127,0.101519,0,0
1500,126,0.084,126,0.084,0,0
1238.5,127,0.102543,127,0.102543,0,0
1500,127,0.0846667,127,0.0846667,0,0
1423,127,0.0892481,127,0.0892481,0,0
1440.5,127,0.0881638,127,0.0881638,0,0
1118,126,0.112701,126,0.112701,0,0
1500,122,0.0813333,122,0.0813333,0,0
1500,124,0.0826667,124,0.0826667,0,0
1500,125,0.0833333,125,0.0833333,0,0
1500,126,0.084,126,0.084,0,0
1264.5,126,0.0996441,126,0.0996441,0,0
1500,127,0.0846667,127,0.0846667,0,0
1359,127,0.0934511,127,0.0934511,0,0
1500,124,0.0826667,124,0.0826667,0,0
1500,126,0.084,126,0.084,0,0
1481.5,127,0.0857239,127,0.0857239,0,0
1500,120,0.08,120,0.08,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,126,0.084,126,0.084,0,0
1345.5,126,0.0936455,126,0.0936455,0,0
1500,122,0.0813333,122,0.0813333,0,0
1500,123,0.082,123,0.082,0,0
1500,124,0.0826667,124,0.0826667,0,0
1500,127,0.0846667,127,0.0846667,0,0
1500,123,0.082,123,0.082,0,0
1500,118,0.0786667,118,0.0786667,0,0
1500,236,0.157333,119,0.0793333,117,0.078
1500,220,0.146667,117,0.078,103,0.0686667
1500,216,0.144,104,0.0693333,112,0.0746667
1500,223,0.148667,106,0.0706667,117,0.078
1500,225,0.15,117,0.078,108,0.072
1500,227,0.151333,115,0.0766667,112,0.0746667
1500,219,0.146,112,0.0746667,107,0.0713333
1500,218,0.145333,101,0.0673333,117,0.078
1500,238,0.158667,122,0.0813333,116,0.0773333
1500,217,0.144667,120,0.08,97,0.0646667
1500,228,0.152,112,0.0746667,116,0.0773333
1500,166,0.110667,72,0.048,94,0.0626667
1500,221,0.147333,109,0.0726667,112,0.0746667
1500,241,0.160667,117,0.078,124,0.0826667
1500,205,0.136667,101,0.0673333,104,0.0693333
1500,207,0.138,107,0.0713333,100,0.0666667
1500,235,0.156667,119,0.0793333,116,0.0773333
1500,236,0.157333,123,0.082,113,0.0753333
1500,212,0.141333,104,0.0693333,108,0.072
1500,236,0.157333,117,0.078,119,0.0793333
1500,231,0.154,114,0.076,117,0.078
1500,209,0.139333,109,0.0726667,100,0.0666667
1500,228,0.152,112,0.0746667,116,0.0773333
1500,228,0.152,111,0.074,117,0.078
1500,219,0.146,114,0.076,105,0.07
1500,224,0.149333,105,0.07,119,0.0793333
1500,227,0.151333,121,0.0806667,106,0.0706667
1500,227,0.151333,115,0.0766667,112,0.0746667
1500,207,0.138,98,0.0653333,109,0.0726667
1500,170,0.113333,84,0.056,86,0.0573333
1500,227,0.151333,111,0.074,116,0.0773333
1500,231,0.154,111,0.074,120,0.08
1500,234,0.156,111,0.074,123,0.082
1500,224,0.149333,112,0.0746667,112,0.0746667
1500,236,0.157333,123,0.082,113,0.0753333
1500,229,0.152667,108,0.072,121,0.0806667
1500,236,0.157333,116,0.0773333,120,0.08
1500,238,0.158667,113,0.0753333,125,0.0833333
1500,209,0.139333,102,0.068,107,0.0713333
1500,214,0.142667,101,0.0673333,113,0.0753333
1500,221,0.147333,114,0.076,107,0.0713333
1500,219,0.146,105,0.07,114,0.076
1500,216,0.144,114,0.076,102,0.068
1500,236,0.157333,117,0.078,119,0.0793333
1500,217,0.144667,109,0.0726667,108,0.072
1500,227,0.151333,116,0.0773333,111,0.074
1500,235,0.156667,113,0.0753333,122,0.0813333
1500,219,0.146,106,0.0706667,113,0.0753333
1500,218,0.145333,112,0.0746667,106,0.0706667
1500,229,0.152667,109,0.0726667,120,0.08
