tags_collected, collisions_in_seconds, time_in_minutes, random_seed
122, 1602.62, 25, 15830
125, 1271.97, 25, 812909
123, 1182.16, 25, 916061
127, 1275.62, 24.1833, 163739
126, 1245.56, 25, 576546
127, 1421.19, 24.8667, 499435
126, 853.719, 19.3833, 248681
125, 1364.81, 25, 966156
122, 2056.72, 25, 891728
124, 2997.22, 25, 567012
127, 1538.47, 25, 828108
124, 2101.06, 25, 540623
127, 1243.38, 22.5833, 15134
125, 1404.16, 25, 614515
126, 1404.53, 25, 734106
127, 1487.69, 22.1083, 808415
127, 1500.56, 25, 279653
127, 1402.06, 24.9417, 691447
127, 1244.53, 25, 970496
127, 1154.19, 24.6667, 316479
125, 2714.12, 25, 865056
125, 1200.38, 25, 719363
127, 1277.69, 20.85, 214975
126, 1870.81, 25, 981963
127, 803.469, 20.6417, 120236
127, 1523.12, 25, 844723
127, 1352.62, 23.7167, 367824
127, 1907, 24.0083, 929267
126, 1355.78, 18.6333, 827297
122, 1869.53, 25, 946801
124, 1550.66, 25, 863903
125, 1866.59, 25, 888635
126, 1495.75, 25, 367231
126, 1647.38, 21.075, 44106
127, 1370.5, 25, 675854
127, 1113.94, 22.65, 847776
124, 1400.81, 25, 863748
126, 1136.53, 25, 691698
127, 955.906, 24.6917, 988772
120, 1499.12, 25, 968154
127, 1137.06, 25, 873822
127, 1484.16, 25, 492999
126, 1475.09, 25, 638907
126, 1330.16, 22.425, 915443
122, 1716.72, 25, 412301
123, 1773.44, 25, 850713
124, 1538.47, 25, 893467
127, 1026.38, 25, 974002
123, 1696.22, 25, 428475
118, 1958.91, 25, 871119
119, 1429.81, 25, 313436
117, 1999.53, 25, 244537
104, 1540.69, 25, 931767
106, 2311.84, 25, 330610
117, 1751.81, 25, 60606
115, 1548.53, 25, 230274
112, 2641.88, 25, 550910
101, 1784.25, 25, 866316
122, 1694.53, 25, 982426
120, 1481.91, 25, 564955
112, 1615.88, 25, 488910
72, 3666.75, 25, 406015
109, 2180.19, 25, 268997
117, 1452.44, 25, 505011
101, 2546.34, 25, 477143
107, 1221.47, 25, 861666
119, 1433.06, 25, 501439
123, 1820.47, 25, 198851
104, 1475.12, 25, 621262
117, 1831.75, 25, 757256
114, 1605.88, 25, 908813
109, 1879.03, 25, 953373
112, 1471.47, 25, 740781
111, 1615.75, 25, 426979
114, 2565.97, 25, 444178
105, 1589.47, 25, 706619
121, 1372.09, 25, 240628
115, 1252.28, 25, 261756
98, 2215.59, 25, 509119
84, 3592.62, 25, 162480
111, 1788.16, 25, 967684
111, 1872.91, 25, 882592
111, 1252.16, 25, 762352
112, 1597.41, 25, 116161
123, 1676.66, 25, 912878
108, 1471.16, 25, 844363
116, 1368.03, 25, 143092
113, 1272.47, 25, 267613
102, 1906.25, 25, 37832
101, 1923.84, 25, 228812
114, 1257.66, 25, 567987
105, 2436.75, 25, 261046
114, 1561.06, 25, 133272
117, 1605.31, 25, 978166
109, 1878.28, 25, 71664
116, 1202.66, 25, 729578
113, 1689.25, 25, 735476
106, 1447.56, 25, 641593
112, 2433.56, 25, 953184
109, 1436.28, 25, 614910
