tags_collected, collisions_in_seconds, time_in_minutes, random_seed
125, 519.344, 16.6667, 802449
125, 554.094, 16.6667, 26664
121, 524.938, 16.6667, 179507
124, 607.031, 16.6667, 285665
121, 593.656, 16.6667, 687189
120, 476.344, 16.6667, 411985
123, 510.312, 16.6667, 975441
124, 527.656, 16.6667, 500488
120, 580.656, 16.6667, 359064
126, 576.906, 16.6667, 336441
120, 433.5, 16.6667, 942653
123, 487.375, 16.6667, 698422
126, 563.969, 16.6667, 453578
122, 557.094, 16.6667, 536551
122, 501.625, 16.6667, 571253
127, 437.469, 15.95, 63266
123, 639.562, 16.6667, 450319
122, 605.406, 16.6667, 946837
126, 540.812, 16.6667, 55102
123, 542.781, 16.6667, 577278
122, 548.656, 16.6667, 247846
122, 501.188, 16.6667, 272638
125, 552.125, 16.6667, 928127
120, 483.344, 16.6667, 326851
120, 532.875, 16.6667, 70841
124, 551.406, 16.6667, 489430
125, 477.281, 16.6667, 131832
122, 490.375, 16.6667, 401221
123, 495.969, 16.6667, 473312
125, 413.375, 16.6667, 987790
125, 446.594, 16.6667, 731951
125, 574.938, 16.6667, 318574
126, 542.781, 16.6417, 416957
127, 496.188, 16.6667, 774009
126, 541.969, 16.6667, 867120
125, 484.156, 16.6667, 121321
120, 447.5, 16.6667, 597734
120, 546, 16.6667, 223523
123, 482.312, 16.6667, 523496
122, 507.344, 16.6667, 316576
121, 535.375, 16.6667, 647815
120, 519.406, 16.6667, 75123
122, 575.656, 16.6667, 803249
122, 559.75, 16.6667, 318302
125, 515.031, 16.6667, 347698
124, 472.531, 16.6667, 441268
120, 447.156, 16.6667, 772219
124, 563.906, 16.6667, 171207
127, 496.844, 16.5417, 133383
123, 577.875, 16.6667, 400319
108, 980.688, 16.6667, 742457
107, 971, 16.6667, 855994
106, 1019.84, 16.6667, 881644
97, 962.25, 16.6667, 965388
98, 1068.59, 16.6667, 815740
98, 1046.12, 16.6667, 937205
102, 976.594, 16.6667, 791323
106, 882.844, 16.6667, 380681
105, 1138.72, 16.6667, 952025
103, 942.406, 16.6667, 919470
100, 852.562, 16.6667, 186228
103, 932.688, 16.6667, 959834
104, 885.469, 16.6667, 791366
104, 1164.56, 16.6667, 494000
103, 918.625, 16.6667, 10044
95, 960.281, 16.6667, 492175
106, 885.125, 16.6667, 839179
101, 933.156, 16.6667, 957578
98, 921.062, 16.6667, 367205
109, 906.75, 16.6667, 771844
98, 1037.88, 16.6667, 179317
101, 852.906, 16.6667, 101851
105, 841, 16.6667, 457808
106, 935.719, 16.6667, 20969
104, 1138.88, 16.6667, 588376
106, 964.969, 16.6667, 35767
111, 796.844, 16.6667, 195212
102, 761.719, 16.6667, 294468
106, 1019.03, 16.6667, 157743
99, 964.25, 16.6667, 778828
101, 901.031, 16.6667, 183476
103, 911.719, 16.6667, 694313
108, 954.188, 16.6667, 610459
103, 972.812, 16.6667, 848505
96, 1028.94, 16.6667, 437205
109, 974.594, 16.6667, 579522
105, 810.438, 16.6667, 732702
104, 867.938, 16.6667, 936553
96, 960.531, 16.6667, 301362
107, 869.844, 16.6667, 924534
102, 1110.38, 16.6667, 240904
104, 1056.66, 16.6667, 317075
103, 1036.38, 16.6667, 407895
103, 938, 16.6667, 362692
101, 995.094, 16.6667, 914711
99, 885.219, 16.6667, 601346
103, 1084.72, 16.6667, 147946
99, 1011.25, 16.6667, 75001
104, 901.469, 16.6667, 200642
103, 869.562, 16.6667, 13247
