Simulation Time (seconds), Total Food Collected, Total Food Collection Rate (per second), Real Food Collected, Real Food Collection Rate (per second), Fake Food Collected, Fake Food Collection Rate (per second)
1000,100,0.1,100,0.1,0,0
1000,93,0.093,93,0.093,0,0
1000,117,0.117,117,0.117,0,0
1000,105,0.105,105,0.105,0,0
1000,78,0.078,78,0.078,0,0
1000,96,0.096,96,0.096,0,0
1000,90,0.09,90,0.09,0,0
1000,101,0.101,101,0.101,0,0
1000,98,0.098,98,0.098,0,0
1000,100,0.1,100,0.1,0,0
1000,95,0.095,95,0.095,0,0
1000,112,0.112,112,0.112,0,0
1000,111,0.111,111,0.111,0,0
1000,110,0.11,110,0.11,0,0
1000,116,0.116,116,0.116,0,0
1000,92,0.092,92,0.092,0,0
1000,97,0.097,97,0.097,0,0
1000,87,0.087,87,0.087,0,0
1000,98,0.098,98,0.098,0,0
1000,101,0.101,101,0.101,0,0
1000,91,0.091,91,0.091,0,0
1000,95,0.095,95,0.095,0,0
1000,119,0.119,119,0.119,0,0
1000,115,0.115,115,0.115,0,0
1000,96,0.096,96,0.096,0,0
1000,98,0.098,98,0.098,0,0
1000,106,0.106,106,0.106,0,0
1000,113,0.113,113,0.113,0,0
1000,97,0.097,97,0.097,0,0
1000,104,0.104,104,0.104,0,0
1000,106,0.106,106,0.106,0,0
1000,87,0.087,87,0.087,0,0
1000,96,0.096,96,0.096,0,0
1000,96,0.096,96,0.096,0,0
1000,112,0.112,112,0.112,0,0
1000,93,0.093,93,0.093,0,0
1000,91,0.091,91,0.091,0,0
1000,92,0.092,92,0.092,0,0
1000,80,0.08,80,0.08,0,0
1000,98,0.098,98,0.098,0,0
1000,111,0.111,111,0.111,0,0
1000,86,0.086,86,0.086,0,0
1000,124,0.124,124,0.124,0,0
1000,100,0.1,100,0.1,0,0
1000,93,0.093,93,0.093,0,0
1000,111,0.111,111,0.111,0,0
1000,119,0.119,119,0.119,0,0
1000,111,0.111,111,0.111,0,0
1000,76,0.076,76,0.076,0,0
1000,108,0.108,108,0.108,0,0
1000,123,0.123,67,0.067,56,0.056
1000,117,0.117,86,0.086,31,0.031
1000,152,0.152,102,0.102,50,0.05
1000,94,0.094,45,0.045,49,0.049
1000,140,0.14,106,0.106,34,0.034
1000,108,0.108,55,0.055,53,0.053
1000,144,0.144,97,0.097,47,0.047
1000,123,0.123,78,0.078,45,0.045
1000,157,0.157,108,0.108,49,0.049
1000,145,0.145,104,0.104,41,0.041
1000,125,0.125,96,0.096,29,0.029
1000,131,0.131,91,0.091,40,0.04
1000,121,0.121,78,0.078,43,0.043
1000,147,0.147,99,0.099,48,0.048
1000,129,0.129,95,0.095,34,0.034
1000,119,0.119,81,0.081,38,0.038
1000,114,0.114,74,0.074,40,0.04
1000,138,0.138,94,0.094,44,0.044
1000,131,0.131,91,0.091,40,0.04
1000,139,0.139,77,0.077,62,0.062
1000,123,0.123,65,0.065,58,0.058
1000,144,0.144,86,0.086,58,0.058
1000,143,0.143,85,0.085,58,0.058
1000,131,0.131,87,0.087,44,0.044
1000,147,0.147,89,0.089,58,0.058
1000,128,0.128,79,0.079,49,0.049
1000,129,0.129,84,0.084,45,0.045
1000,131,0.131,93,0.093,38,0.038
1000,120,0.12,76,0.076,44,0.044
1000,122,0.122,85,0.085,37,0.037
1000,122,0.122,78,0.078,44,0.044
1000,145,0.145,111,0.111,34,0.034
1000,150,0.15,88,0.088,62,0.062
1000,122,0.122,106,0.106,16,0.016
1000,141,0.141,103,0.103,38,0.038
1000,124,0.124,74,0.074,50,0.05
1000,102,0.102,38,0.038,64,0.064
1000,142,0.142,114,0.114,28,0.028
1000,134,0.134,90,0.09,44,0.044
1000,151,0.151,104,0.104,47,0.047
1000,126,0.126,82,0.082,44,0.044
1000,136,0.136,106,0.106,30,0.03
1000,147,0.147,96,0.096,51,0.051
1000,111,0.111,92,0.092,19,0.019
1000,89,0.089,69,0.069,20,0.02
1000,136,0.136,85,0.085,51,0.051
1000,124,0.124,64,0.064,60,0.06
1000,145,0.145,97,0.097,48,0.048
1000,123,0.123,106,0.106,17,0.017
1000,103,0.103,90,0.09,13,0.013
