tags_collected, collisions_in_seconds, time_in_minutes, random_seed
100, 1252.16, 16.6667, 999143
93, 1294.97, 16.6667, 917183
117, 1065.88, 16.6667, 405420
105, 1135.19, 16.6667, 793700
78, 1515.03, 16.6667, 367183
96, 1250.53, 16.6667, 668127
90, 1046.56, 16.6667, 904237
101, 1089.94, 16.6667, 478734
98, 998.719, 16.6667, 970266
100, 1041.41, 16.6667, 250896
95, 1056.12, 16.6667, 411870
112, 1365.28, 16.6667, 428173
111, 875.781, 16.6667, 253358
110, 1470.97, 16.6667, 435188
116, 1410.56, 16.6667, 318484
92, 1489.66, 16.6667, 92100
97, 1388.19, 16.6667, 14668
87, 1099.44, 16.6667, 136946
98, 2004.38, 16.6667, 257200
101, 1018.12, 16.6667, 367069
91, 737.219, 16.6667, 675968
95, 1020.22, 16.6667, 55223
119, 1060.34, 16.6667, 150494
115, 1188.44, 16.6667, 345760
96, 1045.16, 16.6667, 386672
98, 1294.66, 16.6667, 437870
106, 1341.03, 16.6667, 376283
113, 1131.59, 16.6667, 431446
97, 943.281, 16.6667, 603348
104, 744.062, 16.6667, 628231
106, 1099.06, 16.6667, 975149
87, 894.531, 16.6667, 239402
96, 1088.03, 16.6667, 635663
96, 920.438, 16.6667, 20207
112, 1671.44, 16.6667, 171378
93, 1209.12, 16.6667, 908021
91, 941.406, 16.6667, 183359
92, 1608.28, 16.6667, 264134
80, 1397.06, 16.6667, 917125
98, 1417.56, 16.6667, 915147
111, 1270.84, 16.6667, 790926
86, 811.594, 16.6667, 914944
124, 1226.16, 16.6667, 417061
100, 951.5, 16.6667, 562179
93, 1056.59, 16.6667, 577743
111, 1119.5, 16.6667, 797461
119, 1194.34, 16.6667, 645457
111, 1410.09, 16.6667, 584557
76, 777.656, 16.6667, 219596
108, 1133.75, 16.6667, 684305
67, 1247.34, 16.6667, 598708
86, 1450.5, 16.6667, 461068
102, 1223.66, 16.6667, 71534
45, 2283.91, 16.6667, 738259
106, 1027.5, 16.6667, 126608
55, 1143.31, 16.6667, 742494
97, 1173.59, 16.6667, 663172
78, 952, 16.6667, 472620
108, 1375.91, 16.6667, 641457
104, 1266.12, 16.6667, 482219
96, 959.25, 16.6667, 335350
91, 1097.62, 16.6667, 761289
78, 1596.84, 16.6667, 999265
99, 1162.12, 16.6667, 675485
95, 1288.62, 16.6667, 385216
81, 1192.09, 16.6667, 94775
74, 1379.06, 16.6667, 847769
94, 1106.72, 16.6667, 853804
91, 1523.19, 16.6667, 521640
77, 1357.44, 16.6667, 263963
65, 2138.38, 16.6667, 800752
86, 910.844, 16.6667, 429138
85, 1002.53, 16.6667, 459086
87, 2331.97, 16.6667, 598558
89, 984.875, 16.6667, 702847
79, 1159.28, 16.6667, 776159
84, 1473.56, 16.6667, 548156
93, 1288.94, 16.6667, 80051
76, 1371.03, 16.6667, 985698
85, 1182.66, 16.6667, 862756
78, 1391.75, 16.6667, 629326
111, 1289.12, 16.6667, 588094
88, 1394, 16.6667, 358950
106, 1723.28, 16.6667, 925883
103, 1529.16, 16.6667, 778020
74, 1123.28, 16.6667, 417705
38, 2226.78, 16.6667, 654058
114, 1704.5, 16.6667, 624084
90, 1392.78, 16.6667, 192846
104, 1222.12, 16.6667, 396309
82, 961.5, 16.6667, 473570
106, 1065.88, 16.6667, 721467
96, 1192.91, 16.6667, 601527
92, 1452.03, 16.6667, 482965
69, 2401.5, 16.6667, 234559
85, 970.031, 16.6667, 973189
64, 1409.81, 16.6667, 116000
97, 1031.78, 16.6667, 207844
106, 1428.66, 16.6667, 318785
90, 2232.38, 16.6667, 273122
